,plant_id_eia,plant_name_eia,utility_id_eia,utility_name_eia,state,capacity_mw
0,5,chickasaw,,,AL,
1,334,riverside canal power company,,,CA,
2,569,english station,,,CT,
3,1470,graham station,,,ME,
4,1594,blackstone,,,MA,
5,2440,abibow us inc. - catawba operations,,,SC,
6,2473,north lovington,,,NM,
7,2529,aes hickling,,,NY,
8,2531,aes jennison,,,NY,
9,2858,gorge,,,OH,
10,3451,dallas,,,TX,
11,3480,denver city,,,TX,
12,3523,oak creek power station,,,TX,
13,4036,commerce,,,WI,
14,4233,buchanan substation,,,NY,
15,7254,reedy creek,,,FL,
16,7258,48th street peaking station,,,MI,
17,7762,calpine hidalgo energy center,,,TX,
18,7765,dahlberg (jackson county),,,GA,
19,7996,jasper county generating facility,,,SC,
20,8058,donald von raesfeld,,,CA,
21,10619,allegany station no. 133,,,NY,
22,10628,"international paper, erie mill",,,PA,
23,13213,btec new albany llc,,,MS,
24,14013,the ohio state university,,,OH,
25,50030,nelson industrial steam company,,,LA,
26,50607,trigen energy - schuylkill,,,PA,
27,54088,international paper-hudson river,,,NY,
28,54089,international paper-lock haven mill,,,PA,
29,55460,indeck niles energy center,,,MI,2342.8
30,55683,boardman power holdings llc,,,OR,
31,56186,sheboygan falls energy facility,,,WI,
32,59292,rattlesnake creek wind project,,,NE,636.2
33,61450,farmington solar farm,58822,mc power companies inc,MO,5.0
34,61451,northfield holdco csg,,,MN,10.0
35,61452,waterford holdco csg,,,MN,5.4
36,61453,b.r. corcoran csg,,,MN,10.0
37,61454,b.r. sartell csg,,,MN,6.0
38,61455,b.r. sauk rapids csg,,,MN,10.0
39,61456,montgomery winsted csg,,,MN,6.0
40,61457,palmer solar center,,,VA,10.0
41,61458,martin solar center,,,VA,10.0
42,61459,georgia power at swainsboro,,,GA,5.8
43,61460,ios - mew phase 1,,,ME,8.2
44,61461,north smithfield solar power 1,,,RI,4.0
45,61462,sr platte solar farm,,,CO,32.0
46,61463,vandenberg solar project,,,CA,45.0
47,61464,"coresite real estate 2972 stender, l.p.",,,CA,24.0
48,61465,igs solar i - bwi2,,,MD,2.8
49,61466,ios - erw9,,,NJ,10.6
50,61467,city of lexington,,,NE,7.0
51,61468,valdosta prison,,,GA,2.0
52,61469,lichtenthal,,,NY,4.0
53,61470,call farms 1,,,NY,4.0
54,61471,call farms 3,,,NY,4.0
55,61472,san luis solar garden,,,CO,2.4
56,61473,hopewell valley high school,,,NJ,3.8
57,61474,coresite real estate 55 s. market street,,,CA,14.0
58,61475,"coresite real estate 1656 mccarthy, l.p.",,,CA,10.0
59,61476,"coresite real estate 2901 coronado, l.p.",,,CA,20.0
60,61478,"sune feely 1 csg, llc",58970,"ecoplexus, inc",MN,10.0
61,61482,"coresite real estate 3032 coronado, l.p.",,,CA,60.0
62,61483,"cottage grove csg, llc",58970,"ecoplexus, inc",MN,10.0
63,61484,"fox csg, llc",58970,"ecoplexus, inc",MN,10.0
64,61485,"sune stolee csg, llc",58970,"ecoplexus, inc",MN,6.0
65,61486,"wyoming 2 csg, llc",58970,"ecoplexus, inc",MN,10.0
66,61487,sl babylon,,,NY,18.0
67,61488,nyu langone health,,,NY,36.0
68,61489,cameron solar,,,SC,40.0
69,61490,estill solar,,,SC,40.0
70,61491,first citizens bank,,,NC,3.0
71,61493,harvest moon renewable energy company,,,TX,3.2
72,61494,none,,,MN,8.0
73,61495,carver gladden csg,,,MN,6.0
74,61496,adams solar center,,,OR,20.0
75,61497,elbe solar center,,,OR,20.0
76,61498,hampton solar 2,,,SC,40.0
77,61499,ced foster,56769,consolidated edison development inc.,RI,4.0
78,61500,porter way community solar garden,,,MN,6.0
79,61501,abec #2 dba west-star dairy,,,CA,2.0
80,61502,abec #3 dba lakeview dairy,,,CA,2.0
81,61503,abec #4 dba ce&s dairy,,,CA,2.0
82,61504,rjc i csg,,,MN,2.0
83,61505,huneke i csg,,,MN,2.0
84,61506,krause csg,,,MN,2.0
85,61507,dg new jersey solar rls logistics,,,NJ,8.0
86,61508,provo power plant,,,UT,23.999999999999996
87,61509,monroe county sites a & b,,,NY,6.8
88,61510,"monroe county sites c, d, & e",,,NY,12.0
89,61511,burt county wind,56769,consolidated edison development inc.,NE,150.0
90,61512,"bullock solar, llc",,,NC,100.0
91,61513,marlin solar,,,TX,10.6
92,61514,north gainesville solar,,,TX,10.4
93,61515,dg camden llc holtec,,,NJ,4.4
94,61516,school sisters csg,,,MN,2.0
95,61517,candlewood solar,,,CT,50.0
96,61518,301 chestnut solar ng,,,MA,8.6
97,61519,baker point,,,MD,18.0
98,61520,rosewood solar,,,NC,4.0
99,61521,swamp fox solar,,,SC,21.6
100,61522,champion solar,,,SC,21.6
101,61523,haley solar,,,SC,16.4
102,61524,whitewright solar,,,TX,20.0
103,61525,abd farms,,,NC,10.0
104,61526,antanavica solar,,,MA,2.0
105,61527,bakatsias solar,,,NC,10.0
106,61528,bayboro solar farm,,,NC,10.0
107,61529,estill solar ii,,,SC,20.4
108,61530,gaston solar i - sc,,,SC,20.4
109,61531,island grove solar,,,NC,4.0
110,61532,leon solar,,,TX,20.0
111,61533,mustang solar,,,NC,10.0
112,61534,old caroleen solar farm,,,NC,4.0
113,61535,statesville solar,,,NC,10.0
114,61536,wakefield solar,,,NC,10.0
115,61537,weston landfill solar,,,MA,3.6
116,61538,braintree landfill solar,,,MA,2.0
117,61539,geld solar farm,,,MA,4.6
118,61540,fort hays state university wind farm,,,KS,8.0
119,61541,town of rocky hill,,,CT,6.0
120,61542,"popesun csg, llc",,,MN,10.0
121,61543,"cf novel solar csg gardens five, llc",,,MN,6.8
122,61544,"lesun csg, llc",,,MN,10.0
123,61545,none,,,MN,8.0
124,61547,"wrightsun csg, llc",,,MN,10.0
125,61548,"cf novel solar csg gardens seven, llc",,,MN,6.6
126,61550,none,,,MA,8.4
127,61551,good samaritan hospital,,,NY,3.8
128,61552,fort detrick solar pv,,,MD,31.4
129,61553,none,,,OR,5.8
130,61554,comer solar,7140,georgia power co,GA,4.0
131,61555,none,,,MA,8.4
132,61556,facebook 1 solar energy center,,,NM,20.0
133,61557,facebook 2 solar energy center,,,NM,20.0
134,61558,facebook 3 solar energy center,,,NM,20.0
135,61559,woodline solar,,,OR,16.0
136,61560,eagle point solar,,,OR,19.8
137,61561,bladen solar,,,NC,100.0
138,61562,falmouth landfill solar,58871,citizens enterprises corporation,MA,6.0
139,61563,denver metro solar,,,CO,3.2
140,61564,upland prairie,9417,interstate power and light co,IA,598.6
141,61565,english farms,9417,interstate power and light co,IA,339.8
142,61566,el dorado springs solar farm,58822,mc power companies inc,MO,5.0
143,61567,woodhull hospital,,,NY,16.0
144,61568,the allen hospital,,,NY,2.0
145,61569,mount sinai beth israel,,,NY,7.1
146,61570,veseli community solar garden,,,MN,2.0
147,61571,new germany community solar garden,,,MN,2.0
148,61572,lake waconia community solar garden,,,MN,2.0
149,61573,lake waconia iv community solar garden,,,MN,2.0
150,61574,zumbro community solar garden,,,MN,2.0
151,61575,anheuser-busch baldwinsville,,,NY,4.0
152,61576,columbia university - johnson farms,,,NY,4.0
153,61577,time warner cable enterprises - martino,,,NY,4.0
154,61578,columbia university - minisink,,,NY,4.0
155,61579,st. lawerence university - sutton,,,NY,4.0
156,61580,"tumbleweed solar, llc",59462,"heelstone energy holdings, llc",OR,19.8
157,61581,"davis lane solar, llc",59462,"heelstone energy holdings, llc",NC,10.0
158,61582,voyager wind ii,2770,terra-gen operating co llc,CA,257.4
159,61583,voyager wind iii,2770,terra-gen operating co llc,CA,86.4
160,61584,voyager wind iv,2770,terra-gen operating co llc,CA,43.2
161,61585,scandia csg,,,MN,10.0
162,61586,none,,,MN,10.0
163,61587,none,,,MN,10.0
164,61588,independence ii solar farm,58822,mc power companies inc,MO,17.0
