utility_id_ferc1,plant_name_ferc1,utility_name_ferc1,capacity_mw,plant_table
1,rockport,aep generating company,1300.0,f1_steam
1,rockport total plt,aep generating company,2600.0,f1_steam
1,rockport u1 aeg,aep generating company,650.0,f1_steam
1,rockport u2 aeg,aep generating company,650.0,f1_steam
1,rockport unit 1,aep generating company,650.0,f1_steam
1,rockport unit 2,aep generating company,650.0,f1_steam
2,ala. elec. coop.,alabama power company,0.0,f1_steam
2,ala.elec. coop.,alabama power company,115.0,f1_steam
2,bankhead dam,alabama power company,45.1,f1_hydro
2,barry combined cycle,alabama power company,566.0,f1_steam
2,blank,alabama power company,0.0,f1_steam
2,e. c. gaston,alabama power company,952.0,f1_steam
2,e. c. gaston-unit 5,alabama power company,952.0,f1_steam
2,gen.elec.co-gen.,alabama power company,101.56,f1_steam
2,greene co.,alabama power company,568.0,f1_steam
2,h. neely henry dam,alabama power company,72.9,f1_hydro
2,holt dam,alabama power company,40.0,f1_hydro
2,lay dam,alabama power company,177.0,f1_hydro
2,lewis smith dam,alabama power company,157.5,f1_hydro
2,logan martin dam,alabama power company,128.3,f1_hydro
2,martin dam,alabama power company,154.2,f1_hydro
2,mitchell dam,alabama power company,170.0,f1_hydro
2,r. l. harris dam,alabama power company,135.0,f1_hydro
2,r.l. harris dam,alabama power company,135.0,f1_hydro
2,r.l.harris,alabama power company,135.0,f1_hydro
2,resondent's portion,alabama power company,2707.0,f1_steam
2,theodore co-gen.,alabama power company,0.0,f1_steam
2,thurlow dam,alabama power company,58.0,f1_hydro
2,walter bouldin dam,alabama power company,225.0,f1_hydro
2,washington co.co-gen,alabama power company,122.57,f1_steam
2,weiss dam,alabama power company,87.8,f1_hydro
2,yates dam,alabama power company,32.0,f1_hydro
3,auke bay internal combustion,alaska electric light and power company,0.0,f1_gnrt_plant
3,auke bay internal combustion:,alaska electric light and power company,,f1_gnrt_plant
3,enterprise diesel,alaska electric light and power company,1.25,f1_gnrt_plant
3,enterprise diesel (#4),alaska electric light and power company,2.5,f1_gnrt_plant
3,fairbanks morse,alaska electric light and power company,1.14,f1_gnrt_plant
