utility_id_ferc1,plant_name_ferc1,utility_name_ferc1,capacity_mw,plant_table
11,subtotal,emera maine,2.0,f1_gnrt_plant
11,youngs corner,emera maine,0.0,f1_gnrt_plant
12,n/a,"black hills power, inc.",0.0,f1_gnrt_plant
12,wygen 3 bhp 52%,"black hills power, inc.",110.0,f1_steam
12,wyodak - bhp 20%,"black hills power, inc.",72.41,f1_steam
41,circuit west solar,consumers energy company,0.53,f1_gnrt_plant
45,lee cc,"duke energy carolinas, llc",738.79,f1_steam
49,holloman air force base (hafb),el paso electric company,5.0,f1_gnrt_plant
55,avon park ct,"duke energy florida, llc",67.0,f1_steam
55,bayboro ct,"duke energy florida, llc",227.0,f1_steam
55,citrus county cc,"duke energy florida, llc",1971.0,f1_steam
55,debary ct,"duke energy florida, llc",748.0,f1_steam
55,higgins ct,"duke energy florida, llc",153.2,f1_steam
55,hines cc,"duke energy florida, llc",2263.0,f1_steam
55,intercession city ct,"duke energy florida, llc",1197.0,f1_steam
55,univ of florida,"duke energy florida, llc",54.0,f1_steam
56,babcock,florida power & light company,74.5,f1_steam
56,barefoot bay,florida power & light company,74.5,f1_steam
56,blue cypress,florida power & light company,74.5,f1_steam
56,citrus,florida power & light company,74.5,f1_steam
56,coral farms,florida power & light company,74.5,f1_steam
56,fort myers,florida power & light company,124.02,f1_steam
56,hammock,florida power & light company,74.5,f1_steam
56,horizon,florida power & light company,74.5,f1_steam
56,indian river,florida power & light company,74.5,f1_steam
56,loggerhead,florida power & light company,74.5,f1_steam
56,martin 3&4,florida power & light company,1224.0,f1_steam
56,martin solar energy,florida power & light company,75.0,f1_steam
56,st. lucie - nuclear,florida power & light company,2160.0,f1_steam
56,wildflower,florida power & light company,74.5,f1_steam
57,mclb,georgia power company,31.16,f1_steam
61,panton battery #119,green mountain power corp,0.0,f1_gnrt_plant
74,eagle valley ccgt,indianapolis power & light company,689.0,f1_steam
88,business solar - archdiocese of louisville,louisville gas and electric company,0.03,f1_gnrt_plant
101,ft martin,monongahela power company,1152.0,f1_steam
120,benson,northern states power company (minnesota),0.0,f1_steam
120,"black dog 2, 5, & 6",northern states power company (minnesota),554.29,f1_steam
120,pleasant valley wind,northern states power company (minnesota),200.0,f1_gnrt_plant
120,wind turbine,northern states power company (minnesota),0.0,f1_gnrt_plant
122,roosevelt (tower falls),northwestern corporation,1.0,f1_gnrt_plant
122,two dot wind,northwestern corporation,11.28,f1_steam
129,wildcat point,old dominion electric cooperative,1113.0,f1_steam
130,tinker,oklahoma gas and electric company,83.7,f1_steam
133,diablo canyon 1& 2,pacific gas and electric company,2323.0,f1_steam
141,ohsu,portland general electric company,4.5,f1_gnrt_plant
141,pelton (100%),portland general electric company,110.2,f1_hydro
141,pelton (pge %),portland general electric company,73.47,f1_hydro
141,round butte (100%),portland general electric company,372.5,f1_hydro
141,round butte (pge %),portland general electric company,248.33,f1_hydro
145,rush creek,public service company of colorado,600.0,f1_gnrt_plant
145,wind turbine plants,public service company of colorado,0.0,f1_gnrt_plant
148,northeastern 3,public service company of oklahoma,469.0,f1_steam
149,-extension - pilot projects,public service electric and gas company,2.4,f1_gnrt_plant
159,columbia energy ctr,south carolina electric & gas company,668.5,f1_steam
161,sc-redlnd13-so,southern california edison company,3.5,f1_gnrt_plant
161,sc-redlnd16-so,southern california edison company,1.5,f1_gnrt_plant
163,oak hill solar generation facility,southern indiana gas and electric company,2.0,f1_gnrt_plant
163,volkman road solar generation facility,southern indiana gas and electric company,2.0,f1_gnrt_plant
170,balm solar,tampa electric company,74.4,f1_steam
170,na,tampa electric company,0.0,f1_hydro
