report_year,respondent_id,record_number,plant_name,nice_plant_name,kind_of_plant,ferc_license,yr_constructed,capacity_rating,net_demand,net_generation,plant_cost,plant_cost_mw,operation,expns_fuel,expns_maint,kind_of_fuel,fuel_cost
2004,3,1,Gold Creek Hydro,,hydro,,1904,1.6,1,4857,2877307,1798317,92312,0,37559,,0
2004,3,3,Gold Creek Internal Combustion:,,,,,0,0,0,0,0,0,0,0,,0
2004,3,4,Enterprise Diesel (#1),Gold Creek Enterprise Diesel 1,internal_combustion,,1952,1.25,1,0,247938,198350,0,0,0,,0
2004,3,5,Enterprise Diesel (#2),Gold Creek Enterprise Diesel 2,internal_combustion,,1954,1.25,1,0,201590,161272,0,0,0,,0
2004,3,6,Enterprise Diesel (#3),Gold Creek Enterprise Diesel 3,internal_combustion,,1961,3.5,3,24,984515,281290,12415,789,28550,Diesel,0
2004,3,7,Fairbanks Morse (#4),Gold Creek Fairbanks Morse 4,internal_combustion,,1963,1.14,1,0,152466,133742,0,0,0,,0
2004,3,8,Fairbanks Morse (#5),Gold Creek Fairbanks Morse 5,internal_combustion,,1966,1.14,1,0,149038,130735,0,0,0,,0
2004,3,10,Annex Creek Hydro,,hydro,,1915,3.6,4,25008,2856887,793580,424756,0,193690,,0
2004,3,12,Salmon Creek Hydro,,hydro,,1914,0,0,0,0,0,0,0,0,,0
2004,3,13,Salmon Creek Hydro,,hydro,,1984,8.5,10,24480,8262660,869754,335525,0,80250,,0
2004,6,1,HYDRO-ELECTRIC,,,,,0,0,0,0,0,0,0,0,,0
2004,6,2,Niagara - Project #2466,Niagra,hydro,2466,1906,2.4,3,5994000,6048568,2520237,26865,0,131269,,0
2004,6,3,Buck - Project #2514,Buck,hydro,2514,1912,8.5,11,45853000,9019298,1061094,125846,0,149691,,0
2004,6,5,TOTAL HYDRO (Small Plants),,,,,0,0,0,15067866,0,152711,0,280960,,0
2004,7,1,Hydro Plants,,,,,0,0,0,0,0,0,0,0,,0
2004,7,2,Childs (1),,hydro,,1909,4.2,1.5,18472000,6787538,1616080,243056,0,229130,Hydro,0
2004,7,3,Irving (1),,hydro,,1916,1.4,1.4,10810000,2714825,1939161,97216,0,91646,Hydro,0
2004,7,5,Solar Plants,,,,,0,0,0,0,0,0,0,0,,0
2004,7,6,Flagstaff,,solar_pv,,1997,0.08,0,165711,750936,9386703,0,0,0,,0
2004,7,7,Star,,solar_pv,,2000,0.21,0,1576255,9953328,47396799,0,0,0,,0
2004,7,8,Tempe,,solar_pv,,1998,0.55,0,0,12817,23304,0,0,0,,0
2004,7,9,Glendale Airport,,solar_pv,,2001,0.17,0,305859,1656116,9741859,0,0,0,,0
2004,7,10,Gilbert,,solar_pv,,1999,0.12,0,221920,69061,575509,0,0,0,,0
2004,7,11,Scottsdale Covered Parking,,solar_pv,,1999,0.03,0,93698,453329,15110954,0,0,0,,0
2004,7,12,ST Microelectronics Rooftop,,solar_pv,,2000,0.02,0,205275,57170,2858512,0,0,0,,0
2004,7,13,Municpal Rooftops,,solar_pv,,1999,0.1,0,0,64174,641738,0,0,0,,0
2004,7,14,Yuma,,solar_pv,,2002,0.1,0,252400,367027,3670271,0,0,0,,0
2004,7,15,Prescott EARU,,solar_pv,,2002,0.19,0,437940,54573,287225,0,0,0,,0
2004,7,16,Prescott Airport,,solar_pv,,2002,1.67,0,3894000,1237259,740873,0,0,0,,0
2004,7,17,Total Solar Operation/Maintenance,,,,,0,0,0,0,0,288711,0,0,,0
2004,8,1,Cecil Lynch (Internal Combustion),,internal_combustion,,1967,6,0,0,477543,79591,0,0,4451,Oil,0
2004,11,2,      INTERNAL COMBUSTION,,,,,0,0,0,0,0,0,0,0,,0
2004,11,4,Eastport,,internal_combustion,,,4000,0,0,1487490,372,11616,18519,11785,,0
2004,11,5,Medway,,internal_combustion,,,8000,0,0,1311449,164,21360,34053,21670,,0
2004,11,6,Bar Harbor,,internal_combustion,,,8000,0,0,1515434,189,27681,44129,28082,,0
2004,11,8,   Total,,,,,20000,0,0,4314373,216,60657,96701,61537,,0
2004,17,1,Marshall Hydro,,hydro,2380,1910,5,3,8423000,12125901,2425180,62500,0,128678,n/a,0
2004,17,2,   FERC Licensed Project No. 2380,,,,,0,0,0,0,0,0,0,0,,0
2004,20,1,Indian Trails Cogeneration Plant,,cogen,,1995,20.9,10,29823,19958064,954931,933154,1260821,20023852,Natural Gas,40
2004,22,1,NONE,,,,,0,0,0,0,0,0,0,0,,0
2004,24,1,Eagle Pass Hydro,,hydro,,1932,0,0,0,0,0,0,0,0,,0
2004,25,1,Diesel:,,,,,0,0,0,0,0,0,0,0,,0
2004,25,2,St. Albans,,internal_combustion,,1950,2.6,2,43,318725,122587,6675,4467,5583,#2 Oil,1014
2004,25,4,Hydro:                       License No.,,,,,0,0,0,0,0,0,0,0,,0
