Table Name / Data Link,File Name,Pages,Freq,Table Description
`f1_106_2009 <https://data.catalyst.coop/ferc1/f1_106_2009>`_,F1_106_2009.DBF,106,A,Information on Formula Rates
`f1_106a_2009 <https://data.catalyst.coop/ferc1/f1_106a_2009>`_,F1_106A_2009.DBF,106,A,Information on Formula Rates
`f1_106b_2009 <https://data.catalyst.coop/ferc1/f1_106b_2009>`_,F1_106B_2009.DBF,106,A,Information on Formula Rates
`f1_208_elc_dep <https://data.catalyst.coop/ferc1/f1_208_elc_dep>`_,F1_208_ELC_DEP.DBF,208,Q,Electric Plant In Service and Accumulated Provision For Depreciation by Function
`f1_231_trn_stdycst <https://data.catalyst.coop/ferc1/f1_231_trn_stdycst>`_,F1_231_TRN_STDYCST.DBF,231,A/Q,Transmission Service and Generation Interconnection Study Costs
`f1_324_elc_expns <https://data.catalyst.coop/ferc1/f1_324_elc_expns>`_,F1_324_ELC_EXPNS.DBF,324,Q,"Electric Production, Other Power Supply Expenses, Transmission and Distribution Expenses "
`f1_325_elc_cust <https://data.catalyst.coop/ferc1/f1_325_elc_cust>`_,F1_325_ELC_CUST.DBF,325,Q,"Electric Customer Accounts, Service, Sales, Administration and General Expenses "
`f1_331_transiso <https://data.catalyst.coop/ferc1/f1_331_transiso>`_,F1_331_TRANSISO.DBF,331,A/Q,Transmission of Electricity by ISO/RTOs
`f1_338_dep_depl <https://data.catalyst.coop/ferc1/f1_338_dep_depl>`_,F1_338_DEP_DEPL.DBF,338,Q,"Depreciation, Depletion and Amortization of Electric Plant (FERC Accounts 403, 403.1, 404, and 405, except Amortization of Acquisition Adjustments) "
`f1_397_isorto_stl <https://data.catalyst.coop/ferc1/f1_397_isorto_stl>`_,F1_397_ISORTO_STL.DBF,397,A/Q,Amounts Included in ISO/RTO Settlement Statements
`f1_398_ancl_ps <https://data.catalyst.coop/ferc1/f1_398_ancl_ps>`_,F1_398_ANCL_PS.DBF,398,A,Purchases and Sales of Ancillary Services
`f1_399_mth_peak <https://data.catalyst.coop/ferc1/f1_399_mth_peak>`_,F1_399_MTH_PEAK.DBF,399,A/Q,Monthly Peak Loads and Energy Output
`f1_400_sys_peak <https://data.catalyst.coop/ferc1/f1_400_sys_peak>`_,F1_400_SYS_PEAK.DBF,400,A/Q,Monthly Transmission System Peak Load
`f1_400a_iso_peak <https://data.catalyst.coop/ferc1/f1_400a_iso_peak>`_,F1_400A_ISO_PEAK.DBF,"980, 400a",A/Q,Monthly ISO/RTO Transmission System Peak Load
`f1_429_trans_aff <https://data.catalyst.coop/ferc1/f1_429_trans_aff>`_,F1_429_TRANS_AFF.DBF,429,A,Transactions with Associated (Affiliated) Companies
