plant_id_epa,emissions_unit_id_epa,plant_id_eia,max_gross_load_mw,min_stable_level,min_up_time_hr,min_down_time_hr,heat_rate_at_max_load_factor_mmbtu_per_mwh,heat_rate_at_min_stable_level_mmbtu_per_mwh,ramp_up_rate_fraction_of_max_gross_load_per_min,ramp_down_rate_fraction_of_max_gross_load_per_min,load_factor_bins
260,1A,260,279.0,0.5,1.0,1.0,7.02,7.72,0.01,-0.01,"[(0.9, 1.0], (0.8, 0.9], (0.7, 0.8], (0.6, 0.7], (-0.001, 0.1], ..., (0.1, 0.2], (0.4, 0.5], (0.5, 0.6], (0.3, 0.4], (0.2, 0.3]]
Length: 11
Categories (10, interval[float64, right]): [(-0.001, 0.1] < (0.1, 0.2] < (0.2, 0.3] < (0.3, 0.4] ... (0.6, 0.7] < (0.7, 0.8] < (0.8, 0.9] < (0.9, 1.0]]"
260,2A,260,277.0,0.5,1.0,1.0,7.02,7.63,0.01,-0.01,"[(0.4, 0.5], NaN, (0.1, 0.2], (0.7, 0.8], (0.9, 1.0], ..., (0.3, 0.4], (0.5, 0.6], (0.6, 0.7], (-0.001, 0.1], (0.2, 0.3]]
Length: 11
Categories (10, interval[float64, right]): [(-0.001, 0.1] < (0.1, 0.2] < (0.2, 0.3] < (0.3, 0.4] ... (0.6, 0.7] < (0.7, 0.8] < (0.8, 0.9] < (0.9, 1.0]]"
260,3A,260,284.0,0.5,1.0,1.0,7.05,7.73,0.01,-0.01,"[(0.8, 0.9], (0.9, 1.0], (0.4, 0.5], NaN, (-0.001, 0.1], ..., (0.6, 0.7], (0.3, 0.4], (0.5, 0.6], (0.1, 0.2], (0.2, 0.3]]
Length: 11
Categories (10, interval[float64, right]): [(-0.001, 0.1] < (0.1, 0.2] < (0.2, 0.3] < (0.3, 0.4] ... (0.6, 0.7] < (0.7, 0.8] < (0.8, 0.9] < (0.9, 1.0]]"
260,4A,260,272.0,0.5,1.0,1.0,6.98,7.63,0.01,-0.01,"[(0.8, 0.9], (0.3, 0.4], NaN, (-0.001, 0.1], (0.7, 0.8], ..., (0.1, 0.2], (0.6, 0.7], (0.5, 0.6], (0.9, 1.0], (0.2, 0.3]]
Length: 11
Categories (10, interval[float64, right]): [(-0.001, 0.1] < (0.1, 0.2] < (0.2, 0.3] < (0.3, 0.4] ... (0.6, 0.7] < (0.7, 0.8] < (0.8, 0.9] < (0.9, 1.0]]"
302,10,59002,114.0,0.2,1.0,1.0,8.84,13.12,0.01,-0.01,"[NaN, (0.1, 0.2], (0.7, 0.8], (0.8, 0.9], (-0.001, 0.1], ..., (0.2, 0.3], (0.3, 0.4], (0.5, 0.6], (0.9, 1.0], (0.6, 0.7]]
Length: 11
Categories (10, interval[float64, right]): [(-0.001, 0.1] < (0.1, 0.2] < (0.2, 0.3] < (0.3, 0.4] ... (0.6, 0.7] < (0.7, 0.8] < (0.8, 0.9] < (0.9, 1.0]]"
302,6,59002,110.0,0.2,1.0,1.0,8.89,13.87,0.01,-0.01,"[NaN, (0.1, 0.2], (0.2, 0.3], (-0.001, 0.1], (0.5, 0.6], ..., (0.4, 0.5], (0.8, 0.9], (0.7, 0.8], (0.6, 0.7], (0.9, 1.0]]
Length: 11
Categories (10, interval[float64, right]): [(-0.001, 0.1] < (0.1, 0.2] < (0.2, 0.3] < (0.3, 0.4] ... (0.6, 0.7] < (0.7, 0.8] < (0.8, 0.9] < (0.9, 1.0]]"
302,8,59002,109.0,0.2,1.0,1.0,8.94,14.02,0.01,-0.01,"[NaN, (0.1, 0.2], (0.2, 0.3], (0.3, 0.4], (-0.001, 0.1], ..., (0.4, 0.5], (0.6, 0.7], (0.8, 0.9], (0.7, 0.8], (0.9, 1.0]]
Length: 11
Categories (10, interval[float64, right]): [(-0.001, 0.1] < (0.1, 0.2] < (0.2, 0.3] < (0.3, 0.4] ... (0.6, 0.7] < (0.7, 0.8] < (0.8, 0.9] < (0.9, 1.0]]"
302,7,59002,113.0,0.2,1.0,1.0,8.91,13.93,0.01,-0.01,"[NaN, (0.4, 0.5], (0.2, 0.3], (-0.001, 0.1], (0.1, 0.2], ..., (0.7, 0.8], (0.5, 0.6], (0.8, 0.9], (0.6, 0.7], (0.9, 1.0]]
Length: 11
Categories (10, interval[float64, right]): [(-0.001, 0.1] < (0.1, 0.2] < (0.2, 0.3] < (0.3, 0.4] ... (0.6, 0.7] < (0.7, 0.8] < (0.8, 0.9] < (0.9, 1.0]]"
302,9,59002,115.0,0.2,1.0,1.0,8.86,13.83,0.01,-0.01,"[NaN, (0.1, 0.2], (0.2, 0.3], (0.3, 0.4], (-0.001, 0.1], ..., (0.5, 0.6], (0.6, 0.7], (0.8, 0.9], (0.7, 0.8], (0.9, 1.0]]
Length: 11
Categories (10, interval[float64, right]): [(-0.001, 0.1] < (0.1, 0.2] < (0.2, 0.3] < (0.3, 0.4] ... (0.6, 0.7] < (0.7, 0.8] < (0.8, 0.9] < (0.9, 1.0]]"
315,CT1,315,348.0,0.4,2.0,1.0,6.7,7.8,0.01,-0.01,"[NaN, (0.2, 0.3], (0.8, 0.9], (0.9, 1.0], (0.5, 0.6], ..., (0.7, 0.8], (0.6, 0.7], (0.1, 0.2], (0.4, 0.5], (-0.001, 0.1]]
Length: 11
Categories (10, interval[float64, right]): [(-0.001, 0.1] < (0.1, 0.2] < (0.2, 0.3] < (0.3, 0.4] ... (0.6, 0.7] < (0.7, 0.8] < (0.8, 0.9] < (0.9, 1.0]]"
