report_year,utility_id_ferc1,xbrl_factoid,xbrl_factoid_off_by,abs_diff,ending_balance_off_by,_delta
2024,228,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,672854269.0,672854269.0,0.0
2011,263,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,149649537.0,149649537.0,0.0
2005,178,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,87698281.0,87698281.0,0.0
2010,263,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,154093962.0,154093962.0,0.0
2006,178,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,101205085.0,101205085.0,0.0
2009,263,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,107351466.0,107351466.0,0.0
2007,178,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,52404227.0,52404227.0,0.0
2008,263,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,214844878.0,214844878.0,0.0
2008,178,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,48489295.0,48489295.0,0.0
2012,263,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,129583436.0,129583436.0,0.0
2007,263,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,162535919.0,162535919.0,0.0
2003,263,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_property_under_capital_leases,1971468.0,1971468.0,0.0
2010,178,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,40992943.0,40992943.0,0.0
2001,263,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,12846200.0,12846200.0,0.0
2011,178,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,129095430.0,129095430.0,0.0
2000,263,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,22602419.0,22602419.0,0.0
1995,263,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,5906616.0,5906616.0,0.0
2012,178,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,234575986.0,234575986.0,0.0
2021,396,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,167363694.0,167363694.0,0.0
2009,178,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,59592019.0,59592019.0,0.0
2025,260,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,4805038279.0,4805038279.0,0.0
2013,263,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,133929882.0,133929882.0,0.0
2015,263,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,299320644.0,299320644.0,0.0
2022,177,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,23670307.0,23670307.0,0.0
1996,264,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,682211.0,682211.0,0.0
2023,177,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,29574048.0,29574048.0,0.0
1994,264,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,688326.0,688326.0,0.0
2020,263,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,331484173.0,331484173.0,0.0
1994,178,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_property_under_capital_leases,7339193.0,7339193.0,0.0
2019,263,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,212162014.0,212162014.0,0.0
1995,178,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_property_under_capital_leases,7339193.0,7339193.0,0.0
2014,263,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,149092578.0,149092578.0,0.0
2018,263,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,88251306.0,88251306.0,0.0
2017,263,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,156242271.0,156242271.0,0.0
1997,178,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_property_under_capital_leases,4182019.0,4182019.0,0.0
1998,178,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_property_under_capital_leases,2990392.0,2990392.0,0.0
1999,178,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_property_under_capital_leases,2176778.0,2176778.0,0.0
2000,178,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_property_under_capital_leases,2153683.0,2153683.0,0.0
2001,178,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_property_under_capital_leases,1668527.0,1668527.0,0.0
2016,263,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,145695506.0,145695506.0,0.0
2002,178,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_property_under_capital_leases,1132570.0,1132570.0,0.0
1996,178,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_property_under_capital_leases,7339193.0,7339193.0,0.0
1997,264,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,740402.0,740402.0,0.0
2013,178,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,85883349.0,85883349.0,0.0
2023,260,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,4099926556.0,4099926556.0,0.0
1995,179,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_property_under_capital_leases,2165196.0,2165196.0,0.0
1996,179,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_property_under_capital_leases,1012591.0,1012591.0,0.0
1997,179,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_property_under_capital_leases,357618.0,357618.0,0.0
2003,179,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,21883200.0,21883200.0,0.0
2013,258,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,2430696.0,2430696.0,0.0
2004,179,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,69453323.0,69453323.0,0.0
2012,258,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,37027.0,37027.0,0.0
2005,179,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,40554512.0,40554512.0,0.0
1994,179,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_property_under_capital_leases,3593416.0,3593416.0,0.0
2011,258,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,4995305.0,4995305.0,0.0
2007,179,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,35553777.0,35553777.0,0.0
