,respondent_id,respondent_name,plant_name
0,85,National Grid Generation LLC,Shoreham
1,62,Gulf Power Company,Smith
2,3,Alaska Electric Light and Power Company,Lemon Creek
3,74,Indianapolis Power & Light Company,Eagle Valley
4,178,"Duke Energy Kentucky, Inc.",WOODSDALE GT
5,141,Portland General Electric Company,Port Westward 1
6,177,UNION ELECTRIC COMPANY,Peno Creek C.T.
7,130,Oklahoma Gas and Electric Company,MUSKOGEE
8,108,"Nevada Power Company, d/b/a NV Energy",Mohave 1 & 2
9,177,UNION ELECTRIC COMPANY,Meramec
10,181,Upper Peninsula Power Company,Portage
11,44,DTE Electric Company,Renaissance Peaker
12,7,Arizona Public Service Company,Douglas
13,134,PacifiCorp,Craig
14,145,Public Service Company of Colorado,Comanche
15,51,The Empire District Electric Company,Riverton (9-12)
16,7,Arizona Public Service Company,Ocotillo 1
17,89,Madison Gas and Electric Company,Columbia 1
18,79,Kansas City Power & Light Company,LaCygne 1 (50%)
19,82,Kentucky Utilities Company,EW Brown
20,61,Green Mountain Power Corp,Ascutney #200
21,194,Wisconsin Power and Light Company,Cedar Ridge
22,74,Indianapolis Power & Light Company,Petersburg
23,186,VIRGINIA ELECTRIC AND POWER COMPANY,Elizabeth River CT
24,41,Consumers Energy Company,Weadock
25,88,Louisville Gas and Electric Company,Cane Run
26,144,"Duke Energy Indiana, LLC",CAYUGA
27,193,Wisconsin Electric Power Company,CONCORD-TOTAL
28,141,Portland General Electric Company,Boardman
29,134,PacifiCorp,Currant Creek
30,166,Southwestern Public Service Company,Plant X
31,87,EL Investment Company,Waterford 3
32,148,Public Service Company of Oklahoma,WELEETKA
33,281,Interstate Power and Light Company,Fox Lake
34,36,"Consolidated Edison Company of New York, Inc.",East River 6&7
35,57,Georgia Power Company,FORT BENNING
36,130,Oklahoma Gas and Electric Company,HORSESHOE LAKE
37,44,DTE Electric Company,Belle River (Oil) Pk
38,44,DTE Electric Company,Dean Peaker
39,210,MidAmerican Energy Company,Neal #3
40,454,"Entergy Louisiana, LLC",Ouachita 3
41,148,Public Service Company of Oklahoma,SOUTHWESTERN  1 - 3
42,186,VIRGINIA ELECTRIC AND POWER COMPANY,Gordonsville
43,80,Kansas Gas and Electric Company,Gordon Evans w/Diesl
44,157,Sierra Pacific Power Company d/b/a NV Energy,TRACY 8-10
45,120,Northern States Power Company (Minnesota),"High Bridge 7, 8, 9"
46,55,"Duke Energy Florida, LLC",Higgins
47,159,South Carolina Electric & Gas Company,Urquhart Comb Cycle
48,79,Kansas City Power & Light Company,LaCygne (100%)
49,85,National Grid Generation LLC,EF Barrett
50,95,"MDU Resources Group, Inc.",Coyote
51,62,Gulf Power Company,Smith Unit 3
52,150,"Puget Sound Energy, Inc.",FREDONIA 3&4
53,227,"Wolverine Power Supply Cooperative, Inc.",Sumpter
54,147,Public Service Company of New Mexico,Afton Turbine
55,56,Florida Power & Light Company,Cape Canaveral
56,98,"ALLETE, Inc.",Bison
57,56,Florida Power & Light Company,DeSoto
58,6,Appalachian Power Company,Dresden
59,8,"Entergy Arkansas, Inc.",Robert Ritchie 1
60,44,DTE Electric Company,Greenwood Peaker
61,176,Tucson Electric Power Company,Springerville
62,89,Madison Gas and Electric Company,Columbia Total
63,176,Tucson Electric Power Company,Sundt (Gas)
64,56,Florida Power & Light Company,West County
65,17,"Duke Energy Progress, LLC",Morehead
66,2,ALABAMA POWER COMPANY,Mississippi Power 's
67,164,Southwestern Electric Power Company,Knox Lee
68,121,Northern States Power Company (Wisconsin),French Island 3 & 4
69,57,Georgia Power Company,WANSLEY
70,145,Public Service Company of Colorado,Pawnee
71,44,DTE Electric Company,Belle River Gas Pkr
72,186,VIRGINIA ELECTRIC AND POWER COMPANY,Mount Storm CT
73,146,Public Service Company of New Hampshire,SCHILLER (Cont'd)
74,57,Georgia Power Company,VOGTLE
75,7,Arizona Public Service Company,Cholla 2
76,41,Consumers Energy Company,Zeeland
77,51,The Empire District Electric Company,Riverton (7&8)
78,121,Northern States Power Company (Wisconsin),French Island 1 &2
79,56,Florida Power & Light Company,Turkey Point 5
80,150,"Puget Sound Energy, Inc.",LOWER SNAKE RIVER
81,6,Appalachian Power Company,Kanawha River
82,186,VIRGINIA ELECTRIC AND POWER COMPANY,Altavista
83,159,South Carolina Electric & Gas Company,Urquhart Comb 1-4
84,177,UNION ELECTRIC COMPANY,Howard Bend C.T.
85,166,Southwestern Public Service Company,Jones Gas
86,195,Wisconsin Public Service Corporation,"W Marinette M31, M32"
87,193,Wisconsin Electric Power Company,PARIS-TOTAL
88,108,"Nevada Power Company, d/b/a NV Energy",Reid Gardner 4
89,51,The Empire District Electric Company,SLCC Tolling
