respondent_id,plant_name,report_year,spplmnt_num,row_number,row_seq,row_prvlg,plant_kind,type_const,yr_const,yr_installed,tot_capacity,peak_demand,plant_hours,plnt_capability,when_not_limited,when_limited,avg_num_of_emp,net_generation,cost_land,cost_structure,cost_equipment,cost_of_plant_to,cost_per_kw,expns_operations,expns_fuel,expns_coolants,expns_steam,expns_steam_othr,expns_transfer,expns_electric,expns_misc_power,expns_rents,expns_allowances,expns_engnr,expns_structures,expns_boiler,expns_plants,expns_misc_steam,tot_prdctn_expns,expns_kwh,asset_retire_cost,report_prd,report_year,spplmnt_num,row_number,row_seq,row_prvlg,fuel,fuel_unit,fuel_quantity,fuel_avg_heat,fuel_cost_delvd,fuel_cost_burned,fuel_cost_btu,fuel_cost_kwh,fuel_generaton,report_prd,capacity_factor,expns_nonfuel,,,,,
145,"Cherokee 3,4",2015,0,2,2,,Steam-Internal Comb,Outdoor Boiler,1957,1968,505.8,495,8017,350,350,350,86,2345168000,16864108,49613529,201994493,273151476,540.0385,202633,1925133,0,243592,0,0,29721,1253739,1023136,0,216100,74394,181720,62062,632995,5845225,0.0025,4679346,12,2015,0,4,4,,Coal,tons,1017952,11331,64.3,70.38,3.01,0.031,10166.12,12,0.529286758,3920092,,,,,
145,"Cherokee 3,4",2015,0,2,2,,Steam-Internal Comb,Outdoor Boiler,1957,1968,505.8,495,8017,350,350,350,86,2345168000,16864108,49613529,201994493,273151476,540.0385,202633,1925133,0,243592,0,0,29721,1253739,1023136,0,216100,74394,181720,62062,632995,5845225,0.0025,4679346,12,2015,0,5,5,,Gas,mcf,182594,1062,4.06,4.06,8.58,0,0,12,0.529286758,3920092,,,,,
145,"Cherokee 3,4",2015,0,2,2,,Steam-Internal Comb,Outdoor Boiler,1957,1968,505.8,495,8017,350,350,350,86,2345168000,16864108,49613529,201994493,273151476,540.0385,202633,1925133,0,243592,0,0,29721,1253739,1023136,0,216100,74394,181720,62062,632995,5845225,0.0025,4679346,12,2015,0,6,6,,Oil,bbls,0,0,0,0,0,0,0,12,0.529286758,3920092,,,,,
145,"Cherokee 5, 6, & 7",2015,0,3,3,,Combined Cycle,Outdoor (Auto Oper),2015,2015,625.6,608,3464,600,600,576,0,1109775000,0,131624195,451954268,583578463,932.83,324010,74109017,0,5248441,0,0,653543,4133992,484166,0,111197,1747165,4759107,1983852,3799549,97354039,0.0877,0,12,2015,0,7,7,,Coal,tons,0,0,0,0,0,0,0,12,0.202504226,23245022,,,,,
145,"Cherokee 5, 6, & 7",2015,0,3,3,,Combined Cycle,Outdoor (Auto Oper),2015,2015,625.6,608,3464,600,600,576,0,1109775000,0,131624195,451954268,583578463,932.83,324010,74109017,0,5248441,0,0,653543,4133992,484166,0,111197,1747165,4759107,1983852,3799549,97354039,0.0877,0,12,2015,0,8,8,,Gas,mcf,7833098,1101,4.64,4.64,4.52,0.033,7244.95,12,0.202504226,23245022,,,,,
145,"Cherokee 5, 6, & 7",2015,0,3,3,,Combined Cycle,Outdoor (Auto Oper),2015,2015,625.6,608,3464,600,600,576,0,1109775000,0,131624195,451954268,583578463,932.83,324010,74109017,0,5248441,0,0,653543,4133992,484166,0,111197,1747165,4759107,1983852,3799549,97354039,0.0877,0,12,2015,0,9,9,,Oil,bbls,0,0,0,0,0,0,0,12,0.202504226,23245022,,,,,
145,Comanche,2015,0,4,4,,Steam,Outdoor Boiler,1973,2010,1635.3,1429,8760,1171,1171,1160,145,7029257000,6139775,186667017,1356159616,1546185463,945.5057,1462556,117289326,0,16200274,0,0,1415181,5092634,3066682,0,2254511,2324383,11770182,2231708,3907775,167015212,0.0238,-2780945,12,2015,0,10,10,,Coal,tons,4339947,9009,23.18,25.79,1.57,0.017,10276.34,12,0.490690759,49725886,,,,,
145,Comanche,2015,0,4,4,,Steam,Outdoor Boiler,1973,2010,1635.3,1429,8760,1171,1171,1160,145,7029257000,6139775,186667017,1356159616,1546185463,945.5057,1462556,117289326,0,16200274,0,0,1415181,5092634,3066682,0,2254511,2324383,11770182,2231708,3907775,167015212,0.0238,-2780945,12,2015,0,11,11,,Gas,mcf,1147824,997,4.6,4.6,4.61,0,0,12,0.490690759,49725886,,,,,
145,Comanche,2015,0,4,4,,Steam,Outdoor Boiler,1973,2010,1635.3,1429,8760,1171,1171,1160,145,7029257000,6139775,186667017,1356159616,1546185463,945.5057,1462556,117289326,0,16200274,0,0,1415181,5092634,3066682,0,2254511,2324383,11770182,2231708,3907775,167015212,0.0238,-2780945,12,2015,0,12,12,,Oil,bbls,0,0,0,0,0,0,0,12,0.490690759,49725886,,,,,
145,Craig,2015,0,5,5,,Steam,Conventional,1979,1980,86.9,190,6714,83,83,83,0,527759520,283950,19760824,77422279,97482671,1121.7799,44390,10520711,0,658268,0,0,276189,615422,230248,0,327889,162379,1272358,70716,441231,14619801,0.0277,15618,12,2015,0,13,13,,Coal,tons,263482,10015,38.71,39.69,1.95,0.02,10197.8,12,0.693285622,4099090,,,,,
145,Craig,2015,0,5,5,,Steam,Conventional,1979,1980,86.9,190,6714,83,83,83,0,527759520,283950,19760824,77422279,97482671,1121.7799,44390,10520711,0,658268,0,0,276189,615422,230248,0,327889,162379,1272358,70716,441231,14619801,0.0277,15618,12,2015,0,14,14,,Gas,mcf,16210,1063,3.31,3.31,3.11,0,0,12,0.693285622,4099090,,,,,
145,Craig,2015,0,5,5,,Steam,Conventional,1979,1980,86.9,190,6714,83,83,83,0,527759520,283950,19760824,77422279,97482671,1121.7799,44390,10520711,0,658268,0,0,276189,615422,230248,0,327889,162379,1272358,70716,441231,14619801,0.0277,15618,12,2015,0,15,15,,Oil,bbls,137,135951,111.97,111.97,19.61,0,0,12,0.693285622,4099090,,,,,
145,Hayden,2015,1,1,1,,Steam,Conventional,1965,1976,465.39,447,8550,237,237,237,71,1356341000,1729124,38887308,275174009,314127434,674.9768,1123592,34257052,0,2253392,0,0,345447,3262287,591736,0,572611,1118272,2775090,548829,1545229,48393537,0.0357,-1663007,12,2015,1,1,1,,Coal,tons,704321,11658,45.03,48.44,2.13,0.025,11841.59,12,0.33269612,14136485,,,,,
145,Hayden,2015,1,1,1,,Steam,Conventional,1965,1976,465.39,447,8550,237,237,237,71,1356341000,1729124,38887308,275174009,314127434,674.9768,1123592,34257052,0,2253392,0,0,345447,3262287,591736,0,572611,1118272,2775090,548829,1545229,48393537,0.0357,-1663007,12,2015,1,2,2,,Gas,mcf,17202,1066,5.05,5.05,3.99,0,0,12,0.33269612,14136485,,,,,
145,Hayden,2015,1,1,1,,Steam,Conventional,1965,1976,465.39,447,8550,237,237,237,71,1356341000,1729124,38887308,275174009,314127434,674.9768,1123592,34257052,0,2253392,0,0,345447,3262287,591736,0,572611,1118272,2775090,548829,1545229,48393537,0.0357,-1663007,12,2015,1,3,3,,Oil,bbls,1005,137269,101.37,101.37,29.61,0,0,12,0.33269612,14136485,,,,,
145,Pawnee,2015,1,2,2,,Steam,Outdoor Boiler,1981,1981,552.33,508,8050,505,505,502,72,3427166000,5355538,147788467,708435336,918152433,1662.3258,365671,55348824,0,7468356,0,0,1185537,4028907,1495183,0,459922,1339332,4683028,850313,4452825,81677898,0.0238,56573092,12,2015,1,4,4,,Coal,tons,2199498,8395,22.37,25.04,1.49,0.016,10799.27,12,0.708324725,26329074,,,,,
145,Pawnee,2015,1,2,2,,Steam,Outdoor Boiler,1981,1981,552.33,508,8050,505,505,502,72,3427166000,5355538,147788467,708435336,918152433,1662.3258,365671,55348824,0,7468356,0,0,1185537,4028907,1495183,0,459922,1339332,4683028,850313,4452825,81677898,0.0238,56573092,12,2015,1,5,5,,Gas,mcf,74021,1075,3.08,3.08,2.87,0,0,12,0.708324725,26329074,,,,,
145,Valmont 5,2015,1,3,3,,Steam,Outdoor Boiler,1964,1964,191.68,187,7607,184,184,184,39,1057147000,452907,22337238,120199742,141947225,740.5427,5631,33922972,0,2854623,0,0,793118,864210,580,0,2449,401385,1506122,1127979,851688,42330757,0.04,-1042662,12,2015,1,7,7,,Coal,tons,453097,11284,69.17,74.06,3.28,0.032,9761.89,12,0.629585149,8407785,,,,,
145,Valmont 5,2015,1,3,3,,Steam,Outdoor Boiler,1964,1964,191.68,187,7607,184,184,184,39,1057147000,452907,22337238,120199742,141947225,740.5427,5631,33922972,0,2854623,0,0,793118,864210,580,0,2449,401385,1506122,1127979,851688,42330757,0.04,-1042662,12,2015,1,8,8,,Gas,mcf,91252,1030,5.76,5.76,5.59,0,0,12,0.629585149,8407785,,,,,
145,Zuni,2015,1,4,4,,Steam,1 Out Boil 2 Conv,1948,1954,75,0,0,60,60,59,0,-1237000,849135,5622208,15837507,26466027,352.8804,-50,49472,0,1101705,0,0,21545,332337,-540,0,28552,386957,371452,141056,332708,2765194,-2.2354,4157177,12,2015,1,11,11,,Gas,mcf,0,0,0,0,0,0,0,12,-0.001882801,2715722,,,,,
145,Zuni,2015,1,4,4,,Steam,1 Out Boil 2 Conv,1948,1954,75,0,0,60,60,59,0,-1237000,849135,5622208,15837507,26466027,352.8804,-50,49472,0,1101705,0,0,21545,332337,-540,0,28552,386957,371452,141056,332708,2765194,-2.2354,4157177,12,2015,1,12,12,,Oil,bbls,0,0,0,0,0,0,0,12,-0.001882801,2715722,,,,,
145,Alamosa,2015,1,5,5,,Combustion Turbine,Outdoor (Auto Oper),1973,1977,53.28,31,212,35,35,26,0,3585000,48072,521932,9085552,9655556,181.2229,374,313506,0,0,0,0,58,1664,1115,0,89,8088,0,34276,56538,415708,0.116,0,12,2015,1,14,14,,Gas,mcf,55569,974,4.19,4.19,4.31,0.082,16220.36,12,0.007681054,102202,,,,,
145,Alamosa,2015,1,5,5,,Combustion Turbine,Outdoor (Auto Oper),1973,1977,53.28,31,212,35,35,26,0,3585000,48072,521932,9085552,9655556,181.2229,374,313506,0,0,0,0,58,1664,1115,0,89,8088,0,34276,56538,415708,0.116,0,12,2015,1,15,15,,Oil,bbls,701,137309,86.46,86.46,14.99,0,0,12,0.007681054,102202,,,,,
145,Fort Lupton,2015,2,1,1,,Combustion Turbine,Outdoor (Auto Oper),1972,1972,100.8,106,234,100,100,89,0,3201000,0,191962,13533098,13725060,136.1613,734,333711,0,0,0,0,52,2566,996,0,80,15200,0,531279,651,885269,0.2766,0,12,2015,2,2,2,,Gas,mcf,43672,1080,6.1,6.1,5.65,0.099,16039.99,12,0.003625109,551558,,,,,
145,Fort Lupton,2015,2,1,1,,Combustion Turbine,Outdoor (Auto Oper),1972,1972,100.8,106,234,100,100,89,0,3201000,0,191962,13533098,13725060,136.1613,734,333711,0,0,0,0,52,2566,996,0,80,15200,0,531279,651,885269,0.2766,0,12,2015,2,3,3,,Oil,bbls,744,133564,66.43,66.43,11.84,0,0,12,0.003625109,551558,,,,,
145,Fruita,2015,2,2,2,,Combustion Turbine,Outdoor (Auto Oper),1973,1973,26.64,16,47,18,18,14,0,135000,1216,92002,3370689,3463907,130.0265,54,70413,0,0,0,0,3936,2346,42,0,-4064,5569,0,19,78,78393,0.5807,0,12,2015,2,5,5,,Gas,mcf,4351,1040,12.07,12.07,11.6,0.516,39725.93,12,0.000578489,7980,,,,,
145,Fruita,2015,2,2,2,,Combustion Turbine,Outdoor (Auto Oper),1973,1973,26.64,16,47,18,18,14,0,135000,1216,92002,3370689,3463907,130.0265,54,70413,0,0,0,0,3936,2346,42,0,-4064,5569,0,19,78,78393,0.5807,0,12,2015,2,6,6,,Oil,bbls,146,136765,117.68,117.68,20.5,0,0,12,0.000578489,7980,,,,,
145,Valmont 6,2015,2,3,3,,Combustion Turbine,Outdoor (Auto Oper),1973,1973,59.3,54,46,51,51,43,0,1329000,0,58103,9355379,9413482,158.7434,138,113806,0,0,0,0,897,325,413,0,33,7746,0,58010,2376,183744,0.1383,0,12,2015,2,8,8,,Gas,mcf,19573,1033,5.44,5.44,5.26,0.08,15210.68,12,0.002558387,69938,,,,,
145,Fort St. Vrain 1-4,2015,2,4,4,,Combined Cycle,Outdoor (Auto Oper),1972,2001,867.85,740,8310,716,716,680,29,3468266000,4810295,36205287,388062572,428426635,493.6644,568746,118890602,0,0,0,0,2494343,1179257,1079210,0,110612,1311300,2429,4260882,799312,130696693,0.0377,-651519,12,2015,2,11,11,,Gas,mcf,24718472,1070,4.03,4.03,3.77,0.029,7623.81,12,0.456208764,11806091,,,,,
145,Fort St. Vrain 5-6,2015,2,5,5,,Combustion Turbine,Outdoor (Auto Oper),2009,2009,280.5,292,759,319,319,289,0,98257000,0,14824483,150082581,164907064,587.904,18968,4740009,0,0,0,0,104236,37951,30580,0,3470,51314,102,173405,33119,5193154,0.0529,0,12,2015,2,14,14,,Gas,mcf,1039461,1079,3.99,3.99,3.7,0.042,11413.33,12,0.039987709,453145,,,,,
145,Blue Spruce,2015,3,1,1,,Combustion Turbine,Outdoor (Auto oper.),2003,2003,397.8,315,608,292,292,264,4,402090000,1533092,0,216527562,218060654,548.1666,42380,21236462,0,0,0,0,9434,958019,132610,0,11426,571643,0,199869,-66227,23095616,0.0574,0,12,2015,3,2,2,,Gas,mcf,4166790,1097,4.56,4.56,4.15,0.047,11372.9,12,0.115386337,1859154,,,,,
145,Blue Spruce,2015,3,1,1,,Combustion Turbine,Outdoor (Auto oper.),2003,2003,397.8,315,608,292,292,264,4,402090000,1533092,0,216527562,218060654,548.1666,42380,21236462,0,0,0,0,9434,958019,132610,0,11426,571643,0,199869,-66227,23095616,0.0574,0,12,2015,3,3,3,,Oil,bbls,274,138000,77.56,77.56,13.38,0,0,12,0.115386337,1859154,,,,,
145,Rocky Mountain,2015,3,2,2,,Combined Cycle,Outdoor (Auto oper.),2004,2004,685.1,2837,5587,615,615,580,28,1848027000,317528,2632762,389741684,396556016,578.8294,591410,61546993,0,0,0,0,-1383234,7345708,574812,0,57157,2241508,382,15253848,2322048,88550632,0.0479,3864042,12,2015,3,5,5,,Gas,mcf,12980951,1097,3.95,3.95,3.6,0.028,7698.13,12,0.30792875,27003639,,,,,
