,respondent_id,respondent_name,plant_name,kind_of_fuel,capacity_rating
0,123,Northwestern Wisconsin Electric Company,GRANTSBURG,#2 ULS DIESEL,12.64
1,7,Arizona Public Service Company,Hyder II,,14.0
2,133,PACIFIC GAS AND ELECTRIC COMPANY, Kern Canyon FERC No. 178,Water,9.54
3,134,PacifiCorp,High Plains,Wind,99.0
4,108,"Nevada Power Company, d/b/a NV Energy",Total,,22.82
5,41,Consumers Energy Company,Alcona - FPC #2447,,8.0
6,149,Public Service Electric and Gas Company,    -Segment 1b - 3rd-Party Owned Sites,Solar,18.6
7,7,Arizona Public Service Company,Chino Valley,,19.0
8,132,Otter Tail Power Company,Ashtabula,,48.0
9,195,Wisconsin Public Service Corporation,TOTAL HYDRO,,48.86
10,134,PacifiCorp,Glenrock,Wind,99.0
11,195,Wisconsin Public Service Corporation,TOTAL WIND TURBINES,,108.24
12,108,"Nevada Power Company, d/b/a NV Energy",Goodsprings,Waste Heat/Gas,7.5
13,210,MidAmerican Energy Company,Highland Wind Farm (214 units @ 2.346 MW each),,502.04
14,95,"MDU Resources Group, Inc.",Portable Generators,Oil,5.5
15,61,Green Mountain Power Corp,DeForge station # 1 D License# 2879,,7.5
16,281,Interstate Power and Light Company,Total Diesel,Oil,16.0
17,115,New York State Electric & Gas Corporation,Cadyville (A),,5.53
18,120,Northern States Power Company (Minnesota),Nobles Wind,Wind,201.0
19,210,MidAmerican Energy Company,Macksburg Wind Farm (51 units @ 2.346 MW each),,119.64
20,193,Wisconsin Electric Power Company,Brule - 2431 (4),,5.3
21,133,PACIFIC GAS AND ELECTRIC COMPANY,Five Points - Schindler Solar Station #1,Solar,15.0
22,195,Wisconsin Public Service Corporation,Caldron Falls            2525,,6.77
23,141,Portland General Electric Company,TATA Communications - Portland,diesel-low s,6.6
24,133,PACIFIC GAS AND ELECTRIC COMPANY, Deer Creek FERC No.2310,Water,5.5
25,210,MidAmerican Energy Company,Carroll Wind Farm (100 units @ 1.5 MW each),,150.0
26,157,Sierra Pacific Power Company d/b/a NV Energy,Fort Churchill Solar Array,Solar,19.5
27,133,PACIFIC GAS AND ELECTRIC COMPANY,Cantua Solar Station,Solar,20.0
28,133,PACIFIC GAS AND ELECTRIC COMPANY, Centerville FERC No.803,Water,6.4
29,11,Emera Maine,Medway,,8000.0
30,123,Northwestern Wisconsin Electric Company,DANBURY COMBUSTION TURBINE,#1 ULS DIESEL,6.75
31,121,Northern States Power Company (Wisconsin),Cedar Falls,,6.0
32,133,PACIFIC GAS AND ELECTRIC COMPANY, Potter Valley FERC No.77,Water,9.46
33,133,PACIFIC GAS AND ELECTRIC COMPANY,West Gates Solar Station,Solar,10.0
34,281,Interstate Power and Light Company,  Centerville,Oil,6.0
35,45,"Duke Energy Carolinas, LLC",Gaston Shoals - Project 2332,,5.3
36,11,Emera Maine,Total,,20000.0
37,181,Upper Peninsula Power Company,McClure,,8.0
38,7,Arizona Public Service Company,Foothills 1 & 2,,35.0
39,133,PACIFIC GAS AND ELECTRIC COMPANY, Chili Bar FERC No.2155,Water,7.02
40,61,Green Mountain Power Corp,Essex station # 19 License# 2531,,7.2
41,74,Indianapolis Power & Light Company,Petersburg,oil,8.25
42,95,"MDU Resources Group, Inc.",Ormat Facility,Waste Heat,7.5
43,121,Northern States Power Company (Wisconsin),Big Falls,,7.78
44,193,Wisconsin Electric Power Company,Twin Falls - 1759 (4),,6.3
45,133,PACIFIC GAS AND ELECTRIC COMPANY,Stroud Solar Station,Solar,20.0
46,133,PACIFIC GAS AND ELECTRIC COMPANY,Guernsey Solar Station,Solar,20.0
47,6,Appalachian Power Company,Buck - Project #2514,,8.5
48,144,"Duke Energy Indiana, LLC",WABASH RIVER PEAKING UNITS,Oil,8.1
49,193,Wisconsin Electric Power Company,White Rapids - 2357 (4),,7.2
50,122,NorthWestern Corporation,Madison,,8.0
51,44,DTE Electric Company,Gratiot Wind Park (Breckinridge),Wind,102.4
52,120,Northern States Power Company (Minnesota),Red Wing,"RDF, Gas",23.0
53,157,Sierra Pacific Power Company d/b/a NV Energy,Brunswick,OIL,6.0
54,7,Arizona Public Service Company,Hyder Phase 1 & 2,,16.0
55,41,Consumers Energy Company,Five Channels - FPC #2453,,6.0
56,41,Consumers Energy Company,Rogers - FPC #2451,,6.76
57,133,PACIFIC GAS AND ELECTRIC COMPANY, South FERC No.1121,Water,6.75
58,161,Southern California Edison Company,SC-ETWIND26-SOL,,6.0
59,133,PACIFIC GAS AND ELECTRIC COMPANY, Spaulding No. 3 FERC No.2310,Water,6.61
60,210,MidAmerican Energy Company,Victory Wind Farm (66 units @1.5 MW each),,99.0
61,57,Georgia Power Company,Burton (A),,6.1
62,193,Wisconsin Electric Power Company,Michigamme Falls - 2073 (4),,9.6
63,7,Arizona Public Service Company,Gila Bend Phase 2,,16.0
64,7,Arizona Public Service Company,Cotton Center,,17.0
65,210,MidAmerican Energy Company,Morning Light Wind Farm (44 units @ 2.3 MW each),,101.2
66,41,Consumers Energy Company,Cooke - FPC #2450,,9.0
67,147,Public Service Company of New Mexico,Cibola Solar,Solar,8.0
68,95,"MDU Resources Group, Inc.",Cedar Hills,Wind,19.5
69,147,Public Service Company of New Mexico,Deming Solar,Solar,9.0
70,40,Consolidated Water Power Company,Wisconsin Rapids,,9.11
71,134,PacifiCorp,Glenrock III,Wind,39.0
72,70,Idaho Power Company, Thousand Springs,,8.8
73,44,DTE Electric Company,Echo Wind Park,Wind,112.0
74,41,Consumers Energy Company,Croton - FPC #2468,,8.85
75,7,Arizona Public Service Company,Desert Star,,10.0
76,7,Arizona Public Service Company,Luke AFB,,10.0
77,61,Green Mountain Power Corp,Waterbury Station # 22 A License# 2090,,5.52
78,195,Wisconsin Public Service Corporation,Grand Rapids           2433,,7.62
79,7,Arizona Public Service Company,APS Solar for Schools,,13.2
80,141,Portland General Electric Company,FORTIX (ViaWest),diesel-low s,8.5
81,134,PacifiCorp,Prospect No. 3                   2337,Water,7.2
82,40,Consolidated Water Power Company,DuBay,,7.2
83,149,Public Service Electric and Gas Company,    -Segment 1c - Urban Enterprise Zone,Solar,5.4
84,149,Public Service Electric and Gas Company,    -Segment 2 - Pole Tops,Solar,38.4
85,147,Public Service Company of New Mexico,Otero Solar,Solar,7.5
86,133,PACIFIC GAS AND ELECTRIC COMPANY,Giffen Solar Station,Solar,10.0
87,115,New York State Electric & Gas Corporation,"Mill ""C"" (A)",,6.05
88,210,MidAmerican Energy Company,Adair Wind Farm (76 units @ 2.3 MW each),,174.8
89,148,Public Service Company of Oklahoma,Tulsa Diesel,Oil,8.25
90,147,Public Service Company of New Mexico,Santa Fe Solar,Solar,9.5
91,40,Consolidated Water Power Company,Biron,,6.43
92,147,Public Service Company of New Mexico,Rio Communities Solar,Solar,10.0
93,149,Public Service Electric and Gas Company,    -Segment 1a- PSE&G Owned Sites,Solar,16.0
94,210,MidAmerican Energy Company,Intrepid Wind Farm (107 units @ 1.5 MW each &,,175.5
95,133,PACIFIC GAS AND ELECTRIC COMPANY,Gates Solar Station,Solar,20.0
96,61,Green Mountain Power Corp,Searsburg Wind #92,,6.9
97,44,DTE Electric Company,Brookfield Wind Park,Wind,74.8
98,133,PACIFIC GAS AND ELECTRIC COMPANY, Spaulding No. 1 FERC No.2310,Water,7.04
99,95,"MDU Resources Group, Inc.",Diamond Willow,Wind,30.0
100,187,Avista Corporation,Kettle Falls CT,Nat Gas,7.2
101,61,Green Mountain Power Corp,Huntington Falls #203,,5.5
102,41,Consumers Energy Company,Cross Winds Energy Park,,110.98
103,57,Georgia Power Company,Flint River (B),,5.4
104,133,PACIFIC GAS AND ELECTRIC COMPANY, Hamilton Branch,Water,5.39
105,79,Kansas City Power & Light Company,Spearville Wind Energy Facility,wind,151.7
106,73,Indiana Michigan Power Company,Berrien Springs,,7.2
107,44,DTE Electric Company,Thumb Wind Park (Minden),Wind,32.0
108,193,Wisconsin Electric Power Company,Glaier Hills,,162.0
109,149,Public Service Electric and Gas Company,    -Extension - Landfills and Pilot Projects,Solar,35.1
