,respondent_id,respondent_name,plant_name,plant_kind,tot_capacity
0,122,NorthWestern Corporation,Thompson Falls,Storage,94.0
1,70,Idaho Power Company,Milner,Run-of-River,59.45
2,133,PACIFIC GAS AND ELECTRIC COMPANY,POE,R of R/Storage,142.83
3,98,"ALLETE, Inc.",Thomson,Storage,72.6
4,134,PacifiCorp,Clearwater No. 2,Run-of-River,26.0
5,121,Northern States Power Company (Wisconsin),St Croix Falls,Peaking,23.2
6,133,PACIFIC GAS AND ELECTRIC COMPANY,JAMES B. BLACK, R of R/Storage,168.66
7,133,PACIFIC GAS AND ELECTRIC COMPANY,PIT NO. 5,R of R/Storage,141.84
8,134,PacifiCorp,Merwin,Storage (Re-Reg),136.0
9,82,Kentucky Utilities Company,Dix Dam,Storage,34.0
10,134,PacifiCorp,Clearwater No. 1,Run-of-River,15.0
11,161,Southern California Edison Company,Big Creek No. 8,Storage,75.0
12,70,Idaho Power Company,Hells Canyon,Storage,391.5
13,2,ALABAMA POWER COMPANY,Mitchell,Run-of-River,170.0
14,57,Georgia Power Company,NORTH HIGHLANDS,Run-of-River,30.0
15,161,Southern California Edison Company,Poole Plant,Storage,11.3
16,133,PACIFIC GAS AND ELECTRIC COMPANY,BALCH NO. 1,R of R/Storage,31.0
17,133,PACIFIC GAS AND ELECTRIC COMPANY,BELDEN,R of R/Storage,117.9
18,134,PacifiCorp,Grace,Storage,33.0
19,98,"ALLETE, Inc.",Blanchard,Run-of-River,18.0
20,133,PACIFIC GAS AND ELECTRIC COMPANY,BUCKS CREEK,R of R/Storage,66.0
21,57,Georgia Power Company,WALLACE DAM,Storage,113.0
22,150,"Puget Sound Energy, Inc.",UPPER BAKER,Storage,104.8
23,145,Public Service Company of Colorado,Shoshone,Run-of-River,14.4
24,161,Southern California Edison Company,Portal Power Plant,Storage,10.8
25,70,Idaho Power Company,Shoshone Falls,Run-of-River,12.5
26,144,"Duke Energy Indiana, LLC",Markland,Run-of-River,64.8
27,133,PACIFIC GAS AND ELECTRIC COMPANY,ELECTRA,R of R/Storage,102.5
28,161,Southern California Edison Company,Kern River No. 3,Run-of-River,36.5
29,45,"Duke Energy Carolinas, LLC",Dearborn,Run-of-River,45.0
30,122,NorthWestern Corporation,Holter,Run-of-River,48.0
