,respondent_id,respondent_name
0,63,"Entergy Gulf States Louisiana, L.L.C."
1,401,AJO Improvement Company
2,23,Central Maine Power Company
3,446,Trans Bay Cable LLC
4,243,Amerada Hess Corporation
5,249,"Carr Street Generating, L.P."
6,11,Emera Maine
7,5,THE ALLEGHENY GENERATING COMPANY
8,309,NSTAR Electric Company
9,452,AEP Generation Resources Inc.
10,81,Kentucky Power Company
11,178,"Duke Energy Kentucky, Inc."
12,83,Kingsport Power Company
13,262,"Midwest Electric Power, Inc"
14,437,"AEP West Virginia Transmission Company, Inc."
15,408,"Flowell Electric Association, Inc."
16,211,"Black Creek Hydro, Inc."
17,44,DTE Electric Company
18,172,Terra Comfort Corporation
19,235,Duke Energy Moss Landing LLC
20,234,"Delta Natural Gas Company, Inc."
21,154,St. Joseph Light & Power Company
22,432,"Black Hills/Colorado Electric Utility Company, LP"
23,427,Sussex Rural Electric Cooperative
24,12,"Black Hills Power, Inc."
25,29,CITIZENS COMMUNCIATIONS COMPANY
26,72,Indiana-Kentucky Electric Corporation
27,167,"Superior Water, Light and Power Company"
28,99,Mississippi Power Company
29,76,Iowa-Illinois Gas and Electric Company
30,144,"Duke Energy Indiana, LLC"
31,157,Sierra Pacific Power Company d/b/a NV Energy
32,257,First Electric Cooperative Corporation
33,192,Wheeling Power Company
34,422,Pike County Light and Power Company
35,302,"Mountainview Power Company, LLC"
36,62,Gulf Power Company
37,171,Alcoa Power Generating Inc.
38,13,Blackstone Valley Electric Company
39,210,MidAmerican Energy Company
40,402,"Bridger Valley Electric Association, Inc."
41,321,Citizens Sunrise Transmission LLC.
42,185,Vermont Yankee Nuclear Power Corporation
43,244,Smarr EMC
44,27,"Duke Energy Ohio, Inc."
45,101,MONONGAHELA POWER COMPANY
46,67,Holyoke Water Power Company
47,274,"Midcontinent Independent System Operator, Inc"
48,202,"Chugach Electric Association, Inc."
49,141,Portland General Electric Company
50,45,"Duke Energy Carolinas, LLC"
51,124,Ocean State Power
52,177,UNION ELECTRIC COMPANY
53,255,"PJM Interconnection, LLC"
54,425,Southern California Water Company
55,268,"Sharyland Utilities, L.P."
56,415,"Mt. Wheeler Power, Inc."
57,306,"Entergy Power Ventures, LP"
58,104,Montaup Electric Company
59,209,Medina Power Company
60,43,Delmarva Power & Light Company
61,118,North Atlantic Energy Corporation
62,173,TXU Electric Company
63,71,Illinois Power Company
64,316,ITC Midwest LLC
65,88,Louisville Gas and Electric Company
66,433,"ITC Great Plains, LLC"
67,90,"Maine Electric Power Company, Inc."
68,122,NorthWestern Corporation
69,411,Kandiyohi  Power Cooperative
70,26,Century Power Corporation
71,100,"Entergy Mississippi, Inc."
72,405,Dixie-Escalante Rural Electric Association
73,226,Deseret Generation & Transmission Cooperative
74,261,PSEG Power LLC
75,10,Baltimore Gas and Electric Company
76,146,Public Service Company of New Hampshire
77,419,"Omya, Inc."
78,54,Fitchburg Gas and Electric Light Company
79,175,"Toledo Edison Company, The"
80,36,"Consolidated Edison Company of New York, Inc."
81,30,"Cleveland Electric Illuminating Company, The"
82,315,"Entergy Texas, Inc."
83,279,Wolf Creek Nuclear Operating Corporation
84,95,"MDU Resources Group, Inc."
85,429,"United Power, Inc."
86,312,"Wabash Valley Energy Marketing, Inc."
87,301,Attala Transmission LLC
88,28,CITIZENS' ELECTRIC COMPANY
89,248,Adirondack Hydro Development Corporation
90,49,El Paso Electric Company
91,285,Clark Fork & Blackfoot LLC
92,183,"Vermont Electric Power Company, Inc."
93,6,Appalachian Power Company
94,191,"Westar Energy, Inc."
95,46,Duquesne Light Company
96,247,"Vermont Electric Cooperative, Inc."
97,114,"Entergy New Orleans, Inc."
98,251,Wayne-White Counties Electric Cooperative
99,417,North West Rural Electric Cooperative
100,282,Oncor Electric Delivery Company LLC
101,231,ISO New England Inc.
102,294,"Wabash Valley Power Association, Inc."
103,298,"Perryville Energy Partners, L.L.C"
104,232,"Graham County Electric Cooperative, Inc."
105,236,Duke Energy Oakland LLC
106,319,"Prairie Wind Transmission, LLC"
107,263,PSEG Power New York Inc.
108,414,"Moon Lake Electric Association, Inc."
109,134,PacifiCorp
110,135,PECO Energy Company
111,297,"Southwest Power Pool, Inc."
112,112,New England Hydro-Transmission Corporation
113,22,Cleco Power LLC
114,109,Nevada Sun-Peak Limited Partnership
115,117,Niagara Mohawk Power Corporation
116,32,Commonwealth Edison Company
117,453,"Transource Missouri, LLC"
118,276,"Westar Generating, Inc."
119,163,Southern Indiana Gas and Electric Company
120,17,"Duke Energy Progress, LLC"
121,233,Berea College Utilities
122,436,"AEP Appalachian Transmission Company, Inc."
123,162,SOUTHERN ELECTRIC GENERATING COMPANY
124,126,Ohio Edison Company
125,15,Cambridge Electric Light Company
126,430,"White River Electric Association, Inc."
127,416,Nantucket Electric Company
128,96,Metropolitan Edison Company
