operator_id,operator_name
99999,State-Fuel Level Increment
65,Abitibi Consolidated-Lufkin
163,AERA Energy LLC-Oxford
178,AES  Placerita Inc
179,Agrium US Inc
358,Amalgamated Sugar Co LLC
402,Altamont Power LLC
404,Alsip Paper Condominium Assn
431,Alyeska Seafoods Inc
877,Art Institute of Chicago
1053,Austin State Hospital
1311,Bassett Furniture Industries Inc
1554,City of Benkelman
1579,PUD No 1 of Benton County
1636,Big Cajun 1 Peakers
1652,Black Hills Ontario LLC
1687,Bio-Energy Partners
1776,Black River Falls City of
2029,Borden Chemicals & Plastics
2176,Brazos River Authority
2184,Bradford Dyeing Association Inc
2255,Baylor University
2404,City of Brownfield
2430,Brush Cogeneration Partners
2783,Caledonia Power I LLC
2852,Calpine Corp
2895,Calpine Newark LLC
3252,Central Illinois Light Co
3299,Central Wayne Energy Rcvry LP
3335,Cargill Hammond
3635,CMS Distributed Power LLC
3643,Premcor Refining Group Inc
3923,City of Coleman
4252,Conectiv Delmarva Gen Inc
4664,Curtis Specialty Papers
5063,City of Denton
5137,Desert Power LP
5189,Diamond Walnut Growers Inc
5460,Duke Energy Field Services
5463,Duraco Products Inc
5942,Equity Office Properties Trust
6309,FiberMark
6480,Foothills Generating Co LLC
6538,Ford Motor Co
6617,Fort Valley Utility Comm
6762,City of Fredonia
6778,Fraser NH LLC
6837,Fulton Cogen Assoc- Fulton Cogen
7042,Gaylord Container Corp
7055,General Growth Properties Inc
7097,General Electric Erie Power
7370,City of Gonzales
7392,Goodyear Tire & Rubber Co
7631,City of Greensburg
7806,Entergy Gulf States Inc
8449,Henderson City Utility Comm
8479,Hercules Inc
8634,Hilo Coast Processing Co
9255,Indeck Operations Inc
9356,International Paper Co
9669,Japan Energy Corp Ltd
9681,Jeanerette Sugar Co Inc
10001,Kannapolis Energy Partners LLC
10226,Key West City of
10402,KMS Crossroads Inc
10432,Koppers Inc
10837,Lebanon Methane Recovery Inc
10911,Lenzing Fibers Corp
10935,City of Lewes
10950,Lewis Bakeries
10963,Lewiston City of
11136,Lone Star Steel Co
11213,Lotus Engineering Inc
11262,Los Angeles Cold Storage
11468,Madison Hydro Partners
11568,Town of Manilla
12339,Merrimac Paper Co Inc
12666,Mission Iowa Wind
12971,Worcester Energy Partners Inc
13034,Morton International Inc
13380,City of Neodesha
13529,Newark Group Inc
13573,Niagara Mohawk Power Corp
13593,Nicor Gas
13972,Offshore Systems Inc
14013,Ohio State University
14081,Onondaga Cogeneration LP
14387,Paper Pak Industries
14570,Palomar Medical Center
14577,City of Paullina
14661,Pekin Paperboard Co LP
14687,Penn Power Systems
14897,Phelps Dodge Chicago Rod
14938,Phelps Dodge Corp-Hidalgo
15509,Pure Resources
15591,R J Reynolds Tobacco Co
15880,CenterPoint Energy Svs.
15943,City of Rich Hill
15998,Reliant Energy Seward LLC
16175,City of Robstown
16203,Rock-Tenn
16245,Rollling Hills Landfill LLC
16397,Rowan University
16463,City of Ruston
16502,S&L Cogeneration Co
16504,Salk Institute
16704,San Gorgonio Windplant
17062,Shenango Inc
17207,Simkins Industries Inc
17345,Small Hydro of Texas Inc
17542,Sonoco Products Co
17594,Southeast Missouri State Univ
17607,South Glens Falls Energy LLC
17771,Specialty Minerals Inc
17945,St Mary's Hospital
18007,Starwood Hotels & Resorts
18311,Summit Property Co LLC
18337,Sunnyside Cogen Partners
18564,"American Sugar Refining, Inc."
19125,City of Traverse City
19222,TRW Inc
19532,United Water Conservation Dist
19543,U S Agri Chemicals Corp
19699,Valero Refining Co - TX
19759,Velcro USA Inc
19857,Vineland Cogeneration LP
19893,Voss Industries
20110,City of Warren
20210,Warbasse Cogen
20242,Wausau Papers of New Hampshire
20281,West Pharmaceutical Services
20404,AEP Texas North Company
20588,City of Whitesboro
21063,WPI Packaging & Maint Co Inc
21678,Riverdale Mills Corp
21826,Valero Refining Co-Texas City
22256,Yountville Cogeneration Assoc
22294,Warren Power LLC
22502,Petro Operating Co
22999,Aera Energy LLC-Weir
25983,Sparks Regional Medical Center
26256,Love Box Co Inc
26644,Nitram Inc
26940,U S West Financial Service Inc
27727,Enron Wind Systems LLC
30141,San Jose City of
30803,University of California
33308,International Malting Co.
34363,FPL Energy Mason LLC
34649,DCOR LLC
40052,AG Energy LP
40845,Weirton Steel Corp
44135,8309 Tujunga Avenue Corp
49785,"Groveton Paper Board, Inc"
49858,Smithfield-Kinston Division
49879,"Montenay Savannah Operations,  LP"
49906,George Weston Bakeries
49955,Ainsworth Engineered USA LLC
49964,DSM Nutritional Products
50031,"Grubb & Ellis Management Services, Inc."
50098,DTE Biomass
50099,Laidlaw Energy Group Inc.
50110,Cousins Properties Incorporated
50135,Hutchinson Hydro LLC
50137,"U.S. Dept of the Interior, Bureau of Rec"
54690,Western Renewable Energy  LLC
54716,St Marys Cement Inc
54726,Pepperell Realty LLC
54779,AES Western Power LLC
54795,Professional Plant Operations Inc
54825,Crozer Chester Medical Center
55702,DRG School Land LLC
55715,Vintage Production California LLC
55779,WVA Manufacturing LLC
55783,Cumberland and Western Resources
55854,Crosstex Energy Inc
55915,Cascades Tissue Group
55921,Renegy Susanville LLC
56031,CPV Maryland LLC
56383,Geneva Wood Fuels Inc
56391,Freshwater Pulp Company
56946,Hidalgo Wind Farm LLC
57406,Deepwater Wind Block Island LLC
59362,Jericho Rise Wind Farm LLC
59441,"Innovative Solar 46, LLC"
59634,North Star Solar PV LLC
59727,RE Astoria LLC
59728,RE Astoria 2 LLC
