FIELD,Definition,Reported /calculated/assigned,Data source,Page in data source
plant_id_pudl, PUDL plant id. Allows some linkage between FERC & EIA Data. ,assigned,,
plant_id_eia,EIA Plant Identification number. One to five digit numeric.,reported  ,EIA,
plant_name_eia,EIA Plant name.,reported  ,EIA,
operator_name_eia,Name of entity which operates the plant; from EIA923 records.,reported  ,EIA,
state,US state in which the plant is located.,reported  ,EIA,
report_date,Data year.,reported  ,EIA,
generator_id,Generator identification code by plant.,reported  ,EIA923,Generator Data
fuel_cost ,fuel_quantity * average_heat_content * fuel_cost_per_mmbtu  (grouped by plant_id; year & energy_source: total dollars spent on a given fuel type for a plant in a given year),reported  ,EIA923,Fuel Receipts Costs
mmbtu,fuel_quantity * average_heat_content (number of mmbtu of a given fuel type for a plant in a given year),reported  ,EIA923,Fuel Receipts Costs
energy_source,The EIA fuel code associated with the fuel receipt: https://www.eia.gov/electricity/2008forms/aaqs_923.html,reported  ,EIA923,Fuel Receipts Costs
fuel_cost_per_mmbtu_average,(fuel_cost)/(mmbtu),reported  ,EIA923,Fuel Receipts Costs
fuel_consumed_mmbtu ,(fuel_qty_consumed * fuel_mmbtu_per_unit) total heat content of all fuels consumed by the plant for a given year,reported  ,EIA923,Boiler Fuel Data
net_generation_mwh_boiler_gen,'net generation per boiler/generator combination by merging generators923 tab with boiler_generator_association860 tab on ''plant_id''; ''report_date''; ''boiler_id'' & ''generator_id''',calculated,EIA860 & EIA923,Boiler/Generator Associations (860) & Generator Data (923)
net_generation_mwh_boiler,net generation per boiler by merging generators923 tab with boiler_generator_association860 tab on ‘plant_id’; ‘report_date’ & ‘generator_id’,calculated,EIA860 & EIA923,Boiler/Generator Associations (860) & Generator Data (923)
proportion_of_gen_by_boiler_gen,'''net_generation_mwh_boiler_gen''/ ''net_generation_mwh_boiler''',calculated,,
fuel_consumed_mmbtu_per_gen,‘proportion_of_gen_by_boiler_gen’ * ‘fuel_consumed_mmbtu’,calculated,,
fuel_cost_annual_eia,Total dollars spent on all fuels annually for a plant (to compare with expns_fuel from FERC),reported  ,EIA923,Fuel Receipts Costs
heat_rate_mmbtu_mwh,(fuel_consumed_mmbtu_per_gen / net_generation_mwh_boiler_gen) Overall heat rate for each generator in MMBTU per Mwh of net generation.,calculated,,
plant_assn,True (value = 1) if all generators are mapped to a boiler for a given year of plant data; False (value = 0) if generator data exists that is not mapped to a boiler in the boiler generator association table in EIA860.,assigned,EIA,
net_generation_mwh_generator,Net electricity generation in Mwh for a generator (includes all fuels),reported  ,EIA923,Generator Data
net_generation_mwh_plant_eia,Total Mwh of generation for a plant in a year (to compare with net_generation_mwh_plant from FERC),reported  ,EIA923,Generator Data
fuel_cost_per_mwh,(fuel_cost_per_mmbtu_average)/(heat_rate_mmbtu_mwh); this is plant-averaged fuel costs by fuel type for a given year divided by generator-specific heat rate (mmbtu/mwh).,calculated,,
nameplate_capacity_mw_generator, The highest value on the generator nameplate in megawatts rounded to the nearest tenth.,reported  ,EIA860,Generators
summer_capacity_mw_generator,The net summer capacity.,reported  ,EIA860,Generators
winter_capacity_mw_generator,The net winter capacity.,reported  ,EIA860,Generators
capacity_factor,(net_generation_mwh_generator) / (nameplate_capacity_mw * 8760) [8760 hours in a year],reported  ,EIA860 & EIA923,Generators (860) & Generator Data (923)
report_year, Year for which the data was reported.,reported  ,FERC,
respondent_id_ferc, FERC respondent (utility) ID.,reported  ,FERC,
util_id_pudl, PUDL utility id. Allows some linkage between FERC & EIA Data.,reported  ,FERC,
respondent_name_ferc,FERC respondent name.,reported  ,FERC,
plant_name_ferc,Name of the power plant as reported to FERC.,reported  ,FERC,
total_capacity_mw,Total installed capacity. Maximum generation nameplate rating in MW.,reported  ,FERC,
year_constructed,Year originally constructed.,reported  ,FERC,
year_installed,Year last unit was installed.,reported  ,FERC,
peak_demand_mw,Net peak demand on plant in MW.,reported  ,FERC,
water_limited_mw,Net continuous plant capacity when limited by condenser water in MW.,reported  ,FERC,
not_water_limited_mw,Net continuous plant capacity when not limited by condenser water in MW.,reported  ,FERC,
plant_hours,Plant hours connected to load.,reported  ,FERC,
net_generation_mwh_plant,Net generation exclusive of plant use in MWh.,,FERC,
expns_operations,Production expenses: operation supervision & engineering.,,FERC,
expns_fuel,Total fuel expenses.,,FERC,
expns_coolants,Coolants and water (Nuclear plants only).,,FERC,
expns_steam,Steam expenses.,,FERC,
expns_steam_other,Steam from other sources.,,FERC,
expns_transfer,Steam transferred (Circulation Ratio).,,FERC,
expns_electric,Electric expenses.,,FERC,
expns_misc_power,Miscellaneous steam (or nuclear) power expenses.,,FERC,
expns_rents,Rents.,,FERC,
expns_allowances,Allowances.,,FERC,
expns_engineering,Maintenance supervision and engineering.,,FERC,
expns_structures,Maintenance of structures.,,FERC,
expns_boiler,Maintenance of boiler (or reactor) plant.,,FERC,
expns_plants,Maintenance of electric plant.,,FERC,
expns_misc_steam,Maintenance of miscellaneous steam (or nuclear) plant.,,FERC,
expns_production_total,If correlation of an expns field with net_generation_mwh is >0.5 then that expense field is considered a "production" cost. (see ‘Expense Correlations’ tab for values),,FERC,
expns_per_mwh,expns_total / net_generation_mwh,,FERC,
expns_total_nonfuel_production,Total of all non-fuel expns_ fields having >= 0.5 correlation with net_generation_mwh across the entire dataset.,,FERC,
expns_total_nonproduction, Total of all expns_ fields that having < 0.5 correlation with net_generation_mwh.,,FERC,
