FIELD,Definition,Reported /calculated/assigned,Data source,Page in data source,NOTES
plant_id_pudl, PUDL plant id. Allows some linkage between FERC & EIA Data. ,assigned,,,
plant_id_eia,EIA Plant Identification number. One to five digit numeric.,reported  ,EIA,,
plant_name_eia,EIA Plant name.,reported  ,EIA,,
operator_name_eia,Name of entity which operates the plant; from EIA923 records.,reported  ,EIA,,
state,US state in which the plant is located.,reported  ,EIA,,
report_year,Data year.,reported  ,EIA,,
generator_id,Generator identification code by plant.,reported  ,EIA923,Generator Data,
energy_source,The EIA fuel code associated with the fuel receipt: https://www.eia.gov/electricity/2008forms/aaqs_923.html,reported  ,EIA923,Fuel Receipts Costs,
mmbtu_es,fuel_quantity * average_heat_content (for plants w/ multiple energy sources: number of mmbtu of given energy source for a plant in a given year),reported  ,EIA923,Fuel Receipts Costs,
mmbtu_plant,fuel_quantity * average_heat_content (for plants w/ one energy source: number of mmbtu for the plant in a given year),reported  ,EIA923,Fuel Receipts Costs,
fuel_cost_es,fuel_quantity * average_heat_content * fuel_cost_per_mmbtu  (for plants w/ multiple energy sources: total dollars spent on an energy source for a given plant in a given year),reported  ,EIA923,Fuel Receipts Costs,
fuel_cost_plant_eia,fuel_quantity * average_heat_content * fuel_cost_per_mmbtu  (for plants w/ one energy source: total dollars spent on fuel by a given plant in a given year),reported  ,EIA923,Fuel Receipts Costs,
fuel_cost_plant_pudl,fuel_quantity * average_heat_content * fuel_cost_per_mmbtu  (by PUDL Plant ID for direct comarison with fuel costs in FERC: expns_fuel),,,,
fuel_cost_per_mmbtu_es,(fuel_cost_es)/(mmbtu_es),reported  ,EIA923,Fuel Receipts Costs,
fuel_cost_per_mmbtu_plant,(fuel_cost_plant)/(mmbtu_plant),reported  ,EIA923,Fuel Receipts Costs,
fuel_cost_per_mwh,(fuel_cost_per_mmbtu)/(heat_rate_mmbtu_mwh); (for plants w/ one energy source: fuel_cost_per_mmbtu_plant used; for plants w/ multiple energy sources: fuel_cost_per_mmbtu_es used; heat rates are generator-specific.,calculated,EIA923,Fuel Receipts Costs,
fuel_consumed_mmbtu_plant,(fuel_qty_consumed * fuel_mmbtu_per_unit) total heat content of all fuels consumed by the plant for a given year,reported  ,EIA923,Boiler Fuel Data,
fuel_consumed_mmbtu_generator,‘proportion_of_gen_by_boiler_gen’ * ‘fuel_consumed_mmbtu’,calculated,,,
net_generation_mwh_boiler_gen,'net generation per boiler/generator combination by merging generators923 tab with boiler_generator_association860 tab on ''plant_id''; ''report_date''; ''boiler_id'' & ''generator_id''',calculated,EIA860 & EIA923,Boiler/Generator Associations (860) & Generator Data (923),No longer exists
proportion_of_gen_by_boiler_gen,'''net_generation_mwh_boiler_gen''/ ''net_generation_mwh_boiler''',calculated,,,No longer exists
heat_rate_mmbtu_mwh,(fuel_consumed_mmbtu_per_gen / net_generation_mwh_boiler_gen) Overall heat rate for each generator in MMBTU per Mwh of net generation.,calculated,,,
complete_assn,True (value = 1) means that those generator/boilers have been a part of a completely associated plant. This way we could keep units that have been associated in the past together when there is a non-completely documented unit added.,assigned,EIA,,
plant_assn,True (value = 1) if for the plant/year all of the generators are associated (a plant that has all it’s boiler generators associated); False (value = 0) if generator data exists that is not mapped to a boiler in the boiler generator association table in EIA860.,assigned,EIA,,
net_generation_mwh_generator,Net electricity generation in Mwh for a generator (includes all fuels),reported  ,EIA923,Generator Data,
net_generation_mwh_plant_eia,Total Mwh of generation for an EIA plant ID in a year ,reported  ,EIA923,Generator Data,
net_generation_mwh_plant_pudl,Total Mwh of generation for a PUDL plant ID in a year (to compare with net_generation_mwh_plant from FERC),reported  ,EIA923,Generator Data,
nameplate_capacity_mw, The highest value on the generator nameplate in megawatts rounded to the nearest tenth.,reported  ,EIA860,Generators,
summer_capacity_mw,The net summer capacity.,reported  ,EIA860,Generators,
winter_capacity_mw,The net winter capacity.,reported  ,EIA860,Generators,
capacity_factor,(net_generation_mwh_generator) / (nameplate_capacity_mw * 8760) [8760 hours in a year],reported  ,EIA860 & EIA923,Generators (860) & Generator Data (923),
report_year, Year for which the data was reported.,reported  ,FERC,,
respondent_id_ferc, FERC respondent (utility) ID.,reported  ,FERC,,
util_id_pudl, PUDL utility id. Allows some linkage between FERC & EIA Data.,reported  ,FERC,,
respondent_name_ferc,FERC respondent name.,reported  ,FERC,,
plant_name_ferc,Name of the power plant as reported to FERC.,reported  ,FERC,,
total_capacity_mw,Total installed capacity. Maximum generation nameplate rating in MW.,reported  ,FERC,,
year_constructed,Year originally constructed.,reported  ,FERC,,
year_installed,Year last unit was installed.,reported  ,FERC,,
peak_demand_mw,Net peak demand on plant in MW.,reported  ,FERC,,
water_limited_mw,Net continuous plant capacity when limited by condenser water in MW.,reported  ,FERC,,
not_water_limited_mw,Net continuous plant capacity when not limited by condenser water in MW.,reported  ,FERC,,
plant_hours,Plant hours connected to load.,reported  ,FERC,,
net_generation_mwh_plant_ferc,Net generation exclusive of plant use in MWh.,reported  ,FERC,,
