respondent_id,respondent_name,report_year,plant_name,yr_constructed,capacity_rating,net_demand,net_generation,plant_cost,plant_cost_mw,operation,expns_fuel,expns_maint,kind_of_fuel,fuel_cost
80,Kansas Gas and Electric Company,2004,Westar Wind (wind turbines) -- 20%,1999,0.3,0,217680,415217,1384,0,0,8687,Wind,0
134,PacifiCorp,2004,Foote Creek Wind Farm,1998,32.62,32,103892000,36266842,1111798,1895320,0,0,Wind,0
191,"Westar Energy, Inc.",2004,Westar Wind (wind turbines) -- 64%,1999,1,0,696576,1333213,1333,0,0,28263,Wind,0
182,"Aquila, Inc.",2004,Westar Wind Turbines  Note 1,1999,0.24,0,206000,367076,3058967,0,0,0,Wind,0
120,Northern States Power Company (Minnesota),2004,Holland,1986,0.2,0,0,46701,233505,0,0,0,Wind,0
120,Northern States Power Company (Minnesota),2004,Lake Benton,1997,0,0,0,10469027,0,0,0,0,Wind,0
145,Public Service Company of Colorado,2004,Ponnequin,1999,26.4,0,53660000,31623422,1197857,0,0,0,Wind,0
134,PacifiCorp,2005,Foote Creek Wind Farm,1998,32.6,33,104394000,36266842,1112480,1796319,0,0,Wind,0
191,"Westar Energy, Inc.",2005,Westar Wind (wind turbines) -- 64%,1999,1,0,498074,1333213,1333,0,0,9518,Wind,0
80,Kansas Gas and Electric Company,2005,Westar Wind (wind turbines) -- 20%,1999,0.3,0,155648,415217,1384,0,0,3148,Wind,0
300,"Hawaii Electric Light Company, Inc.",2005,LALAMILO WINDFARM,1986,2.3,2.3,2,0,0,49869,0,262542,,0
210,MidAmerican Energy Company,2005,Intrepid Wind Farm (107 units @ 1.5 MW each &,2004,160.5,160.5,452380530,182906895,1139607,613805,0,1297154,,0
210,MidAmerican Energy Company,2005,Century Wind Farm (100 units @ 1.5 MW each &,2005,185,185,149761190,196674377,1063105,390524,0,404257,,0
182,KCP&L Greater Missouri Operations Company,2005,Westar Wind Turbines    Note 1,1999,0.24,0,108000,367076,1529483,0,0,0,Wind,0
120,Northern States Power Company (Minnesota),2005,Holland,1986,0.2,0,0,46701,233505,0,0,0,Wind,0
120,Northern States Power Company (Minnesota),2005,Lake Benton,1997,0,0,0,10190073,0,0,0,0,Wind,0
145,Public Service Company of Colorado,2005,Ponnequin,1999,26.4,0,46422000,31491444,1192858,1115590,0,0,Wind,0
210,MidAmerican Energy Company,2006,Intrepid Wind Farm (107 units @ 1.5 MW each &,2004,160.5,160.5,552585740,180124859,1122273,1038127,0,1596664,,0
210,MidAmerican Energy Company,2006,Century Wind Farm (100 units @ 1.5 MW each &,2005,185,185,549465918,199218411,1076856,987988,0,1862674,,0
210,MidAmerican Energy Company,2006,Victory Wind Farm (66 units @1.5 MW each),2006,99,99,23230312,170915181,1726416,12184,0,1264,,0
79,Kansas City Power & Light Company,2006,Spearville Wind Energy Facility,2006,100.5,102,106059000,146549067,1458200,363837,0,399102,,0
80,Kansas Gas and Electric Company,2006,Westar Wind (wind turbines) -- 20%,1999,0.3,0,98128,415217,1384,0,0,297,Wind,0
182,KCP&L Greater Missouri Operations Company,2006,Westar Wind Turbines    Note 1,1999,0.24,0,72000,367076,1529483,0,0,0,Wind,0
134,PacifiCorp,2006,Foote Creek Wind Farm,1998,32.62,32.6,106038000,36266842,1112480,1924708,0,0,Wind,0
300,"Hawaii Electric Light Company, Inc.",2006,LALAMILO WINDFARM,1986,2.3,2.3,2,0,0,48446,145628,0,,0
191,"Westar Energy, Inc.",2006,Westar Wind (wind turbines) -- 64%,1999,1,0,314000,1333213,1333,0,0,885,Wind,0
134,PacifiCorp,2006,Leaning Juniper #1,2006,100.5,101,57993000,175954170,1750788,944003,0,0,Wind,0
145,Public Service Company of Colorado,2006,Ponnequin,1999,26.4,0,0,31499294,1193155,1348462,0,0,Wind,30
120,Northern States Power Company (Minnesota),2006,Holland,1986,0.2,0,0,46701,233505,0,0,0,Wind,0
120,Northern States Power Company (Minnesota),2006,Lake Benton,1997,0,0,0,10190073,0,0,0,0,Wind,0
210,MidAmerican Energy Company,2007,Intrepid Wind Farm (107 units @ 1.5 MW each &,2004,160.5,160.5,551794050,180270441,1123180,1012052,0,1950593,,0
210,MidAmerican Energy Company,2007,Century Wind Farm (103 units @ 1.5 MW each &,2005,189.5,189.5,563831710,199348706,1051972,888613,0,2123350,,0
210,MidAmerican Energy Company,2007,Victory Wind Farm (66 units @1.5 MW each),2006,99,99,394619604,174188936,1759484,463668,0,2354794,,0
210,MidAmerican Energy Company,2007,State Fair Wind Turbine (1 unit @ MW each),2007,0.5,0.5,72553,955417,1910834,2731,0,25,,0
210,MidAmerican Energy Company,2007,Pomeroy Wind Farm (131 units @ 1.5 each),2007,196.5,196.5,15434280,371625632,1891225,11081,0,1245,,0
79,Kansas City Power & Light Company,2007,Spearville Wind Energy Facility,2006,100.5,103,304715000,146718075,1459881,596503,0,899806,,0
80,Kansas Gas and Electric Company,2007,Westar Wind (wind turbines) -- 20%,1999,0.3,0,220720,415217,1384,0,0,2773,Wind,0
191,"Westar Energy, Inc.",2007,Westar Wind (wind turbines) -- 72% *,1999,1.08,0,794000,1517759,1639,0,0,16456,Wind,0
300,"Hawaii Electric Light Company, Inc.",2007,LALAMILO WINDFARM,1986,2.3,2.3,2,0,0,38946,0,122395,,0
182,KCP&L Greater Missouri Operations Company,2007,Westar Wind Turbines    Note 1,1999,0.12,0,0,182530,1521083,0,0,0,Wind,0
134,PacifiCorp,2007,Leaning Juniper #1,2006,100.5,100,289452,172384705,1715271,3386951,0,0,Wind,0
134,PacifiCorp,2007,Marengo,2007,140.4,138,160636,238779233,1700707,1879278,0,0,Wind,0
134,PacifiCorp,2007,Foote Creek,1998,32.62,32.6,95139,36966153,1133236,1487206,0,0,Wind,0
95,"MDU Resources Group, Inc.",2007,Diamond Willow,2007,1.5,1,15822,2657121,1771,0,0,0,Wind,0
120,Northern States Power Company (Minnesota),2007,Holland,1986,0.2,0,0,46701,233505,0,0,0,Wind,0
120,Northern States Power Company (Minnesota),2007,Lake Benton,1997,0,0,0,10190362,0,0,0,0,Wind,0
145,Public Service Company of Colorado,2007,Ponnequin,1999,26.4,0,41720,32294151,1223263,0,0,0,Wind,0
210,MidAmerican Energy Company,2008,Intrepid Wind Farm (107 units @ 1.5 MW each &,2004,160.5,72.4,533825940,183481054,1143184,845772,0,4789047,,0
210,MidAmerican Energy Company,2008,Century Wind Farm (110 units @ 1.5 MW each &,2005,200,43.8,536834800,225366853,1126834,774321,0,2470931,,0
210,MidAmerican Energy Company,2008,Victory Wind Farm (66 units @1.5 MW each),2006,99,0,357205400,174188936,1759484,228437,0,2291187,,0
210,MidAmerican Energy Company,2008,State Fair Wind Turbine (1 unit @ .5 MW each),2007,0.5,0,259556,925751,1851502,5285,0,5497,,0
210,MidAmerican Energy Company,2008,Pomeroy Wind Farm (171 units @ 1.5 MW each),2007,256.5,34,620804950,481096285,1875619,941734,0,2514814,,0
210,MidAmerican Energy Company,2008,Charles City Wind Farm (50 units @ 1.5 MW each),2008,75,3.7,164869460,141494461,1886593,357372,0,1074592,,0
210,MidAmerican Energy Company,2008,Adair Wind Farm (76 units @ 2.3 MW each),2008,174.8,0,18714000,340306449,1946833,181096,0,337,,0
210,MidAmerican Energy Company,2008,Carroll Wind Farm (100 units @ 1.5 MW each),2008,150,0,41028000,298122916,1987486,129211,0,160281,,0
210,MidAmerican Energy Company,2008,Walnut Wind Farm (102 units @ 1.5 MW each),2008,153,0,5000,339013868,2215777,129309,0,242215,,0
300,"Hawaii Electric Light Company, Inc.",2008,LALAMILO WINDFARM,1986,2.3,2.3,2,0,0,37067,0,90730,,0
79,Kansas City Power & Light Company,2008,Spearville Wind Energy Facility,2006,100.5,104,419037000,147247934,1465154,751797,0,1303936,Wind,0
182,KCP&L Greater Missouri Operations Company,2008,Westar Wind Turbines,1999,0.12,0,0,187750,1564583,0,0,0,Wind,0
120,Northern States Power Company (Minnesota),2008,Grand Meadow Wind Farm,2008,100,0,33259000,215512261,2155123,814273,0,2180,Wind,0
191,"Westar Energy, Inc.",2008,Westar Wind (wind turbines),1999,1.08,0,117000,0,1639,0,0,1226,Wind,0
80,Kansas Gas and Electric Company,2008,Westar Wind (wind turbines) -- 20%,1999,0.3,0,32640,0,1384,0,0,0,Wind,0
134,PacifiCorp,2008,Foote Creek,1998,32.62,32,106930,36976588,1133556,2071010,0,0,Wind,0
134,PacifiCorp,2008,Leaning Juniper 1,2006,100.5,100.5,312614,172416795,1715590,3576738,0,0,Wind,0
134,PacifiCorp,2008,Marengo,2007,140.4,140,400245,238896531,1701542,4396346,0,0,Wind,0
134,PacifiCorp,2008,Marengo II,2008,70.2,70,78457,125100049,1782052,1039654,0,0,Wind,0
134,PacifiCorp,2008,Seven Mile Hill,2008,99,0,0,192904480,1948530,52549,0,0,Wind,0
134,PacifiCorp,2008,Seven Mile Hill II,2008,19.5,0,0,41391245,2122628,17869,0,0,Wind,0
134,PacifiCorp,2008,Glenrock,2008,99,0,0,199426199,2014406,91715,0,0,Wind,0
134,PacifiCorp,2008,Goodnoe Hills,2008,94,56,147308,183939586,1881542,-240515,0,0,Wind,0
95,"MDU Resources Group, Inc.",2008,Diamond Willow,2007,19.5,19.6,64996896,36970402,1895918,273081,0,39083,Wind,0
145,Public Service Company of Colorado,2008,   Ponnequin,1999,26.4,0,51801000,31780626,1203812,0,0,0,Wind,0
120,Northern States Power Company (Minnesota),2008,Holland,1986,0,0,0,46701,0,0,0,0,Wind,0
120,Northern States Power Company (Minnesota),2008,Lake Benton,1997,0,0,0,10190362,0,0,0,0,Wind,0
120,Northern States Power Company (Minnesota),2009,Grand Meadow Wind Farm,2008,100.5,100.5,295465000,214001975,2129373,2799695,0,124500,Wind,0
157,Sierra Pacific Power Company d/b/a NV Energy,2009,SIERRA PLAZA WIND,2007,0.1,0,1,107617,1076170,0,0,0,WIND,0
79,Kansas City Power & Light Company,2009,Spearville Wind Energy Facility,2006,100.5,102,353724000,160898679,1600982,8400570,0,2094192,Wind,0
210,MidAmerican Energy Company,2009,Intrepid Wind Farm (107 units @ 1.5 MW each &,2004,175.5,0,447250280,184320928,1148417,862510,0,4746952,,0
210,MidAmerican Energy Company,2009,Century Wind Farm (110 units @ 1.5 MW each &,2005,200,0,493160920,224729449,1123647,882307,0,3504113,,0
210,MidAmerican Energy Company,2009,Victory Wind Farm (66 units @1.5 MW each),2006,99,3,322502760,172551735,1742947,406393,0,1478115,,0
210,MidAmerican Energy Company,2009,State Fair Wind Turbine (1 unit @ .5 MW each),2007,0.5,0,226704,925751,1851502,5898,0,6595,,0
210,MidAmerican Energy Company,2009,Pomeroy Wind Farm (171 units @ 1.5 MW each),2007,256.5,11,692914080,484226395,1887822,825883,0,4095476,,0
210,MidAmerican Energy Company,2009,Charles City Wind Farm (50 units @ 1.5 MW each),2008,75,6.2,216579840,140627009,1875027,309802,0,1123113,,0
210,MidAmerican Energy Company,2009,Adair Wind Farm (76 units @ 2.3 MW each),2008,174.8,10.3,438054680,352377157,2015699,1917756,0,1417873,,0
210,MidAmerican Energy Company,2009,Carroll Wind Farm (100 units @ 1.5 MW each),2008,150,3.4,412187930,300431924,2002879,517646,0,1701841,,0
210,MidAmerican Energy Company,2009,Walnut Wind Farm (102 units @ 1.5 MW each),2008,153,19.8,375801570,342809221,2240583,436124,0,1722537,,0
95,"MDU Resources Group, Inc.",2009,Diamond Willow,2007,19.5,19.6,67690500,36729454,1883562,334489,0,69171,Wind,0
120,Northern States Power Company (Minnesota),2009,Lake Benton,1997,0,0,0,10190362,0,0,0,0,Wind,0
145,Public Service Company of Colorado,2009,   Ponnequin,1999,27,0,43125000,31992487,1184907,745065,0,837684,Wind,0
134,PacifiCorp,2009,Foote Creek,1999,32.62,31,86324,37196623,1140301,1630021,0,0,Wind,0
134,PacifiCorp,2009,Glenrock III,2009,39,38,84675,87151990,2234666,432263,0,21909,Wind,0
