year_index,operating_state,operator_id_eia,operator_name,operator_status,report_year
1997,report_state,id,company_name,-1,last_update
1998,report_state,id,company_name,-1,last_update
1999,report_state,id,company_name,-1,last_update
2000,-1,-1,-1,-1,-1
2001,-1,-1,-1,-1,-1
2002,report_state,id,company_name,status,last_update
2003,report_state,id,company_name,status,last_update
2004,report_state,id,company_name,status,last_update
2005,report_state,id,company_name,status,last_update
2006,report_state,id,company_name,status,last_update
2007,report_state,id,company_name,status,last_update
2008,report_state,id,company_name,status,last_update
2009,report_state,id,company_name,status,last_update
2010,report_state,id,company_name,status,last_update
2011,report_state,id,company_name,status,last_update
2012,report_state,id,company_name,status,last_update
2013,report_state,id,company_name,status,last_update
2014,report_state,id,company_name,status,last_update
2015,report_state,id,company_name,status,last_update
2016,report_state,id,company_name,status,last_update
2017,report_state,id,company_name,status,last_update
2018,report_state,id,company_name,status,last_update
2019,-1,-1,-1,-1,-1
2020,report_state,id,company_name,status,last_update
2021,report_state,id,company_name,status,last_update
2022,report_state,id,company_name,status,last_update
2023,report_state,id,company_name,status,last_update
