year_index,operator_name,operating_state,value,variable_name,form_line_numbers,operator_id_eia,line,unit_type
1997,company,area,value,item,itemsort,id,line,atype
1998,company,area,value,item,itemsort,id,line,atype
1999,company,area,value,item,itemsort,id,line,atype
2000,company,area,value,item,itemsort,id,line,atype
2001,company,area,value,item,itemsort,id,line,atype
2002,company,area,value,item,itemsort,id,line,atype
2003,company,area,value,item,itemsort,id,line,atype
2004,company,area,value,item,itemsort,id,line,atype
2005,company,area,value,item,itemsort,id,line,atype
2006,company,area,value,item,itemsort,id,line,atype
2007,company,area,value,item,itemsort,id,line,atype
2008,company,area,value,item,itemsort,id,line,atype
2009,company,area,value,item,itemsort,id,line,atype
2010,company,area,value,item,itemsort,id,line,atype
2011,company,area,value,item,itemsort,id,line,atype
2012,company,area,value,item,itemsort,id,line,atype
2013,company,area,value,item,itemsort,id,line,atype
2014,company,area,value,item,itemsort,id,line,atype
2015,company,area,value,item,itemsort,id,line,atype
2016,company,area,value,item,itemsort,id,line,atype
2017,company,area,value,item,itemsort,id,line,atype
2018,company,area,value,item,itemsort,id,line,atype
2019,company,area,value,item,itemsort,id,line,atype
2020,company,area,value,item,itemsort,id,line,atype
2021,company,area,value,item,itemsort,id,line,atype
2022,company,area,value,item,itemsort,id,line,atype
2023,company,area,value,item,itemsort,id,line,atype
