year_index,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
utility_id_eia,utility_id,utility_id,utility_id,utility_id,utility_id,utility_id,utility_id,utility_id,utility_id,utility_id,utility_id,utility_id
utility_name_eia,utility_name,utility_name,utility_name,utility_name,utility_name,utility_name,utility_name,utility_name,utility_name,utility_name,utility_name,utility_name
plant_id_eia,plant_code,plant_code,plant_code,plant_code,plant_code,plant_code,plant_code,plant_code,plant_code,plant_code,plant_code,plant_code
plant_name_eia,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name
state,state,state,state,state,state,state,state,state,state,state,state,state
boiler_id,boiler_id,boiler_id,boiler_id,boiler_id,boiler_id,boiler_id,boiler_id,boiler_id,boiler_id,boiler_id,boiler_id,boiler_id
hrsg,name_of_water_source,name_of_water_source,,,,,,hrsg,hrsg,hrsg,hrsg,hrsg
boiler_status,boiler_status,boiler_status,boiler_status,boiler_status,boiler_status,boiler_status,boiler_status,boiler_status,boiler_status,boiler_status,boiler_status,boiler_status
type_of_boiler,type_of_boiler,type_of_boiler,type_of_boiler,type_of_boiler,type_of_boiler,type_of_boiler,type_of_boiler,type_of_boiler,type_of_boiler,type_of_boiler,type_of_boiler,type_of_boiler
operating_month,inservice_mm,inservice_mm,inservice_mm,inservice_month,inservice_month,inservice_month,inservice_month,inservice_month,inservice_month,inservice_month,inservice_month,inservice_month
operating_year,inservice_yr,inservice_yr,inservice_yr,inservice_year,inservice_year,inservice_year,inservice_year,inservice_year,inservice_year,inservice_year,inservice_year,inservice_year
retirement_month,retirement_mm,retirement_mm,retirement_mm,retirement_month,retirement_month,retirement_month,retirement_month,retirement_month,retirement_month,retirement_month,retirement_month,retirement_month
retirement_year,retirement_yr,retirement_yr,retirement_yr,retirement_year,retirement_year,retirement_year,retirement_year,retirement_year,retirement_year,retirement_year,retirement_year,retirement_year
firing_type_1,,,,,firing_type_1,firing_type_1,firing_type_1,firing_type_1,firing_type_1,firing_type_1,firing_type_1,firing_type_1
firing_type_2,,,,,firing_type_2,firing_type_2,firing_type_2,firing_type_2,firing_type_2,firing_type_2,firing_type_2,firing_type_2
firing_type_3,,,,,firing_type_3,firing_type_3,firing_type_3,firing_type_3,firing_type_3,firing_type_3,firing_type_3,firing_type_3
max_steam_flow_thousand_pounds_per_hour,max_steam_flow,max_steam_flow,max_steam_flow,max_steam_flow_thousand_pounds_per_hour,max_steam_flow_thousand_pounds_per_hour,max_steam_flow_thousand_pounds_per_hour,max_steam_flow_thousand_pounds_per_hour,max_steam_flow_thousand_pounds_per_hour,max_steam_flow_thousand_pounds_per_hour,max_steam_flow_thousand_pounds_per_hour,max_steam_flow_thousand_pounds_per_hour,max_steam_flow_thousand_pounds_per_hour
firing_rate_using_coal_0_1_tons_per_hour,coal_fire_steam_flow,coal_fire_steam_flow,coal_fire_steam_flow,coal_fire_steam_flow_0_1_tons_per_hour,firing_rate_using_coal_0_1_tons_per_hour,firing_rate_using_coal_0_1_tons_per_hour,firing_rate_using_coal_0_1_tons_per_hour,firing_rate_using_coal_0_1_tons_per_hour,firing_rate_using_coal_0_1_tons_per_hour,firing_rate_using_coal_0_1_tons_per_hour,firing_rate_using_coal_0_1_tons_per_hour,firing_rate_using_coal_0_1_tons_per_hour
firing_rate_using_petroleum_0_1_barrels_per_hour,pet_fire_steam_flow,pet_fire_steam_flow,pet_fire_steam_flow,petroleum_fire_steam_flow_0_1_barresl_per_hour,firing_rate_using_petroleum_0_1_barrels_per_hour,firing_rate_using_petroleum_0_1_barrels_per_hour,firing_rate_using_petroleum_0_1_barrels_per_hour,firing_rate_using_petroleum_0_1_barrels_per_hour,firing_rate_using_petroleum_0_1_barrels_per_hour,firing_rate_using_petroleum_0_1_barrels_per_hour,firing_rate_using_petroleum_0_1_barrels_per_hour,firing_rate_using_petroleum_0_1_barrels_per_hour
firing_rate_using_gas_0_1_mcf_per_hour,,,,,firing_rate_using_gas_0_1_mcf_per_hour,firing_rate_using_gas_0_1_mcf_per_hour,firing_rate_using_gas_0_1_mcf_per_hour,firing_rate_using_gas_0_1_mcf_per_hour,firing_rate_using_gas_0_1_mcf_per_hour,firing_rate_using_gas_0_1_mcf_per_hour,firing_rate_using_gas_0_1_mcf_per_hour,firing_rate_using_gas_0_1_mcf_per_hour
firing_rate_using_gas_0_1_tons_per_hour,gas_fire_steam_flow,gas_fire_steam_flow,gas_fire_steam_flow,gas_fire_steam_flow_0_1_tons_per_hour,,,,,,,,
firing_rate_using_other_fuels,other_fire_steam_flow,other_fire_steam_flow,other_fire_steam_flow,other_fire_steam_flow,firing_rate_using_other_fuels,firing_rate_using_other_fuels,firing_rate_using_other_fuels,firing_rate_using_other_fuels,firing_rate_using_other_fuels,firing_rate_using_other_fuels,firing_rate_using_other_fuels,firing_rate_using_other_fuels
waste_heat_input_million_btu_per_hour,waste_heat_input,waste_heat_input,waste_heat_input,waste_heat_input_million_btu_per_hour,waste_heat_input_million_btu_per_hour,waste_heat_input_million_btu_per_hour,waste_heat_input_million_btu_per_hour,waste_heat_input_million_btu_per_hour,waste_heat_input_million_btu_per_hour,waste_heat_input_million_btu_per_hour,waste_heat_input_million_btu_per_hour,waste_heat_input_million_btu_per_hour
energy_source_code_1,primary_fuel1,primary_fuel1,primary_fuel1,primary_fuel_1,primary_fuel_1,primary_fuel_1,primary_fuel_1,primary_fuel_1,primary_fuel_1,primary_fuel_1,primary_fuel_1,primary_fuel_1
energy_source_code_2,primary_fuel2,primary_fuel2,primary_fuel2,primary_fuel_2,primary_fuel_2,primary_fuel_2,primary_fuel_2,primary_fuel_2,primary_fuel_2,primary_fuel_2,primary_fuel_2,primary_fuel_2
energy_source_code_3,primary_fuel3,primary_fuel3,primary_fuel3,primary_fuel_3,primary_fuel_3,primary_fuel_3,primary_fuel_3,primary_fuel_3,primary_fuel_3,primary_fuel_3,primary_fuel_3,primary_fuel_3
energy_source_code_4,primary_fuel4,primary_fuel4,primary_fuel4,primary_fuel_4,primary_fuel_4,primary_fuel_4,primary_fuel_4,primary_fuel_4,primary_fuel_4,primary_fuel_4,primary_fuel_4,primary_fuel_4
energy_source_code_5,primary_fuel5,primary_fuel5,primary_fuel5,primary_fuel_5,,,,,,,,
energy_source_code_6,primary_fuel6,primary_fuel6,primary_fuel6,primary_fuel_6,,,,,,,,
energy_source_code_7,primary_fuel7,primary_fuel7,primary_fuel7,primary_fuel_7,,,,,,,,
energy_source_code_8,primary_fuel8,primary_fuel8,primary_fuel8,primary_fuel_8,,,,,,,,
turndown_ratio,,,,,turndown_ratio,turndown_ratio,turndown_ratio,turndown_ratio,turndown_ratio,turndown_ratio,turndown_ratio,turndown_ratio
efficiency_100_load,efficiency_100_pct_load,efficiency_100_pct_load,efficiency_100_pct_load,efficiency_100_load,efficiency_100_load,efficiency_100_load,efficiency_100_load,efficiency_100_load,efficiency_100_load,efficiency_100_load,efficiency_100_load,efficiency_100_load
efficiency_50_load,efficiency_50_pct_load,efficiency_50_pct_load,efficiency_50_pct_load,efficiency_50_load,efficiency_50_load,efficiency_50_load,efficiency_50_load,efficiency_50_load,efficiency_50_load,efficiency_50_load,efficiency_50_load,efficiency_50_load
air_flow_100_load_cubic_feet_per_minute,air_flow_100_pct_load,air_flow_100_pct_load,air_flow_100_pct_load,air_flow_100_load_cubic_feet_per_minute,air_flow_100_load_cubic_feet_per_minute,air_flow_100_load_cubic_feet_per_minute,air_flow_100_load_cubic_feet_per_minute,air_flow_100_load_cubic_feet_per_minute,air_flow_100_load_cubic_feet_per_minute,air_flow_100_load_cubic_feet_per_minute,air_flow_100_load_cubic_feet_per_minute,air_flow_100_load_cubic_feet_per_minute
wet_dry_bottom,wet_dry_bottom,wet_dry_bottom,wet_dry_bottom,wet_dry_bottom,wet_dry_bottom,wet_dry_bottom,wet_dry_bottom,wet_dry_bottom,wet_dry_bottom,wet_dry_bottom,wet_dry_bottom,wet_dry_bottom
fly_ash_reinjection,fly_ash_reinjection,fly_ash_reinjection,fly_ash_reinjection,fly_ash_reinjection,fly_ash_reinjection,fly_ash_reinjection,fly_ash_reinjection,fly_ash_reinjection,fly_ash_reinjection,fly_ash_reinjection,fly_ash_reinjection,fly_ash_reinjection
steam_plant_type,,,,,,steam_plant_type,steam_plant_type,steam_plant_type,steam_plant_type,steam_plant_type,steam_plant_type,steam_plant_type
