year_index,utility_id_eia,utility_name_eia,plant_id_eia,plant_name_eia,boiler_id,particulate_control_id_eia,steam_plant_type_code
2009,utility_id,,plant_code,,boiler_id,fgp_id,
2010,utility_id,,plant_code,,boiler_id,fgp_id,
2011,utility_id,,plant_code,,boiler_id,fgp_id,
2012,utility_id,,plant_code,,boiler_id,fgp_id,
2013,utility_id,utility_name,plant_code,plant_name,boiler_id,particulate_matter_control_id,
2014,utility_id,utility_name,plant_code,plant_name,boiler_id,particulate_matter_control_id,steam_plant_type
2015,utility_id,utility_name,plant_code,plant_name,boiler_id,particulate_matter_control_id,steam_plant_type
2016,utility_id,utility_name,plant_code,plant_name,boiler_id,particulate_matter_control_id,steam_plant_type
2017,utility_id,utility_name,plant_code,plant_name,boiler_id,particulate_matter_control_id,steam_plant_type
2018,utility_id,utility_name,plant_code,plant_name,boiler_id,particulate_matter_control_id,steam_plant_type
2019,utility_id,utility_name,plant_code,plant_name,boiler_id,particulate_matter_control_id,steam_plant_type
2020,utility_id,utility_name,plant_code,plant_name,boiler_id,particulate_matter_control_id,steam_plant_type
2021,utility_id,utility_name,plant_code,plant_name,boiler_id,particulate_matter_control_id,steam_plant_type
2022,utility_id,utility_name,plant_code,plant_name,boiler_id,particulate_matter_control_id,steam_plant_type
2023,utility_id,utility_name,plant_code,plant_name,boiler_id,particulate_matter_control_id,steam_plant_type
2024,utility_id,utility_name,plant_code,plant_name,boiler_id,particulate_matter_control_id,steam_plant_type
