year_index,utility_id_eia,utility_name_eia,plant_id_eia,plant_name_eia,state,county,cooling_id_eia,cooling_status_code,cooling_system_operating_month,cooling_system_operating_year,cooling_type_1,cooling_type_2,cooling_type_3,cooling_type_4,percent_dry_cooling,cooling_water_source,cooling_water_discharge,water_source_code,water_type_code,intake_rate_100pct_gallons_per_minute,intake_rate_100pct_cubic_feet_per_second,chlorine_equipment_operating_month,chlorine_equipment_operating_year,pond_operating_month,pond_operating_year,pond_surface_area_acres,pond_volume_acre_feet,tower_operating_month,tower_operating_year,tower_type_1,tower_type_2,tower_type_3,tower_type_4,tower_water_rate_100pct_gallons_per_minute,tower_water_rate_100pct_cubic_feet_per_second,power_requirement_mw,cooling_equipment_total_cost_thousand_dollars,pond_cost_thousand_dollars,tower_cost_thousand_dollars,chlorine_equipment_cost_thousand_dollars,intake_distance_shore_feet,outlet_distance_shore_feet,intake_distance_surface_feet,outlet_distance_surface_feet,steam_plant_type_code,plant_summer_capacity_mw,water_source
2009,utility_id,utility_name,plant_code,plant_name,state,county,cooling_id,cooling_status,inservice_mm,inservice_yr,cooling_type1,cooling_type2,cooling_type3,cooling_type4,,cooling_water_source,,,,,intake_rate_at_100_pct,chlorine_inservice_mm,chlorine_inservice_yr,pond_inservice_mm,pond_inservice_yr,pond_surface_area,pond_volume,tower_inservice_mm,tower_inservice_yr,tower_type1,tower_type2,,,,tower_water_rate_pct,power_requirement_kwh,cost_total,cost_ponds,cost_towers,cost_chlorine_equipment,intake_distance_shore,outlet_distance_shore,intake_distance_surface,outlet_distance_surface,,plant_sum_cap,name_of_water_source
2010,utility_id,utility_name,plant_code,plant_name,state,county,cooling_id,cooling_status,inservice_mm,inservice_yr,cooling_type1,cooling_type2,cooling_type3,cooling_type4,,cooling_water_source,,,,,intake_rate_at_100_pct,chlorine_inservice_mm,chlorine_inservice_yr,pond_inservice_mm,pond_inservice_yr,pond_surface_area,pond_volume,tower_inservice_mm,tower_inservice_yr,tower_type1,tower_type2,,,,tower_water_rate_pct,power_requirement_kwh,cost_total,cost_ponds,cost_towers,cost_chlorine_equipment,intake_distance_shore,outlet_distance_shore,intake_distance_surface,outlet_distance_surface,,plant_sum_cap,name_of_water_source
2011,utility_id,utility_name,plant_code,plant_name,state,,cooling_id,cooling_status,inservice_mm,inservice_yr,cooling_type1,cooling_type2,cooling_type3,cooling_type4,pct_dry_cooling,cooling_water_source,,water_source_code,water_type_code,,intake_rate_at_100_pct,chlorine_inservice_mm,chlorine_inservice_yr,pond_inservice_mm,pond_inservice_yr,pond_surface_area,pond_volume,tower_inservice_mm,tower_inservice_yr,tower_type1,tower_type2,,,,tower_water_rate_pct,power_requirement_kwh,cost_total,cost_ponds,cost_towers,cost_chlorine_equipment,intake_distance_shore,outlet_distance_shore,intake_distance_surface,outlet_distance_surface,,,
2012,utility_id,utility_name,plant_code,plant_name,state,,cooling_id,cooling_status,inservice_month,inservice_year,cooling_type_1,cooling_type_2,cooling_type_3,cooling_type_4,percent_dry_cooling,cooling_water_source,,water_source_code,water_type_code,,intake_rate_at_100_cubic_feet_per_second,chlorine_inservice_month,chlorine_inservice_year,pond_inservice_month,pond_inservice_year,pond_surface_area_acres,pond_volume_acre_feet,tower_inservice_month,tower_inservice_year,tower_type_1,tower_type_2,,,,tower_water_rate_cubic_feet_per_second,power_requirement_mw,cost_total_thousand_dollars,cost_ponds_thousand_dollars,cost_towers_thousand_dollars,cost_chlorine_equipment_thousand_dollars,intake_distance_shore_feet,outlet_distance_shore_feet,intake_distance_surface_feet,outlet_distance_surface_feet,,,
2013,utility_id,utility_name,plant_code,plant_name,state,,cooling_id,cooling_status,inservice_month,inservice_year,cooling_type_1,cooling_type_2,cooling_type_3,cooling_type_4,percent_dry_cooling,cooling_water_source,cooling_water_discharge,water_source_code,water_type_code,intake_rate_at_100_gallons_per_minute,,chlorine_inservice_month,chlorine_inservice_year,pond_inservice_month,pond_inservice_year,pond_surface_area_acres,pond_volume_acre_feet,tower_inservice_month,tower_inservice_year,tower_type_1,tower_type_2,tower_type_3,tower_type_4,tower_water_rate_gallons_per_minute,,power_requirement_mw,cost_total_thousand_dollars,cost_ponds_thousand_dollars,cost_towers_thousand_dollars,cost_chlorine_equipment_thousand_dollars,intake_distance_shore_feet,outlet_distance_shore_feet,intake_distance_surface_feet,outlet_distance_surface_feet,,,
2014,utility_id,utility_name,plant_code,plant_name,state,,cooling_id,cooling_status,inservice_month,inservice_year,cooling_type_1,cooling_type_2,cooling_type_3,cooling_type_4,percent_dry_cooling,cooling_water_source,cooling_water_discharge,water_source_code,water_type_code,intake_rate_at_100_gallons_per_minute,,chlorine_inservice_month,chlorine_inservice_year,pond_inservice_month,pond_inservice_year,pond_surface_area_acres,pond_volume_acre_feet,tower_inservice_month,tower_inservice_year,tower_type_1,tower_type_2,tower_type_3,tower_type_4,tower_water_rate_gallons_per_minute,,power_requirement_mw,cost_total_thousand_dollars,cost_ponds_thousand_dollars,cost_towers_thousand_dollars,cost_chlorine_equipment_thousand_dollars,intake_distance_shore_feet,outlet_distance_shore_feet,intake_distance_surface_feet,outlet_distance_surface_feet,steam_plant_type,,
2015,utility_id,utility_name,plant_code,plant_name,state,,cooling_id,cooling_status,inservice_month,inservice_year,cooling_type_1,cooling_type_2,cooling_type_3,cooling_type_4,percent_dry_cooling,cooling_water_source,cooling_water_discharge,water_source_code,water_type_code,intake_rate_at_100_gallons_per_minute,,chlorine_inservice_month,chlorine_inservice_year,pond_inservice_month,pond_inservice_year,pond_surface_area_acres,pond_volume_acre_feet,tower_inservice_month,tower_inservice_year,tower_type_1,tower_type_2,tower_type_3,tower_type_4,tower_water_rate_gallons_per_minute,,power_requirement_mw,cost_total_thousand_dollars,cost_ponds_thousand_dollars,cost_towers_thousand_dollars,cost_chlorine_equipment_thousand_dollars,intake_distance_shore_feet,outlet_distance_shore_feet,intake_distance_surface_feet,outlet_distance_surface_feet,steam_plant_type,,
2016,utility_id,utility_name,plant_code,plant_name,state,,cooling_id,cooling_status,inservice_month,inservice_year,cooling_type_1,cooling_type_2,cooling_type_3,cooling_type_4,percent_dry_cooling,cooling_water_source,cooling_water_discharge,water_source_code,water_type_code,intake_rate_at_100_gallons_per_minute,,chlorine_inservice_month,chlorine_inservice_year,pond_inservice_month,pond_inservice_year,pond_surface_area_acres,pond_volume_acre_feet,tower_inservice_month,tower_inservice_year,tower_type_1,tower_type_2,tower_type_3,tower_type_4,tower_water_rate_gallons_per_minute,,power_requirement_mw,cost_total_thousand_dollars,cost_ponds_thousand_dollars,cost_towers_thousand_dollars,cost_chlorine_equipment_thousand_dollars,intake_distance_shore_feet,outlet_distance_shore_feet,intake_distance_surface_feet,outlet_distance_surface_feet,steam_plant_type,,
2017,utility_id,utility_name,plant_code,plant_name,state,,cooling_id,cooling_status,inservice_month,inservice_year,cooling_type_1,cooling_type_2,cooling_type_3,cooling_type_4,percent_dry_cooling,cooling_water_source,cooling_water_discharge,water_source_code,water_type_code,intake_rate_at_100_gallons_per_minute,,chlorine_inservice_month,chlorine_inservice_year,pond_inservice_month,pond_inservice_year,pond_surface_area_acres,pond_volume_acre_feet,tower_inservice_month,tower_inservice_year,tower_type_1,tower_type_2,tower_type_3,tower_type_4,tower_water_rate_gallons_per_minute,,power_requirement_mw,cost_total_thousand_dollars,cost_ponds_thousand_dollars,cost_towers_thousand_dollars,cost_chlorine_equipment_thousand_dollars,intake_distance_shore_feet,outlet_distance_shore_feet,intake_distance_surface_feet,outlet_distance_surface_feet,steam_plant_type,,
2018,utility_id,utility_name,plant_code,plant_name,state,,cooling_id,cooling_status,inservice_month,inservice_year,cooling_type_1,cooling_type_2,cooling_type_3,cooling_type_4,percent_dry_cooling,cooling_water_source,cooling_water_discharge,water_source_code,water_type_code,intake_rate_at_100_gallons_per_minute,,chlorine_inservice_month,chlorine_inservice_year,pond_inservice_month,pond_inservice_year,pond_surface_area_acres,pond_volume_acre_feet,tower_inservice_month,tower_inservice_year,tower_type_1,tower_type_2,tower_type_3,tower_type_4,tower_water_rate_gallons_per_minute,,power_requirement_mw,cost_total_thousand_dollars,cost_ponds_thousand_dollars,cost_towers_thousand_dollars,cost_chlorine_equipment_thousand_dollars,intake_distance_shore_feet,outlet_distance_shore_feet,intake_distance_surface_feet,outlet_distance_surface_feet,steam_plant_type,,
