year_index,utility_id_eia,utility_name_eia,plant_id_eia,plant_name_eia,state,county,boiler_id,boiler_status,boiler_type,new_source_review,new_source_review_permit,new_source_review_month,new_source_review_year,regulation_so2,standard_so2_rate,standard_so2_percent_scrubbed,unit_so2,period_so2,compliance_year_so2,so2_control_existing_strategy_1,so2_control_existing_strategy_2,so2_control_existing_strategy_3,so2_control_proposed_strategy_1,so2_control_proposed_strategy_2,so2_control_proposed_strategy_3,regulation_nox,standard_nox_rate,unit_nox,period_nox,compliance_year_nox,nox_control_existing_strategy_1,nox_control_existing_strategy_2,nox_control_existing_strategy_3,nox_control_proposed_strategy_1,nox_control_proposed_strategy_2,nox_control_proposed_strategy_3,regulation_particulate,standard_particulate_rate,unit_particulate,period_particulate,compliance_year_particulate,regulation_mercury,compliance_year_mercury,mercury_control_existing_strategy_1,mercury_control_existing_strategy_2,mercury_control_existing_strategy_3,mercury_control_proposed_strategy_1,mercury_control_proposed_strategy_2,mercury_control_proposed_strategy_3,steam_plant_type_code,nox_control_status_code,nox_control_manufacturer_code,mercury_emission_control,ACI,BH,DS,EP,FGD,LIJ,WS,BS,BP,BR,EC,EH,EK,EW,OT,water_source,summer_capacity_mw
2009,utility_id,utility_name,plant_code,plant_name,state,county,boiler_id,boiler_status,,,,,,,,,,,,,,,,,,,,,,,low_nox_process1,low_nox_process2,low_nox_process3,,,,,,,,,,,,,,,,,,nox_control_status,low_nox_manufacturer,mercury_emission_control,mercury_emission_acj,mercury_emission_bh,mercury_emission_ds,mercury_emission_ep,mercury_emission_fgd,mercury_emission_li,mercury_emission_ws,,,,,,,,mercury_emission_ot,name_of_water_source,plant_sum_cap
2010,utility_id,utility_name,plant_code,plant_name,state,county,boiler_id,boiler_status,,,,,,,,,,,,,,,,,,,,,,,low_nox_process1,low_nox_process2,low_nox_process3,,,,,,,,,,,,,,,,,,nox_control_status,low_nox_manufacturer,mercury_emission_control,mercury_emission_acj,mercury_emission_bh,mercury_emission_ds,mercury_emission_ep,mercury_emission_fgd,mercury_emission_li,mercury_emission_ws,,,,,,,,mercury_emission_ot,name_of_water_source,plant_sum_cap
2011,utility_id,utility_name,plant_code,plant_name,state,,boiler_id,boiler_status,type_of_boiler,,,,,,,,,,,,,,,,,,,,,,low_nox_process1,low_nox_process2,low_nox_process3,,,,,,,,,,,,,,,,,,nox_control_status,low_nox_manufacturer,mercury_emission_control,mercury_emission_acj,mercury_emission_bh,mercury_emission_ds,mercury_emission_ep,mercury_emission_fgd,mercury_emission_li,mercury_emission_ws,mercury_emission_bs,mercury_emission_bp,mercury_emission_br,mercury_emission_ec,mercury_emission_eh,mercury_emission_ek,mercury_emission_ew,mercury_emission_ot,,
2012,utility_id,utility_name,plant_code,plant_name,state,,boiler_id,boiler_status,type_of_boiler,,,,,,,,,,,,,,,,,,,,,,low_nox_process_1,low_nox_process_2,low_nox_process_3,,,,,,,,,,,,,,,,,,nox_control_status,low_nox_manufacturer,mercury_emission_control,mercury_emission_activated_carbon_injection,mercury_emission_baghouse,mercury_emission_dry_scrubber,mercury_emission_electrostatic_precipitator,mercury_emission_flue_gas_desulfurization,mercury_emission_lime_injecton,mercury_emission_wet_scrubber,mercury_emission_baghouse_shake_and_deflate,mercury_emission_baghouse_pulse,mercury_emission_baghouse_reverse_air,mercury_emission_electrostatic_precipitator_cold_side_with_flue_gas_conditioning,mercury_emission_electrostatic_precipitator_hot_side_with_flue_gas_conditioning,mercury_emission_electrostatic_precipitator_hot_side_without_flue_gas_conditioning,mercury_emission_electrostatic_precipitator_cold_side_without_flue_gas_conditioning,mercury_emission_other,,
2013,utility_id,utility_name,plant_code,plant_name,state,,boiler_id,boiler_status,type_of_boiler,new_source_review,new_source_review_permit,new_source_review_month,new_source_review_year,regulation_sulfur,standard_sulfur_rate,standard_sulfur_percent_scrubbed,unit_sulfur,period_sulfur,compliance_year_sulfur,sulfur_dioxide_control_existing_strategy_1,sulfur_dioxide_control_existing_strategy_2,sulfur_dioxide_control_existing_strategy_3,sulfur_dioxide_control_proposed_strategy_1,sulfur_dioxide_control_proposed_strategy_2,sulfur_dioxide_control_proposed_strategy_3,regulation_nitrogen,standard_nitrogen_rate,unit_nitrogen,period_nitrogen,compliance_year_nitrogen,nitrogen_oxide_control_existing_strategy_1,nitrogen_oxide_control_existing_strategy_2,nitrogen_oxide_control_existing_strategy_3,nitrogen_oxide_control_proposed_strategy_1,nitrogen_oxide_control_proposed_strategy_2,nitrogen_oxide_control_proposed_strategy_3,regulation_particulate,standard_particulate_rate,unit_particulate,period_particulate,compliance_year_particulate,regulation_mercury,compliance_year_mercury,mercury_control_existing_strategy_1,mercury_control_existing_strategy_2,mercury_control_existing_strategy_3,mercury_control_proposed_strategy_1,mercury_control_proposed_strategy_2,mercury_control_proposed_strategy_3,,,,,,,,,,,,,,,,,,,,,
2014,utility_id,utility_name,plant_code,plant_name,state,,boiler_id,boiler_status,type_of_boiler,new_source_review,new_source_review_permit,new_source_review_month,new_source_review_year,regulation_sulfur,standard_sulfur_rate,standard_sulfur_percent_scrubbed,unit_sulfur,period_sulfur,compliance_year_sulfur,sulfur_dioxide_control_existing_strategy_1,sulfur_dioxide_control_existing_strategy_2,sulfur_dioxide_control_existing_strategy_3,sulfur_dioxide_control_proposed_strategy_1,sulfur_dioxide_control_proposed_strategy_2,sulfur_dioxide_control_proposed_strategy_3,regulation_nitrogen,standard_nitrogen_rate,unit_nitrogen,period_nitrogen,compliance_year_nitrogen,nitrogen_oxide_control_existing_strategy_1,nitrogen_oxide_control_existing_strategy_2,nitrogen_oxide_control_existing_strategy_3,nitrogen_oxide_control_proposed_strategy_1,nitrogen_oxide_control_proposed_strategy_2,nitrogen_oxide_control_proposed_strategy_3,regulation_particulate,standard_particulate_rate,unit_particulate,period_particulate,compliance_year_particulate,regulation_mercury,compliance_year_mercury,mercury_control_existing_strategy_1,mercury_control_existing_strategy_2,mercury_control_existing_strategy_3,mercury_control_proposed_strategy_1,mercury_control_proposed_strategy_2,mercury_control_proposed_strategy_3,steam_plant_type,,,,,,,,,,,,,,,,,,,,
2015,utility_id,utility_name,plant_code,plant_name,state,,boiler_id,boiler_status,type_of_boiler,new_source_review,new_source_review_permit,new_source_review_month,new_source_review_year,regulation_sulfur,standard_sulfur_rate,standard_sulfur_percent_scrubbed,unit_sulfur,period_sulfur,compliance_year_sulfur,sulfur_dioxide_control_existing_strategy_1,sulfur_dioxide_control_existing_strategy_2,sulfur_dioxide_control_existing_strategy_3,sulfur_dioxide_control_proposed_strategy_1,sulfur_dioxide_control_proposed_strategy_2,sulfur_dioxide_control_proposed_strategy_3,regulation_nitrogen,standard_nitrogen_rate,unit_nitrogen,period_nitrogen,compliance_year_nitrogen,nitrogen_oxide_control_existing_strategy_1,nitrogen_oxide_control_existing_strategy_2,nitrogen_oxide_control_existing_strategy_3,nitrogen_oxide_control_proposed_strategy_1,nitrogen_oxide_control_proposed_strategy_2,nitrogen_oxide_control_proposed_strategy_3,regulation_particulate,standard_particulate_rate,unit_particulate,period_particulate,compliance_year_particulate,regulation_mercury,compliance_year_mercury,mercury_control_existing_strategy_1,mercury_control_existing_strategy_2,mercury_control_existing_strategy_3,mercury_control_proposed_strategy_1,mercury_control_proposed_strategy_2,mercury_control_proposed_strategy_3,steam_plant_type,,,,,,,,,,,,,,,,,,,,
2016,utility_id,utility_name,plant_code,plant_name,state,,boiler_id,boiler_status,type_of_boiler,new_source_review,new_source_review_permit,new_source_review_month,new_source_review_year,regulation_sulfur,standard_sulfur_rate,standard_sulfur_percent_scrubbed,unit_sulfur,period_sulfur,compliance_year_sulfur,sulfur_dioxide_control_existing_strategy_1,sulfur_dioxide_control_existing_strategy_2,sulfur_dioxide_control_existing_strategy_3,sulfur_dioxide_control_proposed_strategy_1,sulfur_dioxide_control_proposed_strategy_2,sulfur_dioxide_control_proposed_strategy_3,regulation_nitrogen,standard_nitrogen_rate,unit_nitrogen,period_nitrogen,compliance_year_nitrogen,nitrogen_oxide_control_existing_strategy_1,nitrogen_oxide_control_existing_strategy_2,nitrogen_oxide_control_existing_strategy_3,nitrogen_oxide_control_proposed_strategy_1,nitrogen_oxide_control_proposed_strategy_2,nitrogen_oxide_control_proposed_strategy_3,regulation_particulate,standard_particulate_rate,unit_particulate,period_particulate,compliance_year_particulate,regulation_mercury,compliance_year_mercury,mercury_control_existing_strategy_1,mercury_control_existing_strategy_2,mercury_control_existing_strategy_3,mercury_control_proposed_strategy_1,mercury_control_proposed_strategy_2,mercury_control_proposed_strategy_3,steam_plant_type,,,,,,,,,,,,,,,,,,,,
2017,utility_id,utility_name,plant_code,plant_name,state,,boiler_id,boiler_status,type_of_boiler,new_source_review,new_source_review_permit,new_source_review_month,new_source_review_year,regulation_sulfur,standard_sulfur_rate,standard_sulfur_percent_scrubbed,unit_sulfur,period_sulfur,compliance_year_sulfur,sulfur_dioxide_control_existing_strategy_1,sulfur_dioxide_control_existing_strategy_2,sulfur_dioxide_control_existing_strategy_3,sulfur_dioxide_control_proposed_strategy_1,sulfur_dioxide_control_proposed_strategy_2,sulfur_dioxide_control_proposed_strategy_3,regulation_nitrogen,standard_nitrogen_rate,unit_nitrogen,period_nitrogen,compliance_year_nitrogen,nitrogen_oxide_control_existing_strategy_1,nitrogen_oxide_control_existing_strategy_2,nitrogen_oxide_control_existing_strategy_3,nitrogen_oxide_control_proposed_strategy_1,nitrogen_oxide_control_proposed_strategy_2,nitrogen_oxide_control_proposed_strategy_3,regulation_particulate,standard_particulate_rate,unit_particulate,period_particulate,compliance_year_particulate,regulation_mercury,compliance_year_mercury,mercury_control_existing_strategy_1,mercury_control_existing_strategy_2,mercury_control_existing_strategy_3,mercury_control_proposed_strategy_1,mercury_control_proposed_strategy_2,mercury_control_proposed_strategy_3,steam_plant_type,,,,,,,,,,,,,,,,,,,,
2018,utility_id,utility_name,plant_code,plant_name,state,,boiler_id,boiler_status,type_of_boiler,new_source_review,new_source_review_permit,new_source_review_month,new_source_review_year,regulation_sulfur,standard_sulfur_rate,standard_sulfur_percent_scrubbed,unit_sulfur,period_sulfur,compliance_year_sulfur,sulfur_dioxide_control_existing_strategy_1,sulfur_dioxide_control_existing_strategy_2,sulfur_dioxide_control_existing_strategy_3,sulfur_dioxide_control_proposed_strategy_1,sulfur_dioxide_control_proposed_strategy_2,sulfur_dioxide_control_proposed_strategy_3,regulation_nitrogen,standard_nitrogen_rate,unit_nitrogen,period_nitrogen,compliance_year_nitrogen,nitrogen_oxide_control_existing_strategy_1,nitrogen_oxide_control_existing_strategy_2,nitrogen_oxide_control_existing_strategy_3,nitrogen_oxide_control_proposed_strategy_1,nitrogen_oxide_control_proposed_strategy_2,nitrogen_oxide_control_proposed_strategy_3,regulation_particulate,standard_particulate_rate,unit_particulate,period_particulate,compliance_year_particulate,regulation_mercury,compliance_year_mercury,mercury_control_existing_strategy_1,mercury_control_existing_strategy_2,mercury_control_existing_strategy_3,mercury_control_proposed_strategy_1,mercury_control_proposed_strategy_2,mercury_control_proposed_strategy_3,steam_plant_type,,,,,,,,,,,,,,,,,,,,
