year_index,utility_id_eia,utility_name_eia,plant_id_eia,plant_name_eia,emission_control_equipment_type_code,particulate_control_id_eia,so2_control_id_eia,nox_control_id_eia,mercury_control_id_eia,acid_gas_control,operational_status_code,emission_control_operating_month,emission_control_operating_year,emission_control_retirement_month,emission_control_retirement_year,emission_control_equipment_cost,steam_plant_type_code
2013,utility_id,utility_name,plant_code,plant_name,equipment_type,particulate_matter_control_id,so2_control_id,nox_control_id,mercury_control_id,acid_gas_control,status,inservice_month,inservice_year,,,total_cost_thousand_dollars,
2014,utility_id,utility_name,plant_code,plant_name,equipment_type,particulate_matter_control_id,so2_control_id,nox_control_id,mercury_control_id,acid_gas_control,status,inservice_month,inservice_year,,,total_cost_thousand_dollars,steam_plant_type
2015,utility_id,utility_name,plant_code,plant_name,equipment_type,particulate_matter_control_id,so2_control_id,nox_control_id,mercury_control_id,acid_gas_control,status,inservice_month,inservice_year,,,total_cost_thousand_dollars,steam_plant_type
2016,utility_id,utility_name,plant_code,plant_name,equipment_type,particulate_matter_control_id,so2_control_id,nox_control_id,mercury_control_id,acid_gas_control,status,inservice_month,inservice_year,retirement_month,retirement_year,total_cost_thousand_dollars,steam_plant_type
2017,utility_id,utility_name,plant_code,plant_name,equipment_type,particulate_matter_control_id,so2_control_id,nox_control_id,mercury_control_id,acid_gas_control,status,inservice_month,inservice_year,retirement_month,retirement_year,total_cost_thousand_dollars,steam_plant_type
2018,utility_id,utility_name,plant_code,plant_name,equipment_type,particulate_matter_control_id,so2_control_id,nox_control_id,mercury_control_id,acid_gas_control,status,inservice_month,inservice_year,retirement_month,retirement_year,total_cost_thousand_dollars,steam_plant_type
2019,utility_id,utility_name,plant_code,plant_name,equipment_type,particulate_matter_control_id,so2_control_id,nox_control_id,mercury_control_id,acid_gas_control,status,inservice_month,inservice_year,retirement_month,retirement_year,total_cost_thousand_dollars,steam_plant_type
2020,utility_id,utility_name,plant_code,plant_name,equipment_type,particulate_matter_control_id,so2_control_id,nox_control_id,mercury_control_id,acid_gas_control,status,inservice_month,inservice_year,retirement_month,retirement_year,total_cost_thousand_dollars,steam_plant_type
2021,utility_id,utility_name,plant_code,plant_name,equipment_type,particulate_matter_control_id,so2_control_id,nox_control_id,mercury_control_id,acid_gas_control,status,inservice_month,inservice_year,retirement_month,retirement_year,total_cost_thousand_dollars,steam_plant_type
2022,utility_id,utility_name,plant_code,plant_name,equipment_type,particulate_matter_control_id,so2_control_id,nox_control_id,mercury_control_id,acid_gas_control,status,inservice_month,inservice_year,retirement_month,retirement_year,total_cost_thousand_dollars,steam_plant_type
2023,utility_id,utility_name,plant_code,plant_name,equipment_type,particulate_matter_control_id,so2_control_id,nox_control_id,mercury_control_id,acid_gas_control,status,inservice_month,inservice_year,retirement_month,retirement_year,total_cost_thousand_dollars,steam_plant_type
2024,utility_id,utility_name,plant_code,plant_name,equipment_type,particulate_matter_control_id,so2_control_id,nox_control_id,mercury_control_id,acid_gas_control,status,inservice_month,inservice_year,retirement_month,retirement_year,total_cost_thousand_dollars,steam_plant_type
