year_index,2016,2017,2018,2019,2020,2021,2022
utility_id_eia,utility_id,utility_id,utility_id,utility_id,utility_id,utility_id,utility_id
utility_name_eia,utility_name,utility_name,utility_name,utility_name,utility_name,utility_name,utility_name
plant_id_eia,plant_code,plant_code,plant_code,plant_code,plant_code,plant_code,plant_code
plant_name_eia,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name
state,state,state,state,state,state,state,state
county,county,county,county,county,county,county,county
generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id
operational_status_code,status,status,status,status,status,status,status
storage_technology_type,technology,technology,technology,technology,technology,technology,technology
prime_mover_code,prime_mover,prime_mover,prime_mover,prime_mover,prime_mover,prime_mover,prime_mover
sector_name_eia,sector_name,sector_name,sector_name,sector_name,sector_name,sector_name,sector_name
sector_id_eia,sector,sector,sector,sector,sector,sector,sector
capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw
summer_capacity_mw,summer_capacity_mw,summer_capacity_mw,summer_capacity_mw,summer_capacity_mw,summer_capacity_mw,summer_capacity_mw,summer_capacity_mw
winter_capacity_mw,winter_capacity_mw,winter_capacity_mw,winter_capacity_mw,winter_capacity_mw,winter_capacity_mw,winter_capacity_mw,winter_capacity_mw
storage_operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month
storage_operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year
energy_storage_capacity_mwh,nameplate_energy_capacity_mw,nameplate_energy_capacity_mw,nameplate_energy_capacity_mw,nameplate_energy_capacity_mw,nameplate_energy_capacity_mw,nameplate_energy_capacity_mw,nameplate_energy_capacity_mw
maximum_charge_rate_mw,maximum_charge_rate_mw,maximum_charge_rate_mw,maximum_charge_rate_mw,maximum_charge_rate_mw,maximum_charge_rate_mw,maximum_charge_rate_mw,maximum_charge_rate_mw
maximum_discharge_rate_mw,maximum_discharge_rate_mw,maximum_discharge_rate_mw,maximum_discharge_rate_mw,maximum_discharge_rate_mw,maximum_discharge_rate_mw,maximum_discharge_rate_mw,maximum_discharge_rate_mw
storage_electro_chemical_technology_type_1,storage_technology_1,storage_technology_1,storage_technology_1,storage_technology_1,storage_technology_1,storage_technology_1,storage_technology_1
storage_electro_chemical_technology_type_2,storage_technology_2,storage_technology_2,storage_technology_2,storage_technology_2,storage_technology_2,storage_technology_2,storage_technology_2
storage_electro_chemical_technology_type_3,storage_technology_3,storage_technology_3,storage_technology_3,storage_technology_3,storage_technology_3,storage_technology_3,storage_technology_3
storage_electro_chemical_technology_type_4,storage_technology_4,storage_technology_4,storage_technology_4,storage_technology_4,storage_technology_4,storage_technology_4,storage_technology_4
reactive_power_rating,nameplate_reactive_power_rating,nameplate_reactive_power_rating,nameplate_reactive_power_rating,nameplate_reactive_power_rating,nameplate_reactive_power_rating,nameplate_reactive_power_rating,nameplate_reactive_power_rating
storage_enclosure_type,storage_enclosure_type,storage_enclosure_type,storage_enclosure_type,storage_enclosure_type,storage_enclosure_type,storage_enclosure_type,storage_enclosure_type
serves_arbitrage_applications,arbitrage,arbitrage,arbitrage,arbitrage,arbitrage,arbitrage,arbitrage
serves_frequency_regulation_applications,frequency_regulation,frequency_regulation,frequency_regulation,frequency_regulation,frequency_regulation,frequency_regulation,frequency_regulation
serves_load_following_applications,load_following,load_following,load_following,load_following,load_following,load_following,load_following
serves_ramping_spinning_reserve_applications,ramping_spinning_reserve,ramping_spinning_reserve,ramping_spinning_reserve,ramping_spinning_reserve,ramping_spinning_reserve,ramping_spinning_reserve,ramping_spinning_reserve
serves_co-located_renewable_firming,co-located_renewable_firming,co-located_renewable_firming,co-located_renewable_firming,co-located_renewable_firming,co-located_renewable_firming,co-located_renewable_firming,co-located_renewable_firming
serves_transmission_and_distribution_deferral_applications,transmission_and_distribution_deferral,transmission_and_distribution_deferral,transmission_and_distribution_deferral,transmission_and_distribution_deferral,transmission_and_distribution_deferral,transmission_and_distribution_deferral,transmission_and_distribution_deferral
serves_system_peak_shaving_applications,system_peak_shaving,system_peak_shaving,system_peak_shaving,system_peak_shaving,system_peak_shaving,system_peak_shaving,system_peak_shaving
serves_load_management_applicaitons,load_management,load_management,load_management,load_management,load_management,load_management,load_management
serves_voltage_or_reactive_power_support_applications,voltage_or_reactive_power_support,voltage_or_reactive_power_support,voltage_or_reactive_power_support,voltage_or_reactive_power_support,voltage_or_reactive_power_support,voltage_or_reactive_power_support,voltage_or_reactive_power_support
serves_backup_power_applicaitons,backup_power,backup_power,backup_power,backup_power,backup_power,backup_power,backup_power
stores_excess_wind_and_solar_generation,excess_wind_and_solar_generation,excess_wind_and_solar_generation,excess_wind_and_solar_generation,excess_wind_and_solar_generation,excess_wind_and_solar_generation,excess_wind_and_solar_generation,excess_wind_and_solar_generation
