year_index,utility_id_eia,utility_name_eia,plant_id_eia,plant_name_eia,state,county,so2_control_id_eia,fgd_operational_status_code,so2_equipment_type_1,so2_equipment_type_2,so2_equipment_type_3,so2_equipment_type_4,sorbent_type_1,sorbent_type_2,sorbent_type_3,sorbent_type_4,byproduct_recovery,pond_landfill_requirements_acre_foot_per_year,sludge_pond,sludge_pond_lined,flue_gas_bypass_fgd,specifications_of_coal_ash,specifications_of_coal_sulfur,fgd_trains_total,fgd_trains_100pct,so2_removal_efficiency_design,so2_emission_rate_lbs_per_hour,flue_gas_exit_rate_cubic_feet_per_minute,flue_gas_exit_temperature_fahrenheit,flue_gas_entering_fgd_pct_of_total,fgd_structure_cost_thousand_dollars,sludge_disposal_cost_thousand_dollars,fgd_other_cost_thousand_dollars,total_fgd_equipment_cost_thousand_dollars,steam_plant_type_code,fgd_operating_month,fgd_operating_year,fgd_manufacturer_code,plant_summer_capacity_mw,water_source
2009,utility_code,utility_name,plant_code,plant_name,state,county,fgd_id,fgd_status,fgd_type1,fgd_type2,fgd_type3,fgd_type4,sorbent_type1,sorbent_type2,sorbent_type3,sorbent_type4,byproduct_recovery,pond_landfill_req,,sludge_pond_lined,flue_gas_bypass_fgd,spec_for_coal_ash,spec_for_coal_sulfur,fgd_trains_total,fgd_trains_100_pct,removal_eff_sulfur,sulfur_emision_rate,flue_gas_exit_rate,flue_gas_exit_temp,flue_gas_entering,cost_structure,cost_disposal,cost_other,cost_total,,inservice_mm,inservice_yr,fgd_manufacturer,plant_sum_cap,name_of_water_source
2010,utility_code,utility_name,plant_code,plant_name,state,county,fgd_id,fgd_status,fgd_type1,fgd_type2,fgd_type3,fgd_type4,sorbent_type1,sorbent_type2,sorbent_type3,sorbent_type4,byproduct_recovery,pond_landfill_req,,sludge_pond_lined,flue_gas_bypass_fgd,spec_for_coal_ash,spec_for_coal_sulfur,fgd_trains_total,fgd_trains_100_pct,removal_eff_sulfur,sulfur_emision_rate,flue_gas_exit_rate,flue_gas_exit_temp,flue_gas_entering,cost_structure,cost_disposal,cost_other,cost_total,,inservice_mm,inservice_yr,fgd_manufacturer,plant_sum_cap,name_of_water_source
2011,utility_id,utility_name,plant_code,plant_name,state,,fgd_id,fgd_status,fgd_type1,fgd_type2,fgd_type3,fgd_type4,sorbent_type1,sorbent_type2,sorbent_type3,sorbent_type4,byproduct_recovery,pond_landfill_req,,sludge_pond_lined,flue_gas_bypass_fgd,spec_for_coal_ash,spec_for_coal_sulfur,fgd_trains_total,fgd_trains_100_pct,removal_eff_sulfur,sulfur_emision_rate,flue_gas_exit_rate,flue_gas_exit_temp,flue_gas_entering,cost_structure,cost_disposal,cost_other,cost_total,,inservice_mm,inservice_yr,fgd_manufacturer,,
2012,utility_id,utility_name,plant_code,plant_name,state,,fgd_id,fgd_status,fgd_type_1,fgd_type_2,fgd_type_3,fgd_type_4,sorbent_type_1,sorbent_type_2,sorbent_type_3,sorbent_type_4,byproduct_recovery,pond_landfill_requirements_acre_foot_per_year,,sludge_pond_lined,flue_gas_bypass_fgd,specifications_of_coal_ash,specifications_of_coal_sulfur,fgd_trains_total,fgd_trains_100,removal_efficiency_of_sulfur,sulfur_emission_rate_pounds_per_hour,flue_gas_exit_rate_cubic_feet_per_minute,flue_gas_exit_temperature_fahrenheit,flue_gas_entering_fgd_percent_of_total,cost_structure_thousand_dollars,cost_disposal_thousand_dollars,cost_other_thousand_dollars,cost_total_thousand_dollars,,inservice_month,inservice_year,fgd_manufacturer,,
2013,utility_id,utility_name,plant_code,plant_name,state,,so2_control_id,,so2_type_1,so2_type_2,so2_type_3,so2_type_4,sorbent_type_1,sorbent_type_2,sorbent_type_3,sorbent_type_4,byproduct_recovery,pond_landfill_requirements_acre_foot_per_year,,sludge_pond_lined,flue_gas_bypass_fgd,specifications_of_coal_ash,specifications_of_coal_sulfur,fgd_trains_total,fgd_trains_100,removal_efficiency_of_sulfur,sulfur_emission_rate_pounds_per_hour,flue_gas_exit_rate_cubic_feet_per_minute,flue_gas_exit_temperature_fahrenheit,flue_gas_entering_fgd_percent_of_total,cost_structure_thousand_dollars,cost_disposal_thousand_dollars,cost_other_thousand_dollars,cost_total_thousand_dollars,,,,,,
2014,utility_id,utility_name,plant_code,plant_name,state,,so2_control_id,,so2_type_1,so2_type_2,so2_type_3,so2_type_4,sorbent_type_1,sorbent_type_2,sorbent_type_3,sorbent_type_4,byproduct_recovery,pond_landfill_requirements_acre_foot_per_year,,sludge_pond_lined,flue_gas_bypass_fgd,specifications_of_coal_ash,specifications_of_coal_sulfur,fgd_trains_total,fgd_trains_100,removal_efficiency_of_sulfur,sulfur_emission_rate_pounds_per_hour,flue_gas_exit_rate_cubic_feet_per_minute,flue_gas_exit_temperature_fahrenheit,flue_gas_entering_fgd_percent_of_total,cost_structure_thousand_dollars,cost_disposal_thousand_dollars,cost_other_thousand_dollars,cost_total_thousand_dollars,steam_plant_type,,,,,
2015,utility_id,utility_name,plant_code,plant_name,state,,so2_control_id,,so2_type_1,so2_type_2,so2_type_3,so2_type_4,sorbent_type_1,sorbent_type_2,sorbent_type_3,sorbent_type_4,byproduct_recovery,pond_landfill_requirements_acre_foot_per_year,,sludge_pond_lined,flue_gas_bypass_fgd,specifications_of_coal_ash,specifications_of_coal_sulfur,fgd_trains_total,fgd_trains_100,removal_efficiency_of_sulfur,sulfur_emission_rate_pounds_per_hour,flue_gas_exit_rate_cubic_feet_per_minute,flue_gas_exit_temperature_fahrenheit,flue_gas_entering_fgd_percent_of_total,cost_structure_thousand_dollars,cost_disposal_thousand_dollars,cost_other_thousand_dollars,cost_total_thousand_dollars,steam_plant_type,,,,,
2016,utility_id,utility_name,plant_code,plant_name,state,,so2_control_id,,so2_type_1,so2_type_2,so2_type_3,so2_type_4,sorbent_type_1,sorbent_type_2,sorbent_type_3,sorbent_type_4,byproduct_recovery,pond_landfill_requirements_acre_foot_per_year,sludge_pond,sludge_pond_lined,flue_gas_bypass_fgd,specifications_of_coal_ash,specifications_of_coal_sulfur,fgd_trains_total,fgd_trains_100,removal_efficiency_of_sulfur,sulfur_emission_rate_pounds_per_hour,flue_gas_exit_rate_cubic_feet_per_minute,flue_gas_exit_temperature_fahrenheit,flue_gas_entering_fgd_percent_of_total,cost_structure_thousand_dollars,cost_disposal_thousand_dollars,cost_other_thousand_dollars,cost_total_thousand_dollars,steam_plant_type,,,,,
2017,utility_id,utility_name,plant_code,plant_name,state,,so2_control_id,,so2_type_1,so2_type_2,so2_type_3,so2_type_4,sorbent_type_1,sorbent_type_2,sorbent_type_3,sorbent_type_4,byproduct_recovery,pond_landfill_requirements_acre_foot_per_year,sludge_pond,sludge_pond_lined,flue_gas_bypass_fgd,specifications_of_coal_ash,specifications_of_coal_sulfur,fgd_trains_total,fgd_trains_100,removal_efficiency_of_sulfur,sulfur_emission_rate_pounds_per_hour,flue_gas_exit_rate_cubic_feet_per_minute,flue_gas_exit_temperature_fahrenheit,flue_gas_entering_fgd_percent_of_total,cost_structure_thousand_dollars,cost_disposal_thousand_dollars,cost_other_thousand_dollars,cost_total_thousand_dollars,steam_plant_type,,,,,
2018,utility_id,utility_name,plant_code,plant_name,state,,so2_control_id,,so2_type_1,so2_type_2,so2_type_3,so2_type_4,sorbent_type_1,sorbent_type_2,sorbent_type_3,sorbent_type_4,byproduct_recovery,pond_landfill_requirements_acre_foot_per_year,sludge_pond,sludge_pond_lined,flue_gas_bypass_fgd,specifications_of_coal_ash,specifications_of_coal_sulfur,fgd_trains_total,fgd_trains_100,removal_efficiency_of_sulfur,sulfur_emission_rate_pounds_per_hour,flue_gas_exit_rate_cubic_feet_per_minute,flue_gas_exit_temperature_fahrenheit,flue_gas_entering_fgd_percent_of_total,cost_structure_thousand_dollars,cost_disposal_thousand_dollars,cost_other_thousand_dollars,cost_total_thousand_dollars,steam_plant_type,,,,,
