year_index,utility_id_eia,utility_name_eia,plant_id_eia,plant_name_eia,state,county,particulate_control_id_eia,collector_type_1,collector_type_2,collector_type_3,fuel_specification_ash_coal,fuel_specification_ash_petroleum,fuel_specification_sulfur_coal,fuel_specification_sulfur_petroleum,collection_efficiency,emission_rate_pounds_per_hour,gas_exit_rate_cubic_feet_per_minute,gas_exit_temperature_fahrenheit,steam_plant_type_code,fgp_id_eia,fgp_operating_month,fgp_operating_year,fgp_status,installed_cost_thousand_dollars,fuel_specification_ash_coal_low,fuel_specification_ash_coal_high,fuel_specification_ash_petroleum_low,fuel_specification_ash_petroleum_high,fuel_specification_sulfur_coal_low,fuel_specification_sulfur_coal_high,fuel_specification_sulfur_petroleum_low,fuel_specification_sulfur_petroleum_high,summer_capacity_mw,water_source
2009,utility_code,utility_name,plant_code,plant_name,state,county,,collector_type1,collector_type2,collector_type3,,,,,collection_efficiency,emission_rate,gas_exit_rate,gas_exit_temp,,fgp_id,inservice_mm,inservice_yr,fgp_status,installed_cost,fuel_spec_ash_coal,fuel_spec_ash_coal2,fuel_spec_ash_pet,fuel_spec_ash_pet2,fuel_spec_sulfur_coal,fuel_spec_sulfur_coal2,fuel_spec_sulfur_pet,fuel_spec_sulfur_pet2,plant_sum_cap,name_of_water_source
2010,utility_code,utility_name,plant_code,plant_name,state,county,,collector_type1,collector_type2,collector_type3,,,,,collection_efficiency,emission_rate,gas_exit_rate,gas_exit_temp,,fgp_id,inservice_mm,inservice_yr,fgp_status,installed_cost,fuel_spec_ash_coal,fuel_spec_ash_coal2,fuel_spec_ash_pet,fuel_spec_ash_pet2,fuel_spec_sulfur_coal,fuel_spec_sulfur_coal2,fuel_spec_sulfur_pet,fuel_spec_sulfur_pet2,plant_sum_cap,name_of_water_source
2011,utility_id,utility_name,plant_code,plant_name,state,,,collector_type1,collector_type2,collector_type3,,,,,collection_efficiency,emission_rate,gas_exit_rate,gas_exit_temp,,fgp_id,inservice_mm,inservice_yr,fgp_status,installed_cost,fuel_spec_ash_coal,fuel_spec_ash_coal2,fuel_spec_ash_pet,fuel_spec_ash_pet2,fuel_spec_sulfur_coal,fuel_spec_sulfur_coal2,fuel_spec_sulfur_pet,fuel_spec_sulfur_pet2,,
2012,utility_id,utility_name,plant_code,plant_name,state,,,collector_type_1,collector_type_2,collector_type_3,,,,,collection_efficiency,emission_rate_pounds_per_hour,gas_exit_rate_cubic_feet_per_minute,gas_exit_temperature_fahrenheit,,fgp_id,inservice_month,inservice_year,fgp_status,installed_cost_thousand_dollars,fuel_specification_ash_coal_low,fuel_specification_ash_coal_high,fuel_specification_ash_petroleum_low,fuel_specification_ash_petroleum_high,fuel_specification_sulfur_coal_low,fuel_specification_sulfur_coal_high,fuel_specification_sulfur_petroleum_low,fuel_specification_sulfur_petroleum_high,,
2013,utility_id,utility_name,plant_code,plant_name,state,,particulate_matter_control_id,collector_type_1,collector_type_2,collector_type_3,fuel_specification_ash_coal,fuel_specification_ash_petroleum,fuel_specification_sulfur_coal,fuel_specification_sulfur_petroleum,collection_efficiency,emission_rate_pounds_per_hour,gas_exit_rate_cubic_feet_per_minute,gas_exit_temperature_fahrenheit,,,,,,,,,,,,,,,,
2014,utility_id,utility_name,plant_code,plant_name,state,,particulate_matter_control_id,collector_type_1,collector_type_2,collector_type_3,fuel_specification_ash_coal,fuel_specification_ash_petroleum,fuel_specification_sulfur_coal,fuel_specification_sulfur_petroleum,collection_efficiency,emission_rate_pounds_per_hour,gas_exit_rate_cubic_feet_per_minute,gas_exit_temperature_fahrenheit,steam_plant_type,,,,,,,,,,,,,,,
2015,utility_id,utility_name,plant_code,plant_name,state,,particulate_matter_control_id,collector_type_1,collector_type_2,collector_type_3,fuel_specification_ash_coal,fuel_specification_ash_petroleum,fuel_specification_sulfur_coal,fuel_specification_sulfur_petroleum,collection_efficiency,emission_rate_pounds_per_hour,gas_exit_rate_cubic_feet_per_minute,gas_exit_temperature_fahrenheit,steam_plant_type,,,,,,,,,,,,,,,
2016,utility_id,utility_name,plant_code,plant_name,state,,particulate_matter_control_id,collector_type_1,collector_type_2,collector_type_3,fuel_specification_ash_coal,fuel_specification_ash_petroleum,fuel_specification_sulfur_coal,fuel_specification_sulfur_petroleum,collection_efficiency,emission_rate_pounds_per_hour,gas_exit_rate_cubic_feet_per_minute,gas_exit_temperature_fahrenheit,steam_plant_type,,,,,,,,,,,,,,,
2017,utility_id,utility_name,plant_code,plant_name,state,,particulate_matter_control_id,collector_type_1,collector_type_2,collector_type_3,fuel_specification_ash_coal,fuel_specification_ash_petroleum,fuel_specification_sulfur_coal,fuel_specification_sulfur_petroleum,collection_efficiency,emission_rate_pounds_per_hour,gas_exit_rate_cubic_feet_per_minute,gas_exit_temperature_fahrenheit,steam_plant_type,,,,,,,,,,,,,,,
2018,utility_id,utility_name,plant_code,plant_name,state,,particulate_matter_control_id,collector_type_1,collector_type_2,collector_type_3,fuel_specification_ash_coal,fuel_specification_ash_petroleum,fuel_specification_sulfur_coal,fuel_specification_sulfur_petroleum,collection_efficiency,emission_rate_pounds_per_hour,gas_exit_rate_cubic_feet_per_minute,gas_exit_temperature_fahrenheit,steam_plant_type,,,,,,,,,,,,,,,
