year_index,2001,2002,2003,2004,2005,2006,2007,2008
utility_id_eia,utilcode,utilcode,utilcode,utilcode,utilcode,utilcode,utilcode,utilcode
utility_name_eia,,,,utilname,utilname,utilname,utilname,utilname
plant_id_eia,plntcode,plntcode,plntcode,plntcode,plntcode,plntcode,plntcode,plntcode
plant_name_eia,,,,plntname,plntname,plntname,plntname,plntname
state,,,,state,state,state,state,state
generator_id,gencode,gencode,gencode,gencode,gencode,gencode,gencode,gencode
prime_mover_code,primemover,primemover,primemover,primemover,primemover,primemover,primemover,primemover
unit_id_eia,multigen,multigen,multigen,unit_code,unit_code,unit_code,unit_code,unit_code
operational_status_code,status,status,status,status,status,status,status,status
ownership_code,owner,owner,owner,owner,owner,owner,ownership,ownership
owned_by_non_utility,,,,owned_by_nu,owned_by_nu,owned_by_nu,,
capacity_mw,nameplate,nameplate,nameplate,nameplate,nameplate,nameplate,nameplate,nameplate
reactive_power_output_mvar,,,,reactive_power_output,reactive_power_output,reactive_power_output,,
summer_capacity_mw,summcap,summcap,summcap,summcap,summcap,summcap,summer_capacity,summer_capability
winter_capacity_mw,wintcap,wintcap,wintcap,wintcap,wintcap,wintcap,winter_capacity,winter_capability
summer_capacity_estimate,sumcapglg,sumcapflg,sumcapflg,sumcapflg,sumcapflg,sumcapflg,,
winter_capacity_estimate,wincapflg,wincapflg,wincapflg,wincapflg,wincapflg,wincapflg,,
generator_operating_month,insvmonth,insvmonth,insvmonth,insvmonth,insvmonth,insvmonth,operating_month,operating_month
generator_operating_year,insvyear,insvyear,insvyear,insvyear,insvyear,insvyear,operating_year,operating_year
generator_retirement_month,retiremnth,retiremnth,retiremnth,retiremonth,retiremonth,retiremonth,retirement_month,retirement_month
generator_retirement_year,retireyear,retireyear,retireyear,retireyear,retireyear,retireyear,retirement_year,retirement_year
planned_generator_retirement_month,,,,,,,planned_retirement_month,planned_retirement_month
planned_generator_retirement_year,,,,,,,planned_retirement_year,planned_retirement_year
deliver_power_transgrid,,,,deliver_power_transgrid,deliver_power_transgrid,deliver_power_transgrid,deliver_power_transgrid,deliver_power_transgrid
associated_combined_heat_power,cogen,cogen,cogen,cogen,cogen,cogen,cogenerator,cogenerator
distributed_generation,distgen,distgen,distgen,distgen,distgen,distgen,,
syncronized_transmission_grid,,,,synchronized_grid,synchronized_grid,synchronized_grid,synchronized_grid,synchronized_grid
duct_burners,,,,,,,duct_burners,duct_burners
solid_fuel_gasification,,,,sfg_system,sfg_system,sfg_system,sfg_system,sfg_system
energy_source_code_1,ensource1,ensource1,ensource1,energy_source_1,energy_source_1,energy_source_1,energy_source_1,energy_source_1
energy_source_code_2,ensource2,ensource2,ensource2,energy_source_2,energy_source_2,energy_source_2,energy_source_2,energy_source_2
energy_source_code_3,ensource3,ensource3,ensource3,energy_source_3,energy_source_3,energy_source_3,energy_source_3,energy_source_3
energy_source_code_4,ensource4,ensource4,ensource4,energy_source_4,energy_source_4,energy_source_4,energy_source_4,energy_source_4
