year_index,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
utility_id_eia,utility_id,utility_id,utility_id,utility_id,utility_id,utility_id,utility_id,utility_id,utility_id,utility_id,utility_id,utility_id,utility_id
utility_name_eia,utility_name,utility_name,utility_name,utility_name,utility_name,utility_name,utility_name,utility_name,utility_name,utility_name,utility_name,utility_name,utility_name
plant_id_eia,plant_code,plant_code,plant_code,plant_code,plant_code,plant_code,plant_code,plant_code,plant_code,plant_code,plant_code,plant_code,plant_code
plant_name_eia,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name
state,state,state,state,state,state,state,state,state,state,state,state,state,state
county,county,county,county,county,county,county,county,county,county,county,county,county,county
generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id
technology_description,,,,,,technology,technology,technology,technology,technology,technology,technology,technology
prime_mover_code,prime_mover,prime_mover,prime_mover,prime_mover,prime_mover,prime_mover,prime_mover,prime_mover,prime_mover,prime_mover,prime_mover,prime_mover,prime_mover
unit_id_eia,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code
operational_status_code,status,status,status,status,status,status,status,status,status,status,status,status,status
capacity_mw,nameplate,nameplate,nameplate,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw
summer_capacity_mw,summer_capability,summer_capability,summer_capability,summer_capacity_mw,summer_capacity_mw,summer_capacity_mw,summer_capacity_mw,summer_capacity_mw,summer_capacity_mw,summer_capacity_mw,summer_capacity_mw,summer_capacity_mw,summer_capacity_mw
winter_capacity_mw,winter_capability,winter_capability,winter_capability,winter_capacity_mw,winter_capacity_mw,winter_capacity_mw,winter_capacity_mw,winter_capacity_mw,winter_capacity_mw,winter_capacity_mw,winter_capacity_mw,winter_capacity_mw,winter_capacity_mw
ownership_code,ownership,ownership,ownership,ownership,ownership,ownership,ownership,ownership,ownership,ownership,ownership,ownership,ownership
generator_operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month
generator_operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year
generator_retirement_month,retirement_month,retirement_month,retirement_month,retirement_month,retirement_month,retirement_month,retirement_month,retirement_month,retirement_month,retirement_month,retirement_month,retirement_month,retirement_month
generator_retirement_year,retirement_year,retirement_year,retirement_year,retirement_year,retirement_year,retirement_year,retirement_year,retirement_year,retirement_year,retirement_year,retirement_year,retirement_year,retirement_year
