year_index,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
utility_id_eia,utility_id,utility_id,utility_id,utility_id,utility_id,utility_id,utility_id,utility_id,utility_id,utility_id,utility_id,utility_id
utility_name_eia,utility_name,utility_name,utility_name,utility_name,utility_name,utility_name,utility_name,utility_name,utility_name,utility_name,utility_name,utility_name
plant_id_eia,plant_code,plant_code,plant_code,plant_code,plant_code,plant_code,plant_code,plant_code,plant_code,plant_code,plant_code,plant_code
plant_name_eia,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name
state,state,state,state,state,state,state,state,state,state,state,state,state
county,county,county,county,county,county,county,county,county,county,county,county,county
generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id
operational_status_code,status,status,status,status,status,status,status,status,status,status,status,status
technology_description,,technology,technology,technology,technology,technology,technology,technology,technology,technology,technology,technology
prime_mover_code,prime_mover,prime_mover,prime_mover,prime_mover,prime_mover,prime_mover,prime_mover,prime_mover,prime_mover,prime_mover,prime_mover,prime_mover
sector_name_eia,sector_name,sector_name,sector_name,sector_name,sector_name,sector_name,sector_name,sector_name,sector_name,sector_name,sector_name,sector_name
sector_id_eia,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector
capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw
summer_capacity_mw,summer_capacity_mw,summer_capacity_mw,summer_capacity_mw,summer_capacity_mw,summer_capacity_mw,summer_capacity_mw,summer_capacity_mw,summer_capacity_mw,summer_capacity_mw,summer_capacity_mw,summer_capacity_mw,summer_capacity_mw
winter_capacity_mw,winter_capacity_mw,winter_capacity_mw,winter_capacity_mw,winter_capacity_mw,winter_capacity_mw,winter_capacity_mw,winter_capacity_mw,winter_capacity_mw,winter_capacity_mw,winter_capacity_mw,winter_capacity_mw,winter_capacity_mw
generator_operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month
generator_operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year
uses_technology_lenses_mirrors,lenses_mirrors,lenses_mirrors,lenses_mirrors,lenses_mirrors,lenses_mirrors,lenses_mirrors,lenses_mirrors,lenses_mirrors,lenses_mirrors,lenses_mirrors,lenses_mirrors,lenses_mirrors
uses_technology_single_axis_tracking,single_axis_tracking,single_axis_tracking,single_axis_tracking,single_axis_tracking,single_axis_tracking,single_axis_tracking,single_axis_tracking,single_axis_tracking,single_axis_tracking,single_axis_tracking,single_axis_tracking,single_axis_tracking
uses_technology_dual_axis_tracking,dual_axis_tracking,dual_axis_tracking,dual_axis_tracking,dual_axis_tracking,dual_axis_tracking,dual_axis_tracking,dual_axis_tracking,dual_axis_tracking,dual_axis_tracking,dual_axis_tracking,dual_axis_tracking,dual_axis_tracking
uses_technology_fixed_tilt,fixed_tilt,fixed_tilt,fixed_tilt,fixed_tilt,fixed_tilt,fixed_tilt,fixed_tilt,fixed_tilt,fixed_tilt,fixed_tilt,fixed_tilt,fixed_tilt
uses_technology_east_west_fixed_tilt,,,,east_west_fixed_tilt,east_west_fixed_tilt,east_west_fixed_tilt,east_west_fixed_tilt,east_west_fixed_tilt,east_west_fixed_tilt,east_west_fixed_tilt,east_west_fixed_tilt,east_west_fixed_tilt
uses_technology_parabolic_trough,parabolic_trough,parabolic_trough,parabolic_trough,parabolic_trough,parabolic_trough,parabolic_trough,parabolic_trough,parabolic_trough,parabolic_trough,parabolic_trough,parabolic_trough,parabolic_trough
uses_technology_linear_fresnel,linear_fresnel,linear_fresnel,linear_fresnel,linear_fresnel,linear_fresnel,linear_fresnel,linear_fresnel,linear_fresnel,linear_fresnel,linear_fresnel,linear_fresnel,linear_fresnel
uses_technology_power_tower,power_tower,power_tower,power_tower,power_tower,power_tower,power_tower,power_tower,power_tower,power_tower,power_tower,power_tower,power_tower
uses_technology_dish_engine,dish_engine,dish_engine,dish_engine,dish_engine,dish_engine,dish_engine,dish_engine,dish_engine,dish_engine,dish_engine,dish_engine,dish_engine
uses_technology_other,other_solar_technology,other_solar_technology,other_solar_technology,other_solar_technology,other_solar_technology,other_solar_technology,other_solar_technology,other_solar_technology,other_solar_technology,other_solar_technology,other_solar_technology,other_solar_technology
azimuth_angle_deg,,,,,azimuth_angle,azimuth_angle,azimuth_angle,azimuth_angle,azimuth_angle,azimuth_angle,azimuth_angle,azimuth_angle
tilt_angle_deg,,,,tilt_angle,tilt_angle,tilt_angle,tilt_angle,tilt_angle,tilt_angle,tilt_angle,tilt_angle,tilt_angle
net_capacity_mwdc,,,dc_net_capacity_mw,dc_net_capacity_mw,dc_net_capacity_mw,dc_net_capacity_mw,dc_net_capacity_mw,dc_net_capacity_mw,dc_net_capacity_mw,dc_net_capacity_mw,dc_net_capacity_mw,dc_net_capacity_mw
uses_material_crystalline_silicon,crystalline_silicon,crystalline_silicon,crystalline_silicon,crystalline_silicon,crystalline_silicon,crystalline_silicon,crystalline_silicon,crystalline_silicon,crystalline_silicon,crystalline_silicon,crystalline_silicon,crystalline_silicon
uses_material_thin_film_cdte,thin_film_cdte,thin_film_cdte,thin_film_cdte,thin_film_cdte,thin_film_cdte,thin_film_cdte,thin_film_cdte,thin_film_cdte,thin_film_cdte,thin_film_cdte,thin_film_cdte,thin_film_cdte
uses_material_thin_film_a_si,thin_film_a_si,thin_film_a_si,thin_film_a_si,thin_film_a_si,thin_film_a_si,thin_film_a_si,thin_film_a_si,thin_film_a_si,thin_film_a_si,thin_film_a_si,thin_film_a_si,thin_film_a_si
uses_material_thin_film_cigs,thin_film_cigs,thin_film_cigs,thin_film_cigs,thin_film_cigs,thin_film_cigs,thin_film_cigs,thin_film_cigs,thin_film_cigs,thin_film_cigs,thin_film_cigs,thin_film_cigs,thin_film_cigs
uses_material_thin_film_other,thin_film_other,thin_film_other,thin_film_other,thin_film_other,thin_film_other,thin_film_other,thin_film_other,thin_film_other,thin_film_other,thin_film_other,thin_film_other,thin_film_other
uses_material_other,other_materials,other_materials,other_materials,other_materials,other_materials,other_materials,other_materials,other_materials,other_materials,other_materials,other_materials,other_materials
uses_net_metering_agreement,,,,net_metering_agreement,net_metering_agreement,net_metering_agreement,net_metering_agreement,net_metering_agreement,net_metering_agreement,net_metering_agreement,net_metering_agreement,net_metering_agreement
net_metering_capacity_mwdc,,,,net_metering_dc_capacity_mw,net_metering_dc_capacity_mw,net_metering_dc_capacity_mw,net_metering_dc_capacity_mw,net_metering_dc_capacity_mw,net_metering_dc_capacity_mw,net_metering_dc_capacity_mw,net_metering_dc_capacity_mw,net_metering_dc_capacity_mw
uses_virtual_net_metering_agreement,,,,virtual_net_metering_agreement,virtual_net_metering_agreement,virtual_net_metering_agreement,virtual_net_metering_agreement,virtual_net_metering_agreement,virtual_net_metering_agreement,virtual_net_metering_agreement,virtual_net_metering_agreement,virtual_net_metering_agreement
virtual_net_metering_capacity_mwdc,,,,virtual_net_metering_dc_capacity_mw,virtual_net_metering_dc_capacity_mw,virtual_net_metering_dc_capacity_mw,virtual_net_metering_dc_capacity_mw,virtual_net_metering_dc_capacity_mw,virtual_net_metering_dc_capacity_mw,virtual_net_metering_dc_capacity_mw,virtual_net_metering_dc_capacity_mw,virtual_net_metering_dc_capacity_mw
standard_testing_conditions_capacity_mwdc,net_capacity_under_stc_mw,net_capacity_under_stc_mw,,,,,,,,,,
uses_bifacial_panels,,,,,,,,,,,bifacial,bifacial
