year_index,utility_id_eia,utility_name_eia,plant_id_eia,plant_name_eia,state,county,generator_id,operational_status_code,technology_description,prime_mover_code,sector_name_eia,sector_id_eia,capacity_mw,summer_capacity_mw,winter_capacity_mw,current_planned_generator_operating_month,current_planned_generator_operating_year,energy_source_code_1,energy_source_code_2,can_burn_multiple_fuels,can_cofire_fuels,cofire_energy_source_1,cofire_energy_source_2,cofire_energy_source_3,cofire_energy_source_4,cofire_energy_source_5,cofire_energy_source_6,can_switch_oil_gas,can_switch_when_operating,net_summer_capacity_with_natural_gas_mw,net_summer_capacity_with_oil_mw,has_factors_that_limit_switching,has_storage_limits,has_air_permit_limits,has_other_limits,can_cofire_oil_and_gas,can_cofire_100_oil,max_oil_heat_input,max_oil_output_mw,can_fuel_switch,time_to_switch,regulatory_limits,fuel_switch_energy_source_1,fuel_switch_energy_source_2,fuel_switch_energy_source_3,fuel_switch_energy_source_4,fuel_switch_energy_source_5,fuel_switch_energy_source_6
2004,utilcode,utilname,plntcode,plntname,state,,gencode,,,primemover,,,,,,,,,,pro_multiple_fuels,pro_cofire_fuels,prop_cofire_energy_source_1,prop_cofire_energy_source_2,prop_cofire_energy_source_3,prop_cofire_energy_source_4,prop_cofire_energy_source_5,prop_cofire_energy_source_6,prop_fuel_switch_oil_gas,,prop_net_summer_capacity_ng,prop_net_summer_capacity_oil,,,,,prop_cofire_oil_gas,prop_cofire_100_oil,prop_max_oil_heat,prop_max_oil_output,prop_fuel_switch,prop_time_to_switch,prop_regulatory_limits,prop_fuel_switch_es1,prop_fuel_switch_es2,prop_fuel_switch_es3,prop_fuel_switch_es4,prop_fuel_switch_es5,prop_fuel_switch_es6
2005,utilcode,utilname,plntcode,plntname,state,,gencode,,,primemover,,,,,,,,,,pro_multiple_fuels,pro_cofire_fuels,prop_cofire_energy_source_1,prop_cofire_energy_source_2,prop_cofire_energy_source_3,prop_cofire_energy_source_4,prop_cofire_energy_source_5,prop_cofire_energy_source_6,prop_fuel_switch_oil_gas,,prop_net_summer_capacity_ng,prop_net_summer_capacity_oil,,,,,prop_cofire_oil_gas,prop_cofire_100_oil,prop_max_oil_heat,prop_max_oil_output,prop_fuel_switch,prop_time_to_switch,prop_regulatory_limits,prop_fuel_switch_es1,prop_fuel_switch_es2,prop_fuel_switch_es3,prop_fuel_switch_es4,prop_fuel_switch_es5,prop_fuel_switch_es6
2006,utilcode,utilname,plntcode,plntname,state,,gencode,,,primemover,,,,,,,,,,pro_multiple_fuels,pro_cofire_fuels,prop_cofire_energy_source_1,prop_cofire_energy_source_2,prop_cofire_energy_source_3,prop_cofire_energy_source_4,prop_cofire_energy_source_5,prop_cofire_energy_source_6,prop_fuel_switch_oil_gas,,prop_net_summer_capacity_ng,prop_net_summer_capacity_oil,,,,,prop_cofire_oil_gas,prop_cofire_100_oil,prop_max_oil_heat,prop_max_oil_output,prop_fuel_switch,prop_time_to_switch,prop_regulatory_limits,prop_fuel_switch_es1,prop_fuel_switch_es2,prop_fuel_switch_es3,prop_fuel_switch_es4,prop_fuel_switch_es5,prop_fuel_switch_es6
2007,utilcode,utilname,plntcode,plntname,state,,gencode,,,primemover,,,,,,,,,,multiple_fuels,cofire_fuels,cofire_energy_source_1,cofire_energy_source_2,cofire_energy_source_3,cofire_energy_source_4,cofire_energy_source_5,cofire_energy_source_6,fuel_switch_oil_gas,,net_summer_capacity_ng,net_summer_capacity_oil,factors_that_limit,storage_limits,airpermit_limits,other_limits,cofire_oil_gas,cofire_100_oil,max_oil_heat,max_oil_output,fuel_switch,time_to_switch,,fuel_switch_energy_source_1,fuel_switch_energy_source_2,fuel_switch_energy_source_3,fuel_switch_energy_source_4,fuel_switch_energy_source_5,fuel_switch_energy_source_6
2008,utilcode,utilname,plntcode,plntname,state,,gencode,,,primemover,,,,,,,,,,multiple_fuels,cofire_fuels,cofire_energy_source_1,cofire_energy_source_2,cofire_energy_source_3,cofire_energy_source_4,cofire_energy_source_5,cofire_energy_source_6,fuel_switch_oil_gas,,net_summer_capacity_ng,net_summer_capacity_oil,factors_that_limit,storage_limits,airpermit_limits,other_limits,cofire_oil_gas,cofire_100_oil,max_oil_heat,max_oil_output,fuel_switch,time_to_switch,,fuel_switch_energy_source_1,fuel_switch_energy_source_2,fuel_switch_energy_source_3,fuel_switch_energy_source_4,fuel_switch_energy_source_5,fuel_switch_energy_source_6
2009,utility_id,utility_name,plant_code,plant_name,state,county,generator_id,,,prime_mover,,,,,,,,,,multiple_fuels,cofire_fuels,cofire_energy_source_1,cofire_energy_source_2,cofire_energy_source_3,cofire_energy_source_4,cofire_energy_source_5,cofire_energy_source_6,fuel_switch_oil_gas,operating_switch,net_summer_capacity_ng,net_summer_capacity_oil,,storage_limits,airpermit_limits,other_limits,cofire_oil_gas,cofire_100_oil,max_oil_heat,max_oil_output,fuel_switch,time_to_switch,regulatory_limits,fuel_switch_energy_source_1,fuel_switch_energy_source_2,fuel_switch_energy_source_3,fuel_switch_energy_source_4,fuel_switch_energy_source_5,fuel_switch_energy_source_6
2010,utility_id,utility_name,plant_code,plant_name,state,county,generator_id,,,prime_mover,,,,,,,,,,multiple_fuels,cofire_fuels,cofire_energy_source_1,cofire_energy_source_2,cofire_energy_source_3,cofire_energy_source_4,cofire_energy_source_5,cofire_energy_source_6,fuel_switch_oil_gas,operating_switch,net_summer_capacity_ng,net_summer_capacity_oil,,storage_limits,airpermit_limits,other_limits,cofire_oil_gas,cofire_100_oil,max_oil_heat,max_oil_output,fuel_switch,time_to_switch,regulatory_limits,fuel_switch_energy_source_1,fuel_switch_energy_source_2,fuel_switch_energy_source_3,fuel_switch_energy_source_4,fuel_switch_energy_source_5,fuel_switch_energy_source_6
2011,utility_id,utility_name,plant_code,plant_name,state,county,generator_id,status,,prime_mover,sector_name,sector,,,,,,,,multiple_fuels,cofire_fuels,cofire_energy_source_1,cofire_energy_source_2,cofire_energy_source_3,cofire_energy_source_4,cofire_energy_source_5,cofire_energy_source_6,fuel_switch_oil_gas,operating_switch,net_summer_capacity_ng,net_summer_capacity_oil,,storage_limits,airpermit_limits,other_limits,cofire_oil_gas,cofire_100_oil,max_oil_heat,max_oil_output,fuel_switch,time_to_switch,regulatory_limits,fuel_switch_energy_source_1,fuel_switch_energy_source_2,fuel_switch_energy_source_3,fuel_switch_energy_source_4,fuel_switch_energy_source_5,fuel_switch_energy_source_6
2012,utility_id,utility_name,plant_code,plant_name,state,county,generator_id,status,,prime_mover,sector_name,sector,,,,,,,,multiple_fuels,cofire_fuels,cofire_energy_source_1,cofire_energy_source_2,cofire_energy_source_3,cofire_energy_source_4,cofire_energy_source_5,cofire_energy_source_6,fuel_switch_oil_gas,operating_switch,net_summer_capacity_with_natural_gas_mw,net_summer_capacity_with_oil_mw,,storage_limits,air_permit_limits,other_limits,cofire_oil_and_gas,cofire_100_oil,max_oil_heat_input,max_oil_output_mw,fuel_switch,time_to_switch,regulatory_limits,fuel_switch_energy_source_1,fuel_switch_energy_source_2,fuel_switch_energy_source_3,fuel_switch_energy_source_4,fuel_switch_energy_source_5,fuel_switch_energy_source_6
2013,utility_id,utility_name,plant_code,plant_name,state,county,generator_id,status,,prime_mover,sector_name,sector,nameplate_capacity_mw,summer_capacity_mw,winter_capacity_mw,,,energy_source_1,energy_source_2,,cofire_fuels,cofire_energy_source_1,cofire_energy_source_2,cofire_energy_source_3,cofire_energy_source_4,cofire_energy_source_5,cofire_energy_source_6,switch_between_oil_and_natural_gas,,,,,,,,,,,,,,,,,,,,
