year_index,operator_utility_id_eia,operator_utility_name_eia,plant_id_eia,plant_name_eia,operator_state,generator_id,operational_status_code,owner_utility_id_eia,owner_utility_name_eia,owner_state,owner_street_address,owner_city,owner_zip_code,fraction_owned,year
2001,utilcode,,plntcode,,,gencode,,ownership,owner_n,,,,,percent_ow,year
2002,utilcode,,plntcode,,,gencode,,ownership,owner_n,,,,,percent_ow,year
2003,utilcode,,plntcode,,,gencode,,ownership,owner_n,,,,,percent_ow,year
2004,utilcode,,plntcode,,,gencode,,ownership,owner_n,,,,,percent_ow,year
2005,utilcode,,plntcode,,,gencode,,ownership,owner_n,,,,,percent_ow,year
2006,utilcode,utilname,plantcode,plantname,,gencode,,owner_id,owner_name,,,,,percent_owned,year
2007,utilcode,utilname,plntcode,plntname,,gencode,status,ownership_id,ownername,,,,,percent_owned,
2008,utilcode,utilname,plntcode,plntname,,gencode,status,ownership_id,ownername,,,,,percent_owned,
2009,utility_id,utility_name,plant_code,plant_name,state,generator_id,status,ownership_id,owner_name,owner_state,,,,percent_owned,
2010,utility_id,utility_name,plant_code,plant_name,state,generator_id,status,ownership_id,owner_name,owner_state,,,,percent_owned,
2011,utility_id,utility_name,plant_code,plant_name,state,generator_id,status,ownership_id,owner_name,owner_state,,,,percent_owned,
2012,utility_id,utility_name,plant_code,plant_name,state,generator_id,status,ownership_id,owner_name,owner_state,,,,percent_owned,
2013,utility_id,utility_name,plant_code,plant_name,state,generator_id,status,ownership_id,owner_name,owner_state,owner_street_address,owner_city,owner_zip,percent_owned,
2014,utility_id,utility_name,plant_code,plant_name,state,generator_id,status,ownership_id,owner_name,owner_state,owner_street_address,owner_city,owner_zip,percent_owned,
2015,utility_id,utility_name,plant_code,plant_name,state,generator_id,status,ownership_id,owner_name,owner_state,owner_street_address,owner_city,owner_zip,percent_owned,
2016,utility_id,utility_name,plant_code,plant_name,state,generator_id,status,ownership_id,owner_name,owner_state,owner_street_address,owner_city,owner_zip,percent_owned,
2017,utility_id,utility_name,plant_code,plant_name,state,generator_id,status,ownership_id,owner_name,owner_state,owner_street_address,owner_city,owner_zip,percent_owned,
2018,utility_id,utility_name,plant_code,plant_name,state,generator_id,status,ownership_id,owner_name,owner_state,owner_street_address,owner_city,owner_zip,percent_owned,
2019,utility_id,utility_name,plant_code,plant_name,state,generator_id,status,ownership_id,owner_name,owner_state,owner_street_address,owner_city,owner_zip,percent_owned,
2020,utility_id,utility_name,plant_code,plant_name,state,generator_id,status,ownership_id,owner_name,owner_state,owner_street_address,owner_city,owner_zip,percent_owned,
2021,utility_id,utility_name,plant_code,plant_name,state,generator_id,status,ownership_id,owner_name,owner_state,owner_street_address,owner_city,owner_zip,percent_owned,
2022,utility_id,utility_name,plant_code,plant_name,state,generator_id,status,ownership_id,owner_name,owner_state,owner_street_address,owner_city,owner_zip,percent_owned,
2023,utility_id,utility_name,plant_code,plant_name,state,generator_id,status,ownership_id,owner_name,owner_state,owner_street_address,owner_city,owner_zip,percent_owned,
2024,utility_id,utility_name,plant_code,plant_name,state,generator_id,status,ownership_id,owner_name,owner_state,owner_street_address,owner_city,owner_zip,percent_owned,
