year_index,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
utility_id_eia,utilcode,utilcode,utilcode,utilcode,utilcode,utilcode,utilcode,utilcode,utility_id,utility_id,utility_id,utility_id,utility_id,utility_id,utility_id,utility_id,utility_id,utility_id,utility_id,utility_id
utility_name_eia,,,,,,,,utilname,,,,,utility_name,utility_name,utility_name,utility_name,utility_name,utility_name,utility_name,utility_name
plant_id_eia,plntcode,plntcode,plntcode,plntcode,plntcode,plntcode,plntcode,plntcode,plant_code,plant_code,plant_code,plant_code,plant_code,plant_code,plant_code,plant_code,plant_code,plant_code,plant_code,plant_code
plant_name_eia,plntname,plntname,plntname,plntname,plntname,plntname,plntname,plntname,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name
street_address,,,,,,,mail_street_address,mail_street_address,street_address,street_address,street_address,street_address,street_address,street_address,street_address,street_address,street_address,street_address,street_address,street_address
city,,,,,,,mail_city,mail_city,city,city,city,city,city,city,city,city,city,city,city,city
county,cntyname,cntyname,cntyname,cntyname,cntyname,cntyname,county,county,county,county,county,county,county,county,county,county,county,county,county,county
state,plntstate,plntstate,plntstate,state,state,state,state,state,state,state,state,state,state,state,state,state,state,state,state,state
zip_code,plntzip,plntzip,plntzip,plntzip,plntzip,plntzip,zip5,zip5,zip5,zip5,zip5,zip,zip,zip,zip,zip,zip,zip,zip,zip
water_source,watsource,watsource,watsource,watsource,watsource,watsource,name_of_water_source,name_of_water_source,name_of_water_source,name_of_water_source,name_of_water_source,name_of_water_source,name_of_water_source,name_of_water_source,name_of_water_source,name_of_water_source,name_of_water_source,name_of_water_source,name_of_water_source,name_of_water_source
nerc_region,nerc,nerc,nerc,nerc,nerc,nerc,nerc,nerc,nerc,nerc,nerc,nerc_region,nerc_region_code,nerc_region,nerc_region,nerc_region,nerc_region,nerc_region,nerc_region,nerc_region
primary_purpose_id_naics,naics,naics,naics,naics,naics,naics,primary_purpose,primary_purpose,primary_purpose,primary_purpose,primary_purpose,primary_purpose_naics_code,primary_purpose_naics_code,primary_purpose_naics_code,primary_purpose_naics_code,primary_purpose_naics_code,primary_purpose_naics_code,primary_purpose_naics_code,primary_purpose_naics_code,primary_purpose_naics_code
transmission_distribution_owner_name,,,,,,,ownertrandist,ownertrandist,ownertransdist,ownertransdist,ownertransdist,transmission_or_distribution_system_owner,transmission_or_distribution_system_owner,transmission_or_distribution_system_owner,transmission_or_distribution_system_owner,transmission_or_distribution_system_owner,transmission_or_distribution_system_owner,transmission_or_distribution_system_owner,transmission_or_distribution_system_owner,transmission_or_distribution_system_owner
transmission_distribution_owner_id,,,,,,,ownertransid,ownertransid,ownertransid,ownertransid,ownertransid,transmission_or_distribution_system_owner_id,transmission_or_distribution_system_owner_id,transmission_or_distribution_system_owner_id,transmission_or_distribution_system_owner_id,transmission_or_distribution_system_owner_id,transmission_or_distribution_system_owner_id,transmission_or_distribution_system_owner_id,transmission_or_distribution_system_owner_id,transmission_or_distribution_system_owner_id
transmission_distribution_owner_state,,,,,,,ownerstate,ownerstate,ownerstate,ownerstate,ownerstate,transmission_or_distribution_system_owner_state,transmission_or_distribution_system_owner_state,transmission_or_distribution_system_owner_state,transmission_or_distribution_system_owner_state,transmission_or_distribution_system_owner_state,transmission_or_distribution_system_owner_state,transmission_or_distribution_system_owner_state,transmission_or_distribution_system_owner_state,transmission_or_distribution_system_owner_state
regulatory_status_code,,,,,,regulatory_status,regulatory_status,regulatory_status,regulatory_status,regulatory_status,regulatory_status,regulatory_status,regulatory_status,regulatory_status,regulatory_status,regulatory_status,regulatory_status,regulatory_status,regulatory_status,regulatory_status
service_area,servarea,servarea,servarea,servarea,servarea,service_area,,,,,,,,,,,,,,
sector_name_eia,,,,,,,,,sector_name,sector_name,sector_name,sector_name,sector_name,sector_name,sector_name,sector_name,sector_name,sector_name,sector_name,sector_name
sector_id_eia,,,,,,,,,sector_number,sector_number,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector
ferc_cogen_status,,,,,,,ferc_cogen,ferc_cogen,ferc_cogen,ferc_cogen,ferc_cogen,ferc_cogeneration_status,ferc_cogeneration_status,ferc_cogeneration_status,ferc_cogeneration_status,ferc_cogeneration_status,ferc_cogeneration_status,ferc_cogeneration_status,ferc_cogeneration_status,ferc_cogeneration_status
ferc_cogen_docket_no,,,,,,,ferc_cogen_docket,ferc_cogen_docket,ferc_cogen_docket,ferc_cogen_docket,ferc_cogen_docket,ferc_cogeneration_docket_number,ferc_cogeneration_docket_number,ferc_cogeneration_docket_number,ferc_cogeneration_docket_number,ferc_cogeneration_docket_number,ferc_cogeneration_docket_number,ferc_cogeneration_docket_number,ferc_cogeneration_docket_number,ferc_cogeneration_docket_number
net_metering,,,,,,,,,,,,,net_metering_for_facilities_with_solar_or_wind_generation,net_metering_for_facilities_with_solar_or_wind_generation,net_metering_for_facilities_with_solar_or_wind_generation,,,,,
ferc_small_power_producer,,,,,,,ferc_small_power,ferc_small_power,ferc_small_power,ferc_small_power,ferc_small_power,ferc_small_power_producer_status,ferc_small_power_producer_status,ferc_small_power_producer_status,ferc_small_power_producer_status,ferc_small_power_producer_status,ferc_small_power_producer_status,ferc_small_power_producer_status,ferc_small_power_producer_status,ferc_small_power_producer_status
ferc_small_power_producer_docket_no,,,,,,,ferc_small_power_docket,ferc_small_power_docket,ferc_small_power_docket,ferc_small_power_docket,ferc_small_power_docket,ferc_small_power_producer_docket_number,ferc_small_power_producer_docket_number,ferc_small_power_producer_docket_number,ferc_small_power_producer_docket_number,ferc_small_power_producer_docket_number,ferc_small_power_producer_docket_number,ferc_small_power_producer_docket_number,ferc_small_power_producer_docket_number,ferc_small_power_producer_docket_number
ferc_exempt_wholesale_generator,,,,,,,ferc_exempt_wholesale,ferc_exempt_wholesale,ferc_exempt_wholesale,ferc_exempt_wholesale,ferc_exempt_wholesale,ferc_exempt_wholesale_generator_status,ferc_exempt_wholesale_generator_status,ferc_exempt_wholesale_generator_status,ferc_exempt_wholesale_generator_status,ferc_exempt_wholesale_generator_status,ferc_exempt_wholesale_generator_status,ferc_exempt_wholesale_generator_status,ferc_exempt_wholesale_generator_status,ferc_exempt_wholesale_generator_status
