year_index,utility_id_eia,utility_name_eia,plant_id_eia,plant_name_eia,state,county,stack_flue_id_eia,stack_id_eia,flue_id_eia,operating_month,operating_year,stack_flue_status,stack_height_feet,area_at_top_square_feet,exit_rate_100pct_cubic_feet_per_minute,exit_rate_50pct_cubic_feet_per_minute,exit_temperature_100pct_fahrenheit,exit_temperature_50pct_fahrenheit,exit_velocity_100pct_feet_per_second,exit_velocity_50pct_feet_per_second,exit_temperature_summer_fahrenheit,exit_temperature_winter_fahrenheit,exit_temperature_measured_or_estimated,steam_plant_type_code,exit_temperature_source,summer_capacity_mw,water_source
2009,utility_id,utility_name,plant_code,plant_name,state,county,,stack_id,flue_id,inservice_mm,inservice_yr,stack_flue_status,flue_height,area_at_top,exit_rate_100_pct,exit_rate_50_pct,exit_temp_100_pct,exit_temp_50_pct,exit_velocity_100_pct,exit_velocity_50_pct,exit_temp_summer,exit_temp_winter,exit_temp_source,,,plant_sum_cap,name_of_water_source
2010,utility_id,utility_name,plant_code,plant_name,state,county,,stack_id,flue_id,inservice_mm,inservice_yr,stack_flue_status,flue_height,area_at_top,exit_rate_100_pct,exit_rate_50_pct,exit_temp_100_pct,exit_temp_50_pct,exit_velocity_100_pct,exit_velocity_50_pct,exit_temp_summer,exit_temp_winter,exit_temp_source,,,plant_sum_cap,name_of_water_source
2011,utility_id,utility_name,plant_code,plant_name,state,,,stack_id,flue_id,inservice_mm,inservice_yr,stack_flue_status,flue_height,area_at_top,exit_rate_100_pct,exit_rate_50_pct,exit_temp_100_pct,exit_temp_50_pct,exit_velocity_100_pct,exit_velocity_50_pct,exit_temp_summer,exit_temp_winter,exit_temp_source,,,,
2012,utility_id,utility_name,plant_code,plant_name,state,,,stack_id,flue_id,inservice_month,inservice_year,stack_flue_status,flue_height_feet,area_at_top_square_feet,exit_rate_100_cubic_feet_per_minute,exit_rate_50_cubic_feet_per_minute,exit_temperature_100_fahrenheit,exit_temperature_50_fahrenheit,exit_velocity_100_feet_per_second,exit_velocity_100_feet_per_second_1,exit_temperature_summer_fahrenheit,exit_temperature_winter_fahrenheit,exit_temperature_source,,,,
2013,utility_id,utility_name,plant_code,plant_name,state,,stack_or_flue_id,,,inservice_month,inservice_year,stack_flue_status,stack_height_feet,area_at_top_square_feet,exit_rate_100_cubic_feet_per_minute,exit_rate_50_cubic_feet_per_minute,exit_temperature_100_fahrenheit,exit_temperature_50_fahrenheit,exit_velocity_100_feet_per_second,exit_velocity_100_feet_per_second_1,exit_temperature_summer_fahrenheit,exit_temperature_winter_fahrenheit,exit_temperature_measured_or_estimated,,,,
2014,utility_id,utility_name,plant_code,plant_name,state,,stack_or_flue_id,,,inservice_month,inservice_year,stack_flue_status,stack_height_feet,area_at_top_square_feet,exit_rate_100_cubic_feet_per_minute,exit_rate_50_cubic_feet_per_minute,exit_temperature_100_fahrenheit,exit_temperature_50_fahrenheit,exit_velocity_100_feet_per_second,exit_velocity_100_feet_per_second_1,exit_temperature_summer_fahrenheit,exit_temperature_winter_fahrenheit,exit_temperature_measured_or_estimated,steam_plant_type,,,
2015,utility_id,utility_name,plant_code,plant_name,state,,stack_or_flue_id,,,inservice_month,inservice_year,stack_flue_status,stack_height_feet,area_at_top_square_feet,exit_rate_100_cubic_feet_per_minute,exit_rate_50_cubic_feet_per_minute,exit_temperature_100_fahrenheit,exit_temperature_50_fahrenheit,exit_velocity_100_feet_per_second,exit_velocity_100_feet_per_second_1,exit_temperature_summer_fahrenheit,exit_temperature_winter_fahrenheit,exit_temperature_measured_or_estimated,steam_plant_type,,,
2016,utility_id,utility_name,plant_code,plant_name,state,,stack_or_flue_id,,,inservice_month,inservice_year,stack_flue_status,stack_height_feet,area_at_top_square_feet,exit_rate_100_cubic_feet_per_minute,exit_rate_50_cubic_feet_per_minute,exit_temperature_100_fahrenheit,exit_temperature_50_fahrenheit,exit_velocity_100_feet_per_second,exit_velocity_100_feet_per_second_1,exit_temperature_summer_fahrenheit,exit_temperature_winter_fahrenheit,exit_temperature_measured_or_estimated,steam_plant_type,,,
2017,utility_id,utility_name,plant_code,plant_name,state,,stack_or_flue_id,,,inservice_month,inservice_year,stack_flue_status,stack_height_feet,area_at_top_square_feet,exit_rate_100_cubic_feet_per_minute,exit_rate_50_cubic_feet_per_minute,exit_temperature_100_fahrenheit,exit_temperature_50_fahrenheit,exit_velocity_100_feet_per_second,exit_velocity_100_feet_per_second_1,exit_temperature_summer_fahrenheit,exit_temperature_winter_fahrenheit,exit_temperature_measured_or_estimated,steam_plant_type,,,
2018,utility_id,utility_name,plant_code,plant_name,state,,stack_or_flue_id,,,inservice_month,inservice_year,stack_flue_status,stack_height_feet,area_at_top_square_feet,exit_rate_100_cubic_feet_per_minute,exit_rate_50_cubic_feet_per_minute,exit_temperature_100_fahrenheit,exit_temperature_50_fahrenheit,exit_velocity_100_feet_per_second,exit_velocity_50_feet_per_second,exit_temperature_summer_fahrenheit,exit_temperature_winter_fahrenheit,exit_temperature_measured_or_estimated,steam_plant_type,,,
2019,utility_id,utility_name,plant_code,plant_name,state,,stack_or_flue_id,,,inservice_month,inservice_year,stack_flue_status,stack_height_feet,area_at_top_square_feet,exit_rate_100_cubic_feet_per_minute,exit_rate_50_cubic_feet_per_minute,exit_temperature_100_fahrenheit,exit_temperature_50_fahrenheit,exit_velocity_100_feet_per_second,exit_velocity_50_feet_per_second,exit_temperature_summer_fahrenheit,exit_temperature_winter_fahrenheit,exit_temperature_measured_or_estimated,steam_plant_type,,,
2020,utility_id,utility_name,plant_code,plant_name,state,,stack_or_flue_id,,,inservice_month,inservice_year,stack_flue_status,stack_height_feet,area_at_top_square_feet,exit_rate_100_cubic_feet_per_minute,exit_rate_50_cubic_feet_per_minute,exit_temperature_100_fahrenheit,exit_temperature_50_fahrenheit,exit_velocity_100_feet_per_second,exit_velocity_50_feet_per_second,exit_temperature_summer_fahrenheit,exit_temperature_winter_fahrenheit,exit_temperature_measured_or_estimated,steam_plant_type,,,
2021,utility_id,utility_name,plant_code,plant_name,state,,stack_or_flue_id,,,inservice_month,inservice_year,stack_flue_status,stack_height_feet,area_at_top_square_feet,exit_rate_100_cubic_feet_per_minute,exit_rate_50_cubic_feet_per_minute,exit_temperature_100_fahrenheit,exit_temperature_50_fahrenheit,exit_velocity_100_feet_per_second,exit_velocity_50_feet_per_second,exit_temperature_summer_fahrenheit,exit_temperature_winter_fahrenheit,exit_temperature_measured_or_estimated,steam_plant_type,,,
