year_index,boiler_generator_assn,utility,ownership,plant,generator_existing,generator_proposed,generator_retired,generator,generator_solar_existing,generator_solar_retired,generator_wind_existing,generator_wind_retired,boiler_cooling,boiler_particulate,boiler_so2,boiler_nox,boiler_mercury,boiler_stack_flue,emissions_control_equipment,multifuel_existing,multifuel_proposed,multifuel_retired,boiler_info,emission_control_strategies,cooling_equipment,fgp_equipment,fgd_equipment,stack_flue_equipment,generator_energy_storage_existing,generator_energy_storage_proposed,generator_energy_storage_retired
2001,0,0,0,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
2002,0,0,0,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
2003,0,0,0,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
2004,0,0,0,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
2005,0,0,0,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
2006,0,0,0,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
2007,0,0,0,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
2008,0,0,0,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
2009,0,0,0,0,0,1,2,0,0,1,-1,-1,1,3,2,0,0,4,0,0,1,2,0,1,2,4,3,5,0,-1,0
2010,0,0,0,0,0,1,2,0,0,1,-1,-1,1,3,2,0,0,4,0,0,1,2,0,1,2,4,3,5,0,-1,0
2011,0,0,0,0,0,1,2,0,0,1,-1,-1,1,3,2,0,0,4,0,0,1,2,0,1,2,4,3,5,0,-1,0
2012,0,0,0,0,0,1,2,0,0,1,-1,-1,1,3,2,0,0,4,0,0,1,2,0,1,2,4,3,5,0,-1,0
2013,0,0,0,0,0,1,2,0,0,1,0,1,1,2,3,4,5,6,7,0,1,2,1,0,2,3,4,5,0,-1,0
2014,0,0,0,0,0,1,2,0,0,1,0,1,1,2,3,4,5,6,7,0,1,2,1,0,2,3,4,5,0,-1,0
2015,0,0,0,0,0,1,2,0,0,1,0,1,1,2,3,4,5,6,7,0,1,2,1,0,2,3,4,5,0,-1,0
2016,0,0,0,0,0,1,2,0,0,1,0,1,1,2,3,4,5,6,7,0,1,2,1,0,2,3,4,5,0,-1,1
2017,0,0,0,0,0,1,2,0,0,1,0,1,1,2,3,4,5,6,7,0,1,2,1,0,2,3,4,5,0,-1,1
2018,0,0,0,0,0,1,2,0,0,1,0,1,1,2,3,4,5,6,7,0,1,2,1,0,2,3,4,5,0,-1,1
2019,0,0,0,0,0,1,2,0,0,1,0,1,1,2,3,4,5,6,7,0,1,2,1,0,2,3,4,5,0,-1,1
2020,0,0,0,0,0,1,2,0,0,1,0,1,1,2,3,4,5,6,7,0,1,2,1,0,2,3,4,5,0,-1,1
2021,0,0,0,0,0,1,2,0,0,1,0,1,1,2,3,4,5,6,7,0,1,2,1,0,2,3,4,5,0,-1,1
2022,0,0,0,0,0,1,2,0,0,1,0,1,1,2,3,4,5,6,7,0,1,2,1,0,2,3,4,5,0,-1,1
2023,0,0,0,0,0,1,2,0,0,1,0,1,1,2,3,4,5,6,7,0,1,2,1,0,2,3,4,5,0,1,2
2024,0,0,0,0,0,1,2,0,0,1,0,1,1,2,3,4,5,6,7,0,1,2,1,0,2,3,4,5,0,1,2
