year_index,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
utility_id_eia,utilcode,utilcode,utilcode,utilcode,utilcode,utilcode,utilcode,utilcode,utility_id,utility_id,utility_id,utility_id,utility_id,utility_id,utility_id,utility_id,utility_id,utility_id,utility_id,utility_id
utility_name_eia,utilname,utilname,utilname,utilname,utilname,utilname,utilname,utilname,utility_name,utility_name,utility_name,utility_name,utility_name,utility_name,utility_name,utility_name,utility_name,utility_name,utility_name,utility_name
street_address,address3,address3,address3,address3,address3,address3,address3,address3,utility_street_address,utility_street_address,street_address,street_address,street_address,street_address,street_address,street_address,street_address,street_address,street_address,street_address
city,city,city,city,city,city,city,city,city,utility_city,utility_city,city,city,city,city,city,city,city,city,city,city
state,state,state,state,state,state,state,state,state,utility_state,utility_state,state,state,state,state,state,state,state,state,state,state
zip_code,zipcode,zipcode,zipcode,zipcode,zipcode,zipcode,zipcode,zipcode,utility_zip5,utility_zip5,zip5,zip,zip,zip,zip,zip,zip,zip,zip,zip
plants_reported_owner,,,,,,,,,,,,,owner,owner,owner_of_plants_reported_on_form,owner_of_plants_reported_on_form,owner_of_plants_reported_on_form,owner_of_plants_reported_on_form,owner_of_plants_reported_on_form,owner_of_plants_reported_on_form
plants_reported_operator,,,,,,,,,,,,,operator,operator,operator_of_plants_reported_on_form,operator_of_plants_reported_on_form,operator_of_plants_reported_on_form,operator_of_plants_reported_on_form,operator_of_plants_reported_on_form,operator_of_plants_reported_on_form
plants_reported_asset_manager,,,,,,,,,,,,,asset_manager,asset_manager,asset_manager_of_plants_reported_on_form,asset_manager_of_plants_reported_on_form,asset_manager_of_plants_reported_on_form,asset_manager_of_plants_reported_on_form,asset_manager_of_plants_reported_on_form,asset_manager_of_plants_reported_on_form
plants_reported_other_relationship,,,,,,,,,,,,,other_reltionships_with_plants_reported_on_form,other_relationships_with_plants_reported_on_form,other_relationships_with_plants_reported_on_form,other_relationships_with_plants_reported_on_form,other_relationships_with_plants_reported_on_form,other_relationships_with_plants_reported_on_form,other_relationships_with_plants_reported_on_form,other_relationships_with_plants_reported_on_form
regulated,type,type,type,,,,,,,,,,,,,,,,,
entity_type,ownertype,ownertype,ownertype,ownertype,ownertype,ownertype,,,,,,,entity_type,entity_type,entity_type,entity_type,entity_type,entity_type,entity_type,entity_type
attention_line,attn,attn,attn,attn,attn,attn,attn,attn,utility_attention_line,,,,,,,,,,,
address_2,address2,address2,address2,address2,address2,address2,address2,address2,utility_po_box_line,utility_street_address_2,,,,,,,,,,
address_3,address4,address4,address4,address4,,,,,,,,,,,,,,,,
zip_code_4,extzip,extzip,extzip,extzip,extzip,extzip,extzip,extzip,utility_zip4,utility_zip4,,,,,,,,,,
contact_firstname,contname,contname,cont1nme1,cont1nme1,cont1nme1,cont1nme1,cont1nme1,cont1nme1,contact_firstname,,,,,,,,,,,
contact_lastname,contnme2,contnme2,cont1nme2,cont1nme2,cont1nme2,cont1nme2,cont1nme2,cont1nme2,contact_name,,,,,,,,,,,
contact_title,conttitle,conttitle,conttitle,conttitle,conttitle,contitle,contitle,contitle,contact_title,,,,,,,,,,,
contact_firstname_2,cont2nme1,cont2nme1,cont2nme1,cont2nme1,cont2nme1,cont2nme1,cont2nme1,cont2nme1,contact_firstname2,,,,,,,,,,,
contact_lastname_2,cont2nme2,cont2nme2,cont2nme2,cont2nme2,cont2nme2,cont2nme2,cont2nme2,cont2nme2,contact_name2,,,,,,,,,,,
contact_title_2,contitle2,contitle2,contitle2,contitle2,contitle2,contitle2,contitle2,contitle2,contact_title2,,,,,,,,,,,
phone_number_first,areacode,areacode,areacode,areacode,area_code,area_code,,,,,,,,,,,,,,
phone_number_mid,phnexch,phnexch,phnexch,phnexch,phnexch,phnexch,,,,,,,,,,,,,,
phone_number_last,phnnum,phnnum,phnnum,phnnum,phnnum,phnnum,,,,,,,,,,,,,,
phone_extension,phnext,phnext,phnext,phnext,phnext,phnext,,,,,,,,,,,,,,
phone_number_first_2,areacde2,areacde2,areacde2,areacde2,areacde2,areacde2,,,,,,,,,,,,,,
phone_number_mid_2,phnexch2,phnexch2,phnexch2,phnexch2,phnexch2,phnexch2,,,,,,,,,,,,,,
phone_number_last_2,phnnum2,phnnum2,phnnum2,phnnum2,phnnum2,phnnum2,,,,,,,,,,,,,,
phone_extension_2,phnext2,phnext2,phnext2,phnext2,phnext2,phnext2,,,,,,,,,,,,,,
