year_index,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06
utility_id_eia,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id,entity_id
utility_name_eia,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name,entity_name
plant_id_eia,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id
plant_name_eia,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name,plant_name
state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state,plant_state
county,,,,,,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county
generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id,generator_id
prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code,prime_mover_code
unit_id_eia,,,,,,,,,,,,,,,,,,,,,,,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code,unit_code
operational_status_code,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status,status
