year_index,report_year,utility_id_eia,utility_name_eia,entity_type,short_form,state,balancing_authority_code_eia,residential_automated_meter_reading,commercial_automated_meter_reading,industrial_automated_meter_reading,transportation_automated_meter_reading,total_automated_meter_reading,residential_advanced_metering_infrastructure,commercial_advanced_metering_infrastructure,industrial_advanced_metering_infrastructure,transportation_advanced_metering_infrastructure,total_advanced_metering_infrastructure,residential_home_area_network,commercial_home_area_network,industrial_home_area_network,transportation_home_area_network,total_home_area_network,residential_non_amr_ami,commercial_non_amr_ami,industrial_non_amr_ami,transportation_non_amr_ami,total_non_amr_ami,residential_total_meters,commercial_total_meters,industrial_total_meters,transportation_total_meters,total_total_meters,residential_energy_served_ami_mwh,commercial_energy_served_ami_mwh,industrial_energy_served_ami_mwh,transportation_energy_served_ami_mwh,total_energy_served_ami_mwh,residential_daily_digital_access_customers,commercial_daily_digital_access_customers,industrial_daily_digital_access_customers,transportation_daily_digital_access_customers,total_daily_digital_access_customers,residential_direct_load_control_customers,commercial_direct_load_control_customers,industrial_direct_load_control_customers,transportation_direct_load_control_customers,total_direct_load_control_customers,early_release
2007,0,1,2,-1,3,4,-1,5,6,7,8,9,10,11,12,13,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,16,17,18,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2008,0,1,2,-1,3,4,-1,5,6,7,8,9,10,11,12,13,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,16,17,18,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2009,0,1,2,-1,3,4,-1,5,6,7,8,9,10,11,12,13,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,16,17,18,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2010,0,1,2,-1,3,4,-1,5,6,7,8,9,10,11,12,13,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,16,17,18,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2011,0,1,2,-1,3,4,-1,5,6,7,8,9,10,11,12,13,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,16,17,18,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2012,0,1,2,-1,3,4,-1,5,6,7,8,9,10,11,12,13,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,16,17,18,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2013,0,1,2,-1,3,4,-1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,-1
2014,0,1,2,-1,3,4,-1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,-1
2015,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,-1
2016,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,-1
2017,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,-1
2018,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,-1
2019,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,-1
2020,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,-1
2021,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,-1
2022,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,-1
2023,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,-1
2024,data_year,utility_number,utility_name,ownership,short_form,state,ba_code,residential,commercial,industrial,transportation,total,residential_1,commercial_1,industrial_1,transportation_1,total_1,residential_2,commercial_2,industrial_2,transportation_2,total_2,residential_3,commercial_3,industrial_3,transportation_3,total_3,residential_4,commercial_4,industrial_4,transportation_4,total_4,residential_5,commercial_5,industrial_5,transportation_5,total_5,residential_6,commercial_6,industrial_6,transportation_6,total_6,residential_7,commercial_7,industrial_7,transportation_7,total_7,
