year_index,report_year,utility_id_eia,utility_name_eia,short_form,state,balancing_authority_code_eia,residential_customers,commercial_customers,industrial_customers,transportation_customers,total_customers,residential_time_of_use_pricing,commercial_time_of_use_pricing,industrial_time_of_use_pricing,transportation_time_of_use_pricing,residential_real_time_pricing,commercial_real_time_pricing,industrial_real_time_pricing,transportation_real_time_pricing,residential_variable_peak_pricing,commercial_variable_peak_pricing,industrial_variable_peak_pricing,transportation_variable_peak_pricing,residential_critical_peak_pricing,commercial_critical_peak_pricing,industrial_critical_peak_pricing,transportation_critical_peak_pricing,residential_critical_peak_rebate,commercial_critical_peak_rebate,industrial_critical_peak_rebate,transportation_critical_peak_rebate,early_release
2013,0,1,2,-1,3,-1,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,-1
2014,0,1,2,-1,3,-1,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,-1
2015,0,1,2,-1,3,-1,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,-1
2016,0,1,2,-1,3,-1,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,-1
2017,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,-1
2018,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,-1
2019,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,-1
2020,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,-1
2021,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,-1
2022,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,-1
2023,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,-1
2024,data_year,utility_number,utility_name,short_form,state,ba_code,residential,commercial,industrial,transportation,total,residential_1,commercial_1,industrial_1,transportation_1,residential_2,commercial_2,industrial_2,transportation_2,residential_3,commercial_3,industrial_3,transportation_3,residential_4,commercial_4,industrial_4,transportation_4,residential_5,commercial_5,industrial_5,transportation_5,
