year_index,report_year,utility_id_eia,utility_name_eia,short_form,state,balancing_authority_code_eia,residential_incremental_energy_savings_mwh,commercial_incremental_energy_savings_mwh,industrial_incremental_energy_savings_mwh,transportation_incremental_energy_savings_mwh,total_incremental_energy_savings_mwh,residential_incremental_peak_reduction_mw,commercial_incremental_peak_reduction_mw,industrial_incremental_peak_reduction_mw,other_incremental_peak_reduction_mw,transportation_incremental_peak_reduction_mw,total_incremental_peak_reduction_mw,residential_incremental_life_cycle_energy_savings_mwh,commercial_incremental_life_cycle_energy_savings_mwh,industrial_incremental_life_cycle_energy_savings_mwh,transportation_incremental_life_cycle_energy_savings_mwh,total_incremental_life_cycle_energy_savings_mwh,residential_incremental_life_cycle_peak_reduction_mw,commercial_incremental_life_cycle_peak_reduction_mw,industrial_incremental_life_cycle_peak_reduction_mw,transportation_incremental_life_cycle_peak_reduction_mw,total_incremental_life_cycle_peak_reduction_mw,residential_customer_incentives_incremental_cost,commercial_customer_incentives_incremental_cost,industrial_customer_incentives_incremental_cost,transportation_customer_incentives_incremental_cost,total_customer_incentives_incremental_cost,residential_other_costs_incremental_cost,commercial_other_costs_incremental_cost,industrial_other_costs_incremental_cost,transportation_other_costs_incremental_cost,total_other_costs_incremental_cost,residential_customer_incentives_incremental_life_cycle_cost,commercial_customer_incentives_incremental_life_cycle_cost,industrial_customer_incentives_incremental_life_cycle_cost,transportation_customer_incentives_incremental_life_cycle_cost,total_customer_incentives_incremental_life_cycle_cost,residential_customer_other_costs_incremental_life_cycle_cost,commercial_customer_other_costs_incremental_life_cycle_cost,industrial_customer_other_costs_incremental_life_cycle_cost,transportation_customer_other_costs_incremental_life_cycle_cost,total_customer_other_costs_incremental_life_cycle_cost,residential_weighted_average_life_years,commercial_weighted_average_life_years,industrial_weighted_average_life_years,transportation_weighted_average_life_years,website,early_release
2013,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,-1,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,-1
2014,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,-1,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,-1
2015,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,-1,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,-1
2016,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,-1,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,-1
2017,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,-1,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,-1
2018,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,-1,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,-1
2019,0,1,2,3,4,5,6,7,8,9,10,11,12,13,-1,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,-1
2020,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,-1,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,-1
2021,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,-1,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,-1
2022,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,-1,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,-1
2023,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,-1,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,-1
2024,data_year,utility_number,utility_name,,state,ba_code,residential,commercial,industrial,transportation,total,residential_1,commercial_1,industrial_1,,transportation_1,total_1,residential_2,commercial_2,industrial_2,transportation_2,total_2,residential_3,commercial_3,industrial_3,transportation_3,total_3,residential_4,commercial_4,industrial_4,transportation_4,total_4,residential_5,commercial_5,industrial_5,transportation_5,total_5,residential_6,commercial_6,industrial_6,transportation_6,total_6,residential_7,commercial_7,industrial_7,transportation_7,total_7,residential_8,commercial_8,industrial_8,transportation_8,website,
