year_index,2016,2017,2018,2019,2020,2021
report_year,0,0,0,0,0,1
utility_id_eia,1,1,1,1,1,2
utility_name_eia,2,2,2,2,2,3
ownership_code,3,3,3,4,4,5
ownership,4,4,4,5,5,6
monthly,-1,5,5,6,6,7
short_form,5,6,6,3,3,4
advanced_metering,6,7,7,7,7,8
delivery_company,-1,-1,-1,-1,8,9
demand_response,7,8,8,8,9,10
distribution_systems,8,9,9,9,10,11
dynamic_pricing,9,10,10,10,11,12
energy_efficiency,10,11,11,11,12,13
mergers,11,12,12,12,13,14
net_metering,12,13,13,13,14,15
non_net_metering_distributed,13,14,14,14,15,16
operational_data,14,15,15,15,16,17
reliability,15,16,16,16,17,18
sales_to_ultimate_customers,16,17,17,17,18,19
service_territory,17,18,18,18,19,20
utility_data,18,19,19,19,20,21
