year_index,2016,2017,2018,2019,2020,2021
report_year,0,0,0,0,0,1
state,1,1,1,1,1,2
utility_id_eia,2,2,2,2,2,3
utility_name_eia,3,3,3,3,3,4
balancing_authority_code_eia,4,4,4,4,4,5
generators_number,5,5,5,5,5,6
total_capacity_mw,6,6,6,6,6,7
backup_capacity_mw,7,7,7,7,7,8
utility_owned_capacity_mw,8,8,8,8,8,9
pv_current_flow_type,9,9,9,9,9,10
residential_pv_capacity_mw,10,10,10,10,10,11
commercial_pv_capacity_mw,11,11,11,11,11,12
industrial_pv_capacity_mw,12,12,12,12,12,13
transportation_pv_capacity_mw,13,13,13,13,13,14
direct_connection_pv_capacity_mw,14,14,14,14,14,15
total_pv_capacity_mw,15,15,15,15,15,16
residential_all_storage_capacity_mw,16,16,16,16,16,17
commercial_all_storage_capacity_mw,17,17,17,17,17,18
industrial_all_storage_capacity_mw,18,18,18,18,18,19
transportation_all_storage_capacity_mw,19,19,19,19,19,20
direct_connection_all_storage_capacity_mw,20,20,20,20,20,21
total_all_storage_capacity_mw,21,21,21,21,21,22
residential_wind_capacity_mw,22,22,22,22,22,23
commercial_wind_capacity_mw,23,23,23,23,23,24
industrial_wind_capacity_mw,24,24,24,24,24,25
transportation_wind_capacity_mw,25,25,25,25,25,26
direct_connection_wind_capacity_mw,26,26,26,26,26,27
total_wind_capacity_mw,27,27,27,27,27,28
residential_hydro_capacity_mw,28,28,28,28,28,29
commercial_hydro_capacity_mw,29,29,29,29,29,30
industrial_hydro_capacity_mw,30,30,30,30,30,31
transportation_hydro_capacity_mw,31,31,31,31,31,32
direct_connection_hydro_capacity_mw,32,32,32,32,32,33
total_hydro_capacity_mw,33,33,33,33,33,34
residential_fuel_cell_capacity_mw,34,34,34,34,34,35
commercial_fuel_cell_capacity_mw,35,35,35,35,35,36
industrial_fuel_cell_capacity_mw,36,36,36,36,36,37
transportation_fuel_cell_capacity_mw,37,37,37,37,37,38
direct_connection_fuel_cell_capacity_mw,38,38,38,38,38,39
total_fuel_cell_capacity_mw,39,39,39,39,39,40
residential_internal_combustion_capacity_mw,40,40,40,40,40,41
commercial_internal_combustion_capacity_mw,41,41,41,41,41,42
industrial_internal_combustion_capacity_mw,42,42,42,42,42,43
transportation_internal_combustion_capacity_mw,43,43,43,43,43,44
direct_connection_internal_combustion_capacity_mw,44,44,44,44,44,45
total_internal_combustion_capacity_mw,45,45,45,45,45,46
residential_combustion_turbine_capacity_mw,46,46,46,46,46,47
commercial_combustion_turbine_capacity_mw,47,47,47,47,47,48
industrial_combustion_turbine_capacity_mw,48,48,48,48,48,49
transportation_combustion_turbine_capacity_mw,49,49,49,49,49,50
direct_connection_combustion_turbine_capacity_mw,50,50,50,50,50,51
total_combustion_turbine_capacity_mw,51,51,51,51,51,52
residential_steam_capacity_mw,52,52,52,52,52,53
commercial_steam_capacity_mw,53,53,53,53,53,54
industrial_steam_capacity_mw,54,54,54,54,54,55
transportation_steam_capacity_mw,55,55,55,55,55,56
direct_connection_steam_capacity_mw,56,56,56,56,56,57
total_steam_capacity_mw,57,57,57,57,57,58
residential_other_capacity_mw,58,58,58,58,58,59
commercial_other_capacity_mw,59,59,59,59,59,60
industrial_other_capacity_mw,60,60,60,60,60,61
transportation_other_capacity_mw,61,61,61,61,61,62
direct_connection_other_capacity_mw,62,62,62,62,62,63
total_other_capacity_mw,63,63,63,63,63,64
residential_total_capacity_mw,64,64,64,64,64,65
commercial_total_capacity_mw,65,65,65,65,65,66
industrial_total_capacity_mw,66,66,66,66,66,67
transportation_total_capacity_mw,67,67,67,67,67,68
direct_connection_total_capacity_mw,68,68,68,68,68,69
total_total_capacity_mw,69,69,69,69,69,70
early_release,-1,-1,-1,-1,-1,0
