year_index,report_year,utility_id_eia,utility_name_eia,short_form,state,entity_type,nerc_region,summer_peak_demand_mw,winter_peak_demand_mw,net_generation_mwh,wholesale_power_purchases_mwh,exchange_energy_received_mwh,exchange_energy_delivered_mwh,net_power_exchanged_mwh,wheeled_power_received_mwh,wheeled_power_delivered_mwh,net_wheeled_power_mwh,transmission_by_other_losses_mwh,total_sources_mwh,retail_sales_mwh,sales_for_resale_mwh,furnished_without_charge_mwh,consumed_by_respondent_without_charge_mwh,consumed_by_facility_mwh,total_energy_losses_mwh,total_disposition_mwh,retail_sales_revenue,unbundled_revenue,delivery_customers_revenue,sales_for_resale_revenue,credits_or_adjustments_revenue,transmission_revenue,other_revenue,total_revenue,data_observed,early_release
1999,-1,0,1,-1,2,4,5,34,35,40,-1,44,45,46,47,48,49,50,51,52,53,55,-1,-1,57,58,59,-1,-1,60,61,-1,62,63,-1,-1
2000,-1,0,1,-1,2,4,5,34,35,38,-1,40,41,42,43,43,43,46,47,48,49,50,-1,-1,52,53,54,-1,-1,55,56,-1,57,58,-1,-1
2001,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,-1,26,27,28,-1,29,30,31,-1
2002,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,-1,26,27,28,-1,29,30,31,-1
2003,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,-1,26,27,28,-1,29,30,31,-1
2004,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,-1,26,27,28,-1,29,30,31,-1
2005,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,-1,26,27,28,-1,29,30,31,-1
2006,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,-1,22,23,24,-1,25,26,27,-1,28,29,30,-1
2007,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,-1,22,23,24,25,-1,26,27,-1,28,29,30,-1
2008,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,-1,22,23,24,25,-1,26,27,-1,28,29,30,-1
2009,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,-1,22,23,24,25,-1,26,27,-1,28,29,30,-1
2010,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,-1,22,23,24,25,-1,26,27,28,29,30,31,-1
2011,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,-1,22,23,24,25,-1,26,27,28,29,30,31,-1
2012,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,-1,22,23,24,-1,25,26,27,28,29,30,31,-1
2013,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,-1,22,23,24,-1,25,26,27,28,29,30,31,-1
2014,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,-1,22,23,24,-1,25,26,27,28,29,30,31,-1
2015,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,-1,22,23,24,-1,25,26,27,28,29,30,31,-1
2016,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,-1,22,23,24,-1,25,26,27,28,29,30,31,-1
2017,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,-1,22,23,24,-1,25,26,27,28,29,30,31,-1
2018,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,-1,22,23,24,-1,25,26,27,28,29,30,31,-1
2019,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,-1,23,24,25,-1,26,27,28,29,30,31,32,-1
2020,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,-1,22,23,24,-1,25,26,27,28,29,30,31,-1
2021,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,-1,22,23,24,-1,25,26,27,28,29,30,31,-1
2022,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,-1,22,23,24,-1,25,26,27,28,29,30,31,-1
2023,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,-1,22,23,24,-1,25,26,27,28,29,30,31,-1
2024,data_year,utility_number,utility_name,,state,ownership_type,nerc_region,summer_peak_demand,winter_peak_demand,net_generation,wholesale_power_purchases,exchange_energy_received,exchange_energy_delivered,net_power_exchanged,wheeled_power_received,wheeled_power_delivered,net_wheeled_power,transmission_by_other_losses,total_sources,sales_to_ultimate_customers,sales_for_resale,furnished_without_charge,consumed_by_respondent_without_charge,,total_energy_losses,total_disposition,from_retail_sales,,from_delivery_customers,from_sales_for_resale,from_credits_or_adjustments,from_transmission,from_other,total,data_type_o_observed_i_imputed,
