year_index,report_year,utility_id_eia,utility_name_eia,state,entity_type,short_form,ieee_standard_saidi_w_major_event_days_minutes,ieee_standard_saidi_wo_major_event_days_minutes,ieee_standard_saidi_w_major_event_days_minus_loss_of_service_minutes,ieee_standard_saifi_w_major_event_days_customers,ieee_standard_caidi_w_major_event_days_minutes,ieee_standard_saifi_wo_major_event_days_customers,ieee_standard_caidi_wo_major_event_days_minutes,ieee_standard_saifi_w_major_event_days_minus_loss_of_service_customers,ieee_standard_caidi_w_major_event_days_minus_loss_of_service_minutes,ieee_standard_customers,ieee_standard_highest_distribution_voltage_kv,ieee_standard_outages_recorded_automatically,other_standard_saidi_w_major_event_days_minutes,other_standard_saidi_wo_major_event_days_minutes,other_standard_saifi_w_major_event_days_customers,other_standard_caidi_w_major_event_days_minutes,other_standard_saifi_wo_major_event_days_customers,other_standard_caidi_wo_major_event_days_minutes,other_standard_customers,other_standard_inactive_accounts_included,other_standard_momentary_interruption_definition,other_standard_highest_distribution_voltage_kv,other_standard_outages_recorded_automatically,early_release
2013,0,1,2,3,4,-1,5,8,11,6,7,9,10,12,13,14,15,16,17,20,18,19,21,22,23,24,25,26,27,-1
2014,0,1,2,3,4,-1,5,8,11,6,7,9,10,12,13,14,15,16,17,20,18,19,21,22,23,24,25,26,27,-1
2015,0,1,2,3,4,-1,5,8,11,6,7,9,10,12,13,14,15,16,17,20,18,19,21,22,23,24,25,26,27,-1
2016,0,1,2,3,4,-1,5,8,11,6,7,9,10,12,13,14,15,16,17,20,18,19,21,22,23,24,25,26,27,-1
2017,0,1,2,3,4,-1,5,8,11,6,7,9,10,12,13,14,15,16,17,20,18,19,21,22,23,24,25,26,27,-1
2018,0,1,2,3,4,-1,5,8,11,6,7,9,10,12,13,14,15,16,17,20,18,19,21,22,23,24,25,26,27,-1
2019,0,1,2,3,4,5,6,9,12,7,8,10,11,13,14,15,16,17,18,21,19,20,22,23,24,25,26,27,28,-1
2020,0,1,2,3,4,-1,5,8,11,6,7,9,10,12,13,14,15,16,17,20,18,19,21,22,23,24,25,26,27,-1
2021,0,1,2,3,4,-1,5,8,11,6,7,9,10,12,13,14,15,16,17,20,18,19,21,22,23,24,25,26,27,-1
2022,0,1,2,3,4,-1,5,8,11,6,7,9,10,12,13,14,15,16,17,20,18,19,21,22,23,24,25,26,27,-1
2023,0,1,2,3,4,-1,5,8,11,6,7,9,10,12,13,14,15,16,17,20,18,19,21,22,23,24,25,26,27,-1
2024,data_year,utility_number,utility_name,state,ownership,,saidi_minutes_per_year,saifi_times_per_year,caidi_minutes_per_interruption,saidi_minutes_per_year_1,saifi_times_per_year_1,caidi_minutes_per_interruption_1,saidi_minutes_per_year_2,saifi_times_per_year_2,caidi_minutes_per_interruption_2,number_of_customers,highest_dist_voltage,outages_recorded_automatically,saidi_minutes_per_year_3,saifi_times_per_year_3,caidi_with_med,saidi_minutes_per_year_4,saifi_times_per_year_4,caidi_without_med,number_of_customers_1,inactive_accounts_included,momentary_interruptions,highest_dist_voltage_1,outages_recorded_automatically_1,
