year_index,report_year,utility_id_eia,utility_name_eia,business_model,service_type,data_observed,state,entity_type,balancing_authority_code_eia,short_form,residential_sales_revenue,residential_sales_mwh,residential_customers,commercial_sales_revenue,commercial_sales_mwh,commercial_customers,industrial_sales_revenue,industrial_sales_mwh,industrial_customers,transportation_sales_revenue,transportation_sales_mwh,transportation_customers,other_sales_revenue,other_sales_mwh,other_customers,total_sales_revenue,total_sales_mwh,total_customers,early_release
1999,-1,0,1,-1,-1,-1,2,-1,-1,-1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,-1
2000,-1,0,1,-1,-1,-1,2,-1,-1,-1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,-1
2001,0,1,2,3,4,5,6,7,-1,-1,8,9,10,11,12,13,14,15,16,17,18,19,-1,-1,-1,20,21,22,-1
2002,0,1,2,3,4,5,6,7,-1,-1,8,9,10,11,12,13,14,15,16,17,18,19,-1,-1,-1,20,21,22,-1
2003,0,1,2,3,4,5,6,7,-1,-1,8,9,10,11,12,13,14,15,16,17,18,19,-1,-1,-1,20,21,22,-1
2004,0,1,2,3,4,5,6,7,-1,-1,8,9,10,11,12,13,14,15,16,17,18,19,-1,-1,-1,20,21,22,-1
2005,0,1,2,3,4,5,6,7,-1,-1,8,9,10,11,12,13,14,15,16,17,18,19,-1,-1,-1,20,21,22,-1
2006,0,1,2,3,4,5,6,7,-1,-1,8,9,10,11,12,13,14,15,16,17,18,19,-1,-1,-1,20,21,22,-1
2007,0,1,2,3,4,5,6,7,-1,-1,8,9,10,11,12,13,14,15,16,17,18,19,-1,-1,-1,20,21,22,-1
2008,0,1,2,3,4,5,6,7,-1,-1,8,9,10,11,12,13,14,15,16,17,18,19,-1,-1,-1,20,21,22,-1
2009,0,1,2,3,4,5,6,7,-1,-1,8,9,10,11,12,13,14,15,16,17,18,19,-1,-1,-1,20,21,22,-1
2010,0,1,2,3,4,5,6,7,-1,-1,8,9,10,11,12,13,14,15,16,17,18,19,-1,-1,-1,20,21,22,-1
2011,0,1,2,3,4,5,6,7,-1,-1,8,9,10,11,12,13,14,15,16,17,18,19,-1,-1,-1,20,21,22,-1
2012,0,1,2,3,4,5,6,7,-1,-1,8,9,10,11,12,13,14,15,16,17,18,19,-1,-1,-1,20,21,22,-1
2013,0,1,2,3,4,5,6,7,8,-1,9,10,11,12,13,14,15,16,17,18,19,20,-1,-1,-1,21,22,23,-1
2014,0,1,2,3,4,5,6,7,8,-1,9,10,11,12,13,14,15,16,17,18,19,20,-1,-1,-1,21,22,23,-1
2015,0,1,2,3,4,5,6,7,8,-1,9,10,11,12,13,14,15,16,17,18,19,20,-1,-1,-1,21,22,23,-1
2016,0,1,2,3,4,5,6,7,8,-1,9,10,11,12,13,14,15,16,17,18,19,20,-1,-1,-1,21,22,23,-1
2017,0,1,2,3,4,5,6,7,8,-1,9,10,11,12,13,14,15,16,17,18,19,20,-1,-1,-1,21,22,23,-1
2018,0,1,2,3,4,5,6,7,8,-1,9,10,11,12,13,14,15,16,17,18,19,20,-1,-1,-1,21,22,23,-1
2019,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,-1,-1,-1,22,23,24,-1
2020,0,1,2,3,4,5,6,7,8,-1,9,10,11,12,13,14,15,16,17,18,19,20,-1,-1,-1,21,22,23,-1
2021,0,1,2,3,4,5,6,7,8,-1,9,10,11,12,13,14,15,16,17,18,19,20,-1,-1,-1,21,22,23,-1
2022,0,1,2,3,4,5,6,7,8,-1,9,10,11,12,13,14,15,16,17,18,19,20,-1,-1,-1,21,22,23,-1
2023,0,1,2,3,4,5,6,7,8,-1,9,10,11,12,13,14,15,16,17,18,19,20,-1,-1,-1,21,22,23,-1
2024,data_year,utility_number,utility_name,part,service_type,data_type_o_observed_i_imputed,state,ownership,ba_code,,thousand_dollars,megawatthours,count,thousand_dollars_1,megawatthours_1,count_1,thousand_dollars_2,megawatthours_2,count_2,thousand_dollars_3,megawatthours_3,count_3,,,,thousand_dollars_4,megawatthours_4,count_4,
