year_index,report_year,utility_id_eia,utility_name_eia,short_form,state,county,early_release
1999,-1,0,1,-1,2,3,-1
2000,-1,0,1,-1,2,3,-1
2001,0,1,2,-1,3,4,-1
2002,0,1,2,-1,3,4,-1
2003,0,1,2,-1,3,4,-1
2004,0,1,2,-1,3,4,-1
2005,0,1,2,-1,3,4,-1
2006,0,1,2,-1,3,4,-1
2007,0,1,2,-1,3,4,-1
2008,0,1,2,-1,3,4,-1
2009,0,1,2,-1,3,4,-1
2010,0,1,2,-1,3,4,-1
2011,0,1,2,-1,3,4,-1
2012,0,1,2,-1,3,4,-1
2013,0,1,2,-1,3,4,-1
2014,0,1,2,-1,3,4,-1
2015,0,1,2,-1,3,4,-1
2016,0,1,2,-1,3,4,-1
2017,0,1,2,-1,3,4,-1
2018,0,1,2,-1,3,4,-1
2019,0,1,2,3,4,5,-1
2020,0,1,2,3,4,5,-1
2021,0,1,2,3,4,5,-1
2022,0,1,2,3,4,5,-1
2023,0,1,2,3,4,5,-1
2024,data_year,utility_number,utility_name,short_form,state,county,
