year_index,advanced_metering_infrastructure_eia861,balancing_authority_eia861,delivery_companies_eia861,demand_response_eia861,demand_side_management_eia861,distributed_generation_eia861,distribution_systems_eia861,dynamic_pricing_eia861,energy_efficiency_eia861,frame_eia861,green_pricing_eia861,mergers_eia861,net_metering_eia861,non_net_metering_eia861,operational_data_eia861,reliability_eia861,sales_eia861,service_territory_eia861,short_form_eia861,utility_data_eia861
1999,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,-1,-1
2000,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,-1,-1
2001,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,-1,-1
2002,-1,0,-1,-1,0,-1,-1,-1,-1,-1,0,-1,0,-1,0,-1,0,0,-1,-1
2003,-1,0,-1,-1,0,-1,-1,-1,-1,-1,0,-1,0,-1,0,-1,0,0,-1,-1
2004,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,-1,0,-1,0,-1,0,0,-1,-1
2005,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,-1,0,-1,0,-1,0,0,-1,-1
2006,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,-1,0,-1,0,-1,0,0,-1,-1
2007,0,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,-1,0,-1,0,0,-1,0
2008,0,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,-1,0,-1,0,0,-1,0
2009,0,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,-1,0,-1,0,0,-1,0
2010,0,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,-1,0,-1,0,0,-1,0
2011,0,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,-1,0,-1,0,0,-1,0
2012,0,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,-1,0,-1,0,0,0,0
2013,0,0,-1,0,-1,0,-1,0,1,-1,-1,0,0,-1,0,1,1,0,1,0
2014,0,0,-1,0,-1,0,-1,0,1,-1,-1,0,0,-1,0,1,1,0,1,0
2015,1,0,-1,0,-1,0,-1,0,1,-1,-1,0,0,-1,0,1,1,0,1,0
2016,1,0,-1,0,-1,-1,0,0,1,0,-1,0,1,1,0,1,1,0,1,0
2017,1,0,-1,0,-1,-1,0,0,1,0,-1,0,1,1,0,1,1,0,1,0
2018,1,0,-1,0,-1,-1,0,0,1,0,-1,0,1,1,0,1,1,0,1,0
2019,1,0,-1,0,-1,-1,0,0,1,0,-1,0,1,1,0,1,1,0,-1,0
2020,1,0,1,0,-1,-1,0,0,1,0,-1,0,1,1,0,1,1,0,1,0
2021,1,0,1,0,-1,-1,0,0,1,0,-1,0,1,1,0,1,1,0,1,0
2022,1,0,1,0,-1,-1,0,0,1,0,-1,0,1,1,0,1,1,0,1,0
2023,1,0,1,0,-1,-1,0,0,1,0,-1,0,1,1,0,1,1,0,1,0
2024,1,0,1,0,-1,-1,0,0,1,0,-1,0,1,1,0,1,1,0,1,0
