year_index,report_year,plant_id_eia,byproduct_description,disposal_landfill_units,disposal_ponds_units,disposal_offsite_units,sold_units,used_onsite_units,used_offsite_units,stored_onsite_units,stored_offsite_units,total_disposal_units,no_byproducts_to_report,early_release
2008,year,plant_id,by_product_description,disposal_landfill,disposal_ponds,disposal_offsite,sold,used_onsite,used_offsite,stored_onsite,stored_offsite,total,no_byproducts,
2009,year,plant_id,by_product_description,disposal_landfill,disposal_ponds,disposal_offsite,sold,used_onsite,used_offsite,stored_onsite,stored_offsite,total,no_byproducts,
2010,year,plant_id,by_product_description,disposal_landfill,disposal_ponds,disposal_offsite,sold,used_onsite,used_offsite,stored_onsite,stored_offsite,total,no_byproducts,
2011,year,plant_id,by_product_description,disposal_landfill,disposal_ponds,disposal_offsite,sold,used_onsite,used_offsite,stored_onsite,stored_offsite,total,no_byproducts,
2012,year,plant_id,by_product_description,disposal_landfill,disposal_ponds,disposal_offsite,sold,used_onsite,used_offsite,stored_onsite,stored_offsite,total,no_byproducts,
2013,year,plant_id,by_product_description,disposal_landfill_thousand_tons,disposal_ponds_thousand_tons,disposal_offsite_thousand_tons,sold_thousand_tons_or_for_steam_mmbtu,used_onsite_thousand_tons,used_offsite_thousand_tons,stored_onsite_thousand_tons,stored_offsite_thousand_tons,total_thousand_tons_or_for_steam_mmbtu,no_byproducts,
2014,year,plant_id,by_product_description,disposal_landfill_thousand_tons,disposal_ponds_thousand_tons,disposal_offsite_thousand_tons,sold_thousand_tons_or_for_steam_mmbtu,used_onsite_thousand_tons,used_offsite_thousand_tons,stored_onsite_thousand_tons,stored_offsite_thousand_tons,total_thousand_tons_or_for_steam_mmbtu,no_byproducts,
2015,year,plant_id,by_product_description,disposal_landfill,disposal_ponds,disposal_offsite,sold,used_onsite,used_offsite,stored_onsite,stored_offsite,total,no_byproducts,
2016,year,plant_id,by_product_description,disposal_landfill,disposal_ponds,disposal_offsite,sold,used_onsite,used_offsite,stored_onsite,stored_offsite,total,no_byproducts,
2017,year,plant_id,by_product_description,disposal_landfill,disposal_ponds,disposal_offsite,sold,used_onsite,used_offsite,stored_onsite,stored_offsite,total,no_byproducts,
2018,year,plant_id,by_product_description,disposal_landfill,disposal_ponds,disposal_offsite,sold,used_onsite,used_offsite,stored_onsite,stored_offsite,total,no_byproducts,
2019,year,plant_id,by_product_description,disposal_landfill,disposal_ponds,disposal_offsite,sold,used_onsite,used_offsite,stored_onsite,stored_offsite,total,no_byproducts,
2020,year,plant_id,by_product_description,disposal_landfill,disposal_ponds,disposal_offsite,sold,used_onsite,used_offsite,stored_onsite,stored_offsite,total,no_byproducts,
2021,year,plant_id,by_product_description,disposal_landfill,disposal_ponds,disposal_offsite,sold,used_onsite,used_offsite,stored_onsite,stored_offsite,total,no_byproducts,
2022,year,plant_id,by_product_description,disposal_landfill,disposal_ponds,disposal_offsite,sold,used_onsite,used_offsite,stored_onsite,stored_offsite,total,no_byproducts,
2023,year,plant_id,by_product_description,disposal_landfill,disposal_ponds,disposal_offsite,sold,used_onsite,used_offsite,stored_onsite,stored_offsite,total,no_byproducts,
2024,year,plant_id,by_product_description,disposal_landfill,disposal_ponds,disposal_offsite,sold,used_onsite,used_offsite,stored_onsite,stored_offsite,total,no_byproducts,
