year_index,report_year,plant_id_eia,opex_fly_ash_collection_1000_dollars,opex_bottom_ash_collection_1000_dollars,opex_fgd_byproduct_collection_1000_dollars,opex_water_abatement_collection_1000_dollars,opex_other_abatement_collection_1000_dollars,opex_total_collection_abatement_1000_dollars,opex_fly_ash_disposal_1000_dollars,opex_bottom_ash_disposal_1000_dollars,opex_fgd_byproduct_disposal_1000_dollars,opex_water_abatement_disposal_1000_dollars,opex_other_abatement_disposal_1000_dollars,opex_total_disposal_abatement_1000_dollars,opex_fly_ash_other_1000_dollars,opex_bottom_ash_other_1000_dollars,opex_fgd_byproduct_other_1000_dollars,opex_water_abatement_other_1000_dollars,opex_other_abatement_other_1000_dollars,opex_total_other_abatement_1000_dollars,capex_air_abatement_1000_dollars,capex_water_abatement_1000_dollars,capex_solid_waste_1000_dollars,capex_other_abatement_1000_dollars,revenues_fly_ash_1000_dollars,revenues_bottom_ash_1000_dollars,revenues_fly_bottom_ash_intermingled_1000_dollars,revenues_fgd_byproducts_1000_dollars,revenues_other_byproducts_1000_dollars,revenues_total_byproduct_1000_dollars,early_release
2008,year,plant_id,fly_ash_collection_o_m_expense,bottom_ash_collection_o_m_expense,fgd_byproduct_collection_o_m_expense,water_abatement_collection_o_m_expense,other_abatement_collection_o_m_expense,total_collection_abatement_o_m_expense,fly_ash_disposal_o_m_expense,bottom_ash_disposal_o_m_expense,fgd_byproduct_disposal_o_m_expense,water_abatement_disposal_o_m_expense,other_abatement_disposal_o_m_expense,total_disposal_abatement_o_m_expense,fly_ash_other_o_m_expense,bottom_ash_other_o_m_expense,fgd_byproduct_other_o_m_expense,water_abatement_other_o_m_expense,other_abatement_other_o_m_expense,total_other_o_m_expense,air_abatement_capital_expenditures,water_abatement_capital_expenditures,solid_waste_capital_expenditures,other_abatement_capital_expenditures,fly_ash_revenues,bottom_ash_revenues,fly_bottom_ash_intermingled_revenues,fgd_byproducts_revenues,other_byproducts_revenues,total_revenues,
2009,year,plant_id,fly_ash_collection_o_m_expense,bottom_ash_collection_o_m_expense,fgd_byproduct_collection_o_m_expense,water_abatement_collection_o_m_expense,other_abatement_collection_o_m_expense,total_collection_abatement_o_m_expense,fly_ash_disposal_o_m_expense,bottom_ash_disposal_o_m_expense,fgd_byproduct_disposal_o_m_expense,water_abatement_disposal_o_m_expense,other_abatement_disposal_o_m_expense,total_disposal_abatement_o_m_expense,fly_ash_other_o_m_expense,bottom_ash_other_o_m_expense,fgd_byproduct_other_o_m_expense,water_abatement_other_o_m_expense,other_abatement_other_o_m_expense,total_other_o_m_expense,air_abatement_capital_expenditures,water_abatement_capital_expenditures,solid_waste_capital_expenditures,other_abatement_capital_expenditures,fly_ash_revenues,bottom_ash_revenues,fly_bottom_ash_intermingled_revenues,fgd_byproducts_revenues,other_byproducts_revenues,total_revenues,unnamed_30
2010,year,plant_id,fly_ash_collection_o_m_expense,bottom_ash_collection_o_m_expense,fgd_byproduct_collection_o_m_expense,water_abatement_collection_o_m_expense,other_abatement_collection_o_m_expense,total_collection_abatement_o_m_expense,fly_ash_disposal_o_m_expense,bottom_ash_disposal_o_m_expense,fgd_byproduct_disposal_o_m_expense,water_abatement_disposal_o_m_expense,other_abatement_disposal_o_m_expense,total_disposal_abatement_o_m_expense,fly_ash_other_o_m_expense,bottom_ash_other_o_m_expense,fgd_byproduct_other_o_m_expense,water_abatement_other_o_m_expense,other_abatement_other_o_m_expense,total_other_o_m_expense,air_abatement_capital_expenditures,water_abatement_capital_expenditures,solid_waste_capital_expenditures,other_abatement_capital_expenditures,fly_ash_revenues,bottom_ash_revenues,fly_bottom_ash_intermingled_revenues,fgd_byproducts_revenues,other_byproducts_revenues,total_revenues,
2011,year,plant_id,fly_ash_collection_o_and_m_expense,bottom_ash_collection_o_and_m_expense,fgd_byproduct_collection_o_and_m_expense,water_abatement_collection_o_and_m_expense,other_abatement_collection_o_and_m_expense,total_collection_abatement_o_and_m_expense,fly_ash_disposal_o_and_m_expense,bottom_ash_disposal_o_and_m_expense,fgd_byproduct_disposal_o_and_m_expense,water_abatement_disposal_o_and_m_expense,other_abatement_disposal_o_and_m_expense,total_disposal_abatement_o_and_m_expense,fly_ash_other_o_and_m_expense,bottom_ash_other_o_and_m_expense,fgd_byproduct_other_o_and_m_expense,water_abatement_other_o_and_m_expense,other_abatement_other_o_and_m_expense,total_other_o_and_m_expense,air_abatement_capital_expenditures,water_abatement_capital_expenditures,solid_waste_capital_expenditures,other_abatement_capital_expenditures,fly_ash_revenues,bottom_ash_revenues,fly_bottom_ash_intermingled_revenues,fgd_byproducts_revenues,other_byproducts_revenues,total_revenues,
2012,year,plant_id,fly_ash_collection_o_and_m_expense,bottom_ash_collection_o_and_m_expense,fgd_byproduct_collection_o_and_m_expense,water_abatement_collection_o_and_m_expense,other_abatement_collection_o_and_m_expense,total_collection_abatement_o_and_m_expense,fly_ash_disposal_o_and_m_expense,bottom_ash_disposal_o_and_m_expense,fgd_byproduct_disposal_o_and_m_expense,water_abatement_disposal_o_and_m_expense,other_abatement_disposal_o_and_m_expense,total_disposal_abatement_o_and_m_expense,fly_ash_other_o_and_m_expense,bottom_ash_other_o_and_m_expense,fgd_byproduct_other_o_and_m_expense,water_abatement_other_o_and_m_expense,other_abatement_other_o_and_m_expense,total_other_o_and_m_expense,air_abatement_capital_expenditures,water_abatement_capital_expenditures,solid_waste_capital_expenditures,other_abatement_capital_expenditures,fly_ash_revenues,bottom_ash_revenues,fly_bottom_ash_intermingled_revenues,fgd_byproducts_revenues,other_byproducts_revenues,total_revenues,
2013,year,plant_id,fly_ash_collection_o_and_m_expense_thousand_dollars,bottom_ash_collection_o_and_m_expense_thousand_dollars,fgd_byproduct_collection_o_and_m_expense_thousand_dollars,water_abatement_collection_o_and_m_expense_thousand_dollars,other_abatement_collection_o_and_m_expense_thousand_dollars,total_collection_abatement_o_and_m_expense_thousand_dollars,fly_ash_disposal_o_and_m_expense_thousand_dollars,bottom_ash_disposal_o_and_m_expense_thousand_dollars,fgd_byproduct_disposal_o_and_m_expense_thousand_dollars,water_abatement_disposal_o_and_m_expense_thousand_dollars,other_abatement_disposal_o_and_m_expense_thousand_dollars,total_disposal_abatement_o_and_m_expense_thousand_dollars,fly_ash_other_o_and_m_expense_thousand_dollars,bottom_ash_other_o_and_m_expense_thousand_dollars,fgd_byproduct_other_o_and_m_expense_thousand_dollars,water_abatement_other_o_and_m_expense_thousand_dollars,other_abatement_other_o_and_m_expense_thousand_dollars,total_other_o_and_m_expense_thousand_dollars,air_abatement_capital_expenditures_thousand_dollars,water_abatement_capital_expenditures_thousand_dollars,solid_waste_capital_expenditures_thousand_dollars,other_abatement_capital_expenditures_thousand_dollars,fly_ash_revenues_thousand_dollars,bottom_ash_revenues_thousand_dollars,fly_bottom_ash_intermingled_revenues_thousand_dollars,fgd_byproducts_revenues_thousand_dollars,other_byproducts_revenues_thousand_dollars,total_revenues_thousand_dollars,
2014,year,plant_id,fly_ash_collection_o_and_m_expense_thousand_dollars,bottom_ash_collection_o_and_m_expense_thousand_dollars,fgd_byproduct_collection_o_and_m_expense_thousand_dollars,water_abatement_collection_o_and_m_expense_thousand_dollars,other_abatement_collection_o_and_m_expense_thousand_dollars,total_collection_abatement_o_and_m_expense_thousand_dollars,fly_ash_disposal_o_and_m_expense_thousand_dollars,bottom_ash_disposal_o_and_m_expense_thousand_dollars,fgd_byproduct_disposal_o_and_m_expense_thousand_dollars,water_abatement_disposal_o_and_m_expense_thousand_dollars,other_abatement_disposal_o_and_m_expense_thousand_dollars,total_disposal_abatement_o_and_m_expense_thousand_dollars,fly_ash_other_o_and_m_expense_thousand_dollars,bottom_ash_other_o_and_m_expense_thousand_dollars,fgd_byproduct_other_o_and_m_expense_thousand_dollars,water_abatement_other_o_and_m_expense_thousand_dollars,other_abatement_other_o_and_m_expense_thousand_dollars,total_other_o_and_m_expense_thousand_dollars,air_abatement_capital_expenditures_thousand_dollars,water_abatement_capital_expenditures_thousand_dollars,solid_waste_capital_expenditures_thousand_dollars,other_abatement_capital_expenditures_thousand_dollars,fly_ash_revenues_thousand_dollars,bottom_ash_revenues_thousand_dollars,fly_bottom_ash_intermingled_revenues_thousand_dollars,fgd_byproducts_revenues_thousand_dollars,other_byproducts_revenues_thousand_dollars,total_revenues_thousand_dollars,
2015,year,plant_id,fly_ash_collection_o_and_m_expense,bottom_ash_collection_o_and_m_expense,fgd_byproduct_collection_o_and_m_expense,water_abatement_collection_o_and_m_expense,other_abatement_collection_o_and_m_expense,total_collection_abatement_o_and_m_expense,fly_ash_disposal_o_and_m_expense,bottom_ash_disposal_o_and_m_expense,fgd_byproduct_disposal_o_and_m_expense,water_abatement_disposal_o_and_m_expense,other_abatement_disposal_o_and_m_expense,total_disposal_abatement_o_and_m_expense,fly_ash_other_o_and_m_expense,bottom_ash_other_o_and_m_expense,fgd_byproduct_other_o_and_m_expense,water_abatement_other_o_and_m_expense,other_abatement_other_o_and_m_expense,total_other_o_and_m_expense,air_abatement_capital_expenditures,water_abatement_capital_expenditures,solid_waste_capital_expenditures,other_abatement_capital_expenditures,fly_ash_revenues,bottom_ash_revenues,fly_bottom_ash_intermingled_revenues,fgd_byproducts_revenues,other_byproducts_revenues,total_revenues,
2016,year,plant_id,fly_ash_collection_o_and_m_expense,bottom_ash_collection_o_and_m_expense,fgd_byproduct_collection_o_and_m_expense,water_abatement_collection_o_and_m_expense,other_abatement_collection_o_and_m_expense,total_collection_abatement_o_and_m_expense,fly_ash_disposal_o_and_m_expense,bottom_ash_disposal_o_and_m_expense,fgd_byproduct_disposal_o_and_m_expense,water_abatement_disposal_o_and_m_expense,other_abatement_disposal_o_and_m_expense,total_disposal_abatement_o_and_m_expense,fly_ash_other_o_and_m_expense,bottom_ash_other_o_and_m_expense,fgd_byproduct_other_o_and_m_expense,water_abatement_other_o_and_m_expense,other_abatement_other_o_and_m_expense,total_other_o_and_m_expense,air_abatement_capital_expenditures,water_abatement_capital_expenditures,solid_waste_capital_expenditures,other_abatement_capital_expenditures,fly_ash_revenues,bottom_ash_revenues,fly_bottom_ash_intermingled_revenues,fgd_byproducts_revenues,other_byproducts_revenues,total_revenues,
2017,year,plant_id,fly_ash_collection_o_and_m_expense,bottom_ash_collection_o_and_m_expense,fgd_byproduct_collection_o_and_m_expense,water_abatement_collection_o_and_m_expense,other_abatement_collection_o_and_m_expense,total_collection_abatement_o_and_m_expense,fly_ash_disposal_o_and_m_expense,bottom_ash_disposal_o_and_m_expense,fgd_byproduct_disposal_o_and_m_expense,water_abatement_disposal_o_and_m_expense,other_abatement_disposal_o_and_m_expense,total_disposal_abatement_o_and_m_expense,fly_ash_other_o_and_m_expense,bottom_ash_other_o_and_m_expense,fgd_byproduct_other_o_and_m_expense,water_abatement_other_o_and_m_expense,other_abatement_other_o_and_m_expense,total_other_o_and_m_expense,air_abatement_capital_expenditures,water_abatement_capital_expenditures,solid_waste_capital_expenditures,other_abatement_capital_expenditures,fly_ash_revenues,bottom_ash_revenues,fly_bottom_ash_intermingled_revenues,fgd_byproducts_revenues,other_byproducts_revenues,total_revenues,
