year_index,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
report_year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year
report_month,,,month,month,month,month,month,month,month,month,month,month,month,month,month
plant_id_eia,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id,plant_id
cooling_id_eia,cooling_system_id,cooling_system_id,cooling_system_id,cooling_system_id,cooling_system_id,cooling_system_id,cooling_system_id,cooling_system_id,cooling_system_id,cooling_system_id,cooling_system_id,cooling_system_id,cooling_system_id,cooling_system_id,cooling_system_id
cooling_type,,,,,type_of_cooling_system,type_of_cooling_system,type_of_cooling_system,type_of_cooling_system,type_of_cooling_system,type_of_cooling_system,type_of_cooling_system,type_of_cooling_system,type_of_cooling_system,type_of_cooling_system,type_of_cooling_system
cooling_status,cooling_system_status,cooling_system_status,cooling_system_status,cooling_system_status,cooling_system_status,cooling_system_status,cooling_system_status,cooling_system_status,cooling_system_status,cooling_system_status,cooling_system_status,cooling_system_status,cooling_system_status,cooling_system_status,cooling_system_status
cooling_hours_in_service,,,hours_in_service,hours_in_service,hours_in_service,hours_in_service,hours_in_service,hours_in_service,hours_in_service,hours_in_service,hours_in_service,hours_in_service,hours_in_service,hours_in_service,hours_in_service
chlorine_monthly_1000_lbs,,,chlorine,chlorine,chlorine_thousand_lbs,chlorine_thousand_lbs,chlorine_thousand_lbs,chlorine_thousand_lbs,chlorine_thousand_lbs,chlorine_thousand_lbs,chlorine_thousand_lbs,chlorine_thousand_lbs,chlorine_thousand_lbs,chlorine_thousand_lbs,chlorine_thousand_lbs
diversion_rate_gallons_per_minute,,,diversion_rate,diversion_rate,diversion_rate_gallons_per_minute,diversion_rate_gallons_per_minute,diversion_rate_gallons_per_minute,diversion_rate_gallons_per_minute,diversion_rate_gallons_per_minute,diversion_rate_gallons_per_minute,diversion_rate_gallons_per_minute,diversion_rate_gallons_per_minute,diversion_rate_gallons_per_minute,diversion_rate_gallons_per_minute,diversion_rate_gallons_per_minute
withdrawal_rate_gallons_per_minute,,,withdrawal_rate,withdrawal_rate,withdrawal_rate_gallons_per_minute,withdrawal_rate_gallons_per_minute,withdrawal_rate_gallons_per_minute,withdrawal_rate_gallons_per_minute,withdrawal_rate_gallons_per_minute,withdrawal_rate_gallons_per_minute,withdrawal_rate_gallons_per_minute,withdrawal_rate_gallons_per_minute,withdrawal_rate_gallons_per_minute,withdrawal_rate_gallons_per_minute,withdrawal_rate_gallons_per_minute
discharge_rate_gallons_per_minute,,,discharge_rate,discharge_rate,discharge_rate_gallons_per_minute,discharge_rate_gallons_per_minute,discharge_rate_gallons_per_minute,discharge_rate_gallons_per_minute,discharge_rate_gallons_per_minute,discharge_rate_gallons_per_minute,discharge_rate_gallons_per_minute,discharge_rate_gallons_per_minute,discharge_rate_gallons_per_minute,discharge_rate_gallons_per_minute,discharge_rate_gallons_per_minute
