year_index,report_year,plant_id_eia,environmental_equipment_name,particulate_control_id_eia,so2_control_id_eia,nox_control_id_eia,mercury_control_id_eia,operational_status,hours_in_service,annual_nox_emission_rate_lb_per_mmbtu,ozone_season_nox_emission_rate_lb_per_mmbtu,particulate_emission_rate_lb_per_mmbtu,particulate_removal_efficiency_annual,particulate_removal_efficiency_100pct_load,particulate_test_date,so2_removal_efficiency_annual,so2_removal_efficiency_100pct_load,so2_test_date,fgd_sorbent_consumption_1000_tons,fgd_electricity_consumption_mwh,mercury_removal_efficiency,mercury_emission_rate_lb_per_trillion_btu,acid_gas_removal_efficiency,early_release
2012,year,plant_id,name_of_environmental_equipment_or_technology_type,pm_control_id,so2_control_id,nox_control_id,mercury_control,status,hours_in_service,nox_emission_rate_entire_year_lbs_mmbtu,nox_emission_rate_may_through_september_lbs_mmbtu,pm_emissions_rate_lbs_mmbtu,pm_removal_efficiency_rate_at_annual_operating_factor,pm_tested_efficiency_removal_at_100_load,pm_test_date,so2_removal_efficiency_rate_at_annual_operating_factor,so2_tested_efficiency_removal_at_100_load,so2_test_date,fgd_sorbent_quantity_thousand_tons,fgd_electricity_consumption_megawatthours,mercury_removal_efficiency,,acid_gas_removal_efficiency,
2013,year,plant_id,name_of_environmental_equipment_or_technology_type,pm_control_id,so2_control_id,nox_control_id,mercury_control,status,hours_in_service,nox_emission_rate_entire_year_lbs_mmbtu,nox_emission_rate_may_through_september_lbs_mmbtu,pm_emissions_rate_lbs_mmbtu,pm_removal_efficiency_rate_at_annual_operating_factor,pm_tested_efficiency_removal_at_100_load,pm_test_date,so2_removal_efficiency_rate_at_annual_operating_factor,so2_tested_efficiency_removal_at_100_load,so2_test_date,fgd_sorbent_quantity_thousand_tons,fgd_electricity_consumption_megawatthours,mercury_removal_efficiency,,acid_gas_removal_efficiency,
2014,year,plant_id,name_of_environmental_equipment_or_technology_type,pm_control_id,so2_control_id,nox_control_id,mercury_control,status,hours_in_service,nox_emission_rate_entire_year_lbs_mmbtu,nox_emission_rate_may_through_september_lbs_mmbtu,pm_emissions_rate_lbs_mmbtu,pm_removal_efficiency_rate_at_annual_operating_factor,pm_tested_efficiency_removal_at_100_load,pm_test_date,so2_removal_efficiency_rate_at_annual_operating_factor,so2_tested_efficiency_removal_at_100_load,so2_test_date,fgd_sorbent_quantity_thousand_tons,fgd_electricity_consumption_megawatthours,mercury_removal_efficiency,,acid_gas_removal_efficiency,
2015,year,plant_id,name_of_environmental_equipment_or_technology_type,pm_control_id,so2_control_id,nox_control_id,mercury_control,status,hours_in_service,nox_emission_rate_entire_year_lbs_mmbtu,nox_emission_rate_may_through_september_lbs_mmbtu,pm_emissions_rate_lbs_mmbtu,pm_removal_efficiency_rate_at_annual_operating_factor,pm_tested_efficiency_removal_at_100_load,pm_test_date,so2_removal_efficiency_rate_at_annual_operating_factor,so2_tested_efficiency_removal_at_100_load,so2_test_date,fgd_sorbent_quantity_thousand_tons,fgd_electricity_consumption_megawatthours,mercury_removal_efficiency,,acid_gas_removal_efficiency,
2016,year,plant_id,name_of_environmental_equipment_or_technology_type,pm_control_id,so2_control_id,nox_control_id,mercury_control,status,hours_in_service,nox_emission_rate_entire_year_lbs_mmbtu,nox_emission_rate_may_through_september_lbs_mmbtu,pm_emissions_rate_lbs_mmbtu,pm_removal_efficiency_rate_at_annual_operating_factor,pm_tested_efficiency_removal_at_100_load,pm_test_date,so2_removal_efficiency_rate_at_annual_operating_factor,so2_tested_efficiency_removal_at_100_load,so2_test_date,fgd_sorbent_quantity_thousand_tons,fgd_electricity_consumption_megawatthours,mercury_removal_efficiency,mercury_emission_rate,acid_gas_removal_efficiency,
2017,year,plant_id,name_of_environmental_equipment_or_technology_type,pm_control_id,so2_control_id,nox_control_id,mercury_control,status,hours_in_service,nox_emission_rate_entire_year_lbs_mmbtu,nox_emission_rate_may_through_september_lbs_mmbtu,pm_emissions_rate_lbs_mmbtu,pm_removal_efficiency_rate_at_annual_operating_factor,pm_tested_efficiency_removal_at_100_load,pm_test_date,so2_removal_efficiency_rate_at_annual_operating_factor,so2_tested_efficiency_removal_at_100_load,so2_test_date,fgd_sorbent_quantity_thousand_tons,fgd_electricity_consumption_megawatthours,mercury_removal_efficiency,mercury_emission_rate,acid_gas_removal_efficiency,
2018,year,plant_id,name_of_environmental_equipment_or_technology_type,pm_control_id,so2_control_id,nox_control_id,mercury_control,status,hours_in_service,nox_emission_rate_entire_year_lbs_mmbtu,nox_emission_rate_may_through_september_lbs_mmbtu,pm_emissions_rate_lbs_mmbtu,pm_removal_efficiency_rate_at_annual_operating_factor,pm_tested_efficiency_removal_at_100_load,pm_test_date,so2_removal_efficiency_rate_at_annual_operating_factor,so2_tested_efficiency_removal_at_100_load,so2_test_date,fgd_sorbent_quantity_thousand_tons,fgd_electricity_consumption_megawatthours,mercury_removal_efficiency,mercury_emission_rate,acid_gas_removal_efficiency,
2019,year,plant_id,name_of_environmental_equipment_or_technology_type,pm_control_id,so2_control_id,nox_control_id,mercury_control,status,hours_in_service,nox_emission_rate_entire_year_lbs_mmbtu,nox_emission_rate_may_through_september_lbs_mmbtu,pm_emissions_rate_lbs_mmbtu,pm_removal_efficiency_rate_at_annual_operating_factor,pm_tested_efficiency_removal_at_100_load,pm_test_date,so2_removal_efficiency_rate_at_annual_operating_factor,so2_tested_efficiency_removal_at_100_load,so2_test_date,fgd_sorbent_quantity_thousand_tons,fgd_electricity_consumption_megawatthours,mercury_removal_efficiency,mercury_emission_rate,acid_gas_removal_efficiency,
2020,year,plant_id,name_of_environmental_equipment_or_technology_type,pm_control_id,so2_control_id,nox_control_id,mercury_control,status,hours_in_service,nox_emission_rate_entire_year_lbs_mmbtu,nox_emission_rate_may_through_september_lbs_mmbtu,pm_emissions_rate_lbs_mmbtu,pm_removal_efficiency_rate_at_annual_operating_factor,pm_tested_efficiency_removal_at_100_load,pm_test_date,so2_removal_efficiency_rate_at_annual_operating_factor,so2_tested_efficiency_removal_at_100_load,so2_test_date,fgd_sorbent_quantity_thousand_tons,fgd_electricity_consumption_megawatthours,mercury_removal_efficiency,mercury_emission_rate,acid_gas_removal_efficiency,
2021,year,plant_id,name_of_environmental_equipment_or_technology_type,pm_control_id,so2_control_id,nox_control_id,mercury_control,status,hours_in_service,nox_emission_rate_entire_year_lbs_mmbtu,nox_emission_rate_may_through_september_lbs_mmbtu,pm_emissions_rate_lbs_mmbtu,pm_removal_efficiency_rate_at_annual_operating_factor,pm_tested_efficiency_removal_at_100_load,pm_test_date,so2_removal_efficiency_rate_at_annual_operating_factor,so2_tested_efficiency_removal_at_100_load,so2_test_date,fgd_sorbent_quantity_thousand_tons,fgd_electricity_consumption_megawatthours,mercury_removal_efficiency,mercury_emission_rate,acid_gas_removal_efficiency,
