year_index,report_year,plant_id_eia,so2_control_id_eia,opex_fgd_feed_materials_chemical_1000_dollars,opex_fgd_labor_supervision_1000_dollars,opex_fgd_land_acquisition_1000_dollars,opex_fgd_waste_disposal_1000_dollars,opex_fgd_maintenance_material_other_1000_dollars,opex_fgd_total_cost_1000_dollars,fgd_control_flag,fgd_operational_status_code,fgd_hours_in_service,fgd_sorbent_consumption_1000_tons,fgd_electricity_consumption_mwh,so2_removal_efficiency_annual,so2_removal_efficiency_tested,so2_test_date,early_release
2008,year,plant_id,fgd_id,feed_material_chemicals,,land_acquisition,waste_disposal,maintenance_material_other,total_o_m,no_fgd_control,fgd_unit_status,fgd_hours_in_service,quantity_of_sorbent,electric_energy_consumption,efficiency_at_annual_operating_factor,tested_efficiency_at_100_load,date_of_latest_efficiency_test,
2009,year,plant_id,fgd_id,feed_material_chemicals,labor_and_supervision,,waste_disposal,maintenance_material_other,total_o_m,no_fgd_control,fgd_unit_status,fgd_hours_in_service,quantity_of_sorbent,electric_energy_consumption,efficiency_at_annual_operating_factor,tested_efficiency_at_100_load,date_of_latest_efficiency_test,
2010,year,plant_id,fgd_id,feed_material_chemicals,labor_and_supervision,,waste_disposal,maintenance_material_other,total_o_m,no_fgd_control,fgd_unit_status,fgd_hours_in_service,quantity_of_sorbent,electric_energy_consumption,efficiency_at_annual_operating_factor,tested_efficiency_at_100_load,date_of_latest_efficiency_test,
2011,year,plant_id,fgd_id,feed_material_chemicals,labor_and_supervision,,waste_disposal,maintenance_material_other,total_o_and_m,no_fgd_control,fgd_unit_status,fgd_hours_in_service,quantity_of_sorbent,electric_energy_consumption,efficiency_at_annual_operating_factor,tested_efficiency_at_100_load,date_of_latest_efficiency_test,
2012,year,plant_id,fgd_unit_id,fgd_feed_materials_and_chemicals_costs_thousand_dollars,fgd_labor_and_supervision_costs_thousand_dollars,,fgd_waste_disposal_costs_thousand_dollars,fgd_maintenance_material_and_other_costs_thousand_dollars,total_thousand_dollars,,,,,,,,,
2013,year,plant_id,fgd_unit_id,fgd_feed_materials_and_chemicals_costs_thousand_dollars,fgd_labor_and_supervision_costs_thousand_dollars,,fgd_waste_disposal_costs_thousand_dollars,fgd_maintenance_material_and_other_costs_thousand_dollars,total_thousand_dollars,,,,,,,,,
2014,year,plant_id,fgd_unit_id,fgd_feed_materials_and_chemicals_costs_thousand_dollars,fgd_labor_and_supervision_costs_thousand_dollars,,fgd_waste_disposal_costs_thousand_dollars,fgd_maintenance_material_and_other_costs_thousand_dollars,total_thousand_dollars,,,,,,,,,
2015,year,plant_id,fgd_unit_id,fgd_feed_materials_and_chemicals_costs_thousand_dollars,fgd_labor_and_supervision_costs_thousand_dollars,,fgd_waste_disposal_costs_thousand_dollars,fgd_maintenance_material_and_other_costs_thousand_dollars,total_thousand_dollars,,,,,,,,,
2016,year,plant_id,fgd_unit_id,fgd_feed_materials_and_chemicals_costs_thousand_dollars,fgd_labor_and_supervision_costs_thousand_dollars,,fgd_waste_disposal_costs_thousand_dollars,fgd_maintenance_material_and_other_costs_thousand_dollars,total_thousand_dollars,,,,,,,,,
2017,year,plant_id,fgd_unit_id,fgd_feed_materials_and_chemicals_costs_thousand_dollars,fgd_labor_and_supervision_costs_thousand_dollars,,fgd_waste_disposal_costs_thousand_dollars,fgd_maintenance_material_and_other_costs_thousand_dollars,total_thousand_dollars,,,,,,,,,
2018,year,plant_id,fgd_unit_id,fgd_feed_materials_and_chemicals_costs_thousand_dollars,fgd_labor_and_supervision_costs_thousand_dollars,,fgd_waste_disposal_costs_thousand_dollars,fgd_maintenance_material_and_other_costs_thousand_dollars,total_thousand_dollars,,,,,,,,,
2019,year,plant_id,fgd_unit_id,fgd_feed_materials_and_chemicals_costs_thousand_dollars,fgd_labor_and_supervision_costs_thousand_dollars,,fgd_waste_disposal_costs_thousand_dollars,fgd_maintenance_material_and_other_costs_thousand_dollars,total_thousand_dollars,,,,,,,,,
2020,year,plant_id,fgd_unit_id,fgd_feed_materials_and_chemicals_costs_thousand_dollars,fgd_labor_and_supervision_costs_thousand_dollars,,fgd_waste_disposal_costs_thousand_dollars,fgd_maintenance_material_and_other_costs_thousand_dollars,total_thousand_dollars,,,,,,,,,
2021,year,plant_id,fgd_unit_id,fgd_feed_materials_and_chemicals_costs_thousand_dollars,fgd_labor_and_supervision_costs_thousand_dollars,,fgd_waste_disposal_costs_thousand_dollars,fgd_maintenance_material_and_other_costs_thousand_dollars,total_thousand_dollars,,,,,,,,,
2022,year,plant_id,fgd_unit_id,fgd_feed_materials_and_chemicals_costs_thousand_dollars,fgd_labor_and_supervision_costs_thousand_dollars,,fgd_waste_disposal_costs_thousand_dollars,fgd_maintenance_material_and_other_costs_thousand_dollars,total_thousand_dollars,,,,,,,,,
2023,year,plant_id,fgd_unit_id,fgd_feed_materials_and_chemicals_costs_thousand_dollars,fgd_labor_and_supervision_costs_thousand_dollars,,fgd_waste_disposal_costs_thousand_dollars,fgd_maintenance_material_and_other_costs_thousand_dollars,total_thousand_dollars,,,,,,,,,
2024,year,plant_id,fgd_unit_id,fgd_feed_materials_and_chemicals_costs_thousand_dollars,fgd_labor_and_supervision_costs_thousand_dollars,,fgd_waste_disposal_costs_thousand_dollars,fgd_maintenance_material_and_other_costs_thousand_dollars,total_thousand_dollars,,,,,,,,,
