year_index,2008,2009,2010,2011
report_year,year,year,year,year
plant_id_eia,plant_id,plant_id,plant_id,plant_id
particulate_control_id_eia,fgp_id,fgp_id,fgp_id,fgp_id
particulate_control_status,fgp_status,fgp_status,fgp_status,fgp_status
particulate_control_hours_in_service,fgp_hours_in_service,fgp_hours_in_service,fgp_hours_in_service,fgp_hours_in_service
particulate_emission_rate_lb_per_mmbtu,typical_particulate_emission_rate,typical_particulate_emission_rate,typical_particulate_emission_rate,typical_particulate_emission_rate
particulate_removal_efficiency_annual,efficiency_rate_at_annual_operating_factor,efficiency_rate_at_annual_operating_factor,efficiency_rate_at_annual_operating_factor,efficiency_rate_at_annual_operating_factor
particulate_removal_efficiency_100pct_load,tested_efficiency_rate_at_100_load,tested_efficiency_rate_at_100_load,tested_efficiency_rate_at_100_load,tested_efficiency_rate_at_100_load
particulate_test_date,date_of_latest_efficiency_test,date_of_latest_efficiency_test,date_of_latest_efficiency_test,date_of_latest_efficiency_test
particulate_control_flag,no_fgp_control,no_fgp_control,no_fgp_control,no_fgp_control
