half_year_index,2015half2,2016half1,2016half2,2017half1,2017half2,2018half1,2018half2,2019half1,2019half2,2020half1,2020half2,2021half1,2021half2,2022half1,2022half2,2023half1,2023half2,2024half1
balancing_authority_code_eia,balancing_authority,balancing_authority,balancing_authority,balancing_authority,balancing_authority,balancing_authority,balancing_authority,balancing_authority,balancing_authority,balancing_authority,balancing_authority,balancing_authority,balancing_authority,balancing_authority,balancing_authority,balancing_authority,balancing_authority,balancing_authority
eia_region_code,region,region,region,region,region,region,region,region,region,region,region,region,region,region,region,region,region,region
report_date,data_date,data_date,data_date,data_date,data_date,data_date,data_date,data_date,data_date,data_date,data_date,data_date,data_date,data_date,data_date,data_date,data_date,data_date
report_hour_local,hour_number,hour_number,hour_number,hour_number,hour_number,hour_number,hour_number,hour_number,hour_number,hour_number,hour_number,hour_number,hour_number,hour_number,hour_number,hour_number,hour_number,hour_number
report_datetime_local,local_time_at_end_of_hour,local_time_at_end_of_hour,local_time_at_end_of_hour,local_time_at_end_of_hour,local_time_at_end_of_hour,local_time_at_end_of_hour,local_time_at_end_of_hour,local_time_at_end_of_hour,local_time_at_end_of_hour,local_time_at_end_of_hour,local_time_at_end_of_hour,local_time_at_end_of_hour,local_time_at_end_of_hour,local_time_at_end_of_hour,local_time_at_end_of_hour,local_time_at_end_of_hour,local_time_at_end_of_hour,local_time_at_end_of_hour
report_datetime_utc,utc_time_at_end_of_hour,utc_time_at_end_of_hour,utc_time_at_end_of_hour,utc_time_at_end_of_hour,utc_time_at_end_of_hour,utc_time_at_end_of_hour,utc_time_at_end_of_hour,utc_time_at_end_of_hour,utc_time_at_end_of_hour,utc_time_at_end_of_hour,utc_time_at_end_of_hour,utc_time_at_end_of_hour,utc_time_at_end_of_hour,utc_time_at_end_of_hour,utc_time_at_end_of_hour,utc_time_at_end_of_hour,utc_time_at_end_of_hour,utc_time_at_end_of_hour
demand_mw,demand_mw,demand_mw,demand_mw,demand_mw,demand_mw,demand_mw,demand_mw,demand_mw,demand_mw,demand_mw,demand_mw,demand_mw,demand_mw,demand_mw,demand_mw,demand_mw,demand_mw,demand_mw
demand_forecast_mw,demand_forecast_mw,demand_forecast_mw,demand_forecast_mw,demand_forecast_mw,demand_forecast_mw,demand_forecast_mw,demand_forecast_mw,demand_forecast_mw,demand_forecast_mw,demand_forecast_mw,demand_forecast_mw,demand_forecast_mw,demand_forecast_mw,demand_forecast_mw,demand_forecast_mw,demand_forecast_mw,demand_forecast_mw,demand_forecast_mw
demand_adjusted_mw,demand_mw_adjusted,demand_mw_adjusted,demand_mw_adjusted,demand_mw_adjusted,demand_mw_adjusted,demand_mw_adjusted,demand_mw_adjusted,demand_mw_adjusted,demand_mw_adjusted,demand_mw_adjusted,demand_mw_adjusted,demand_mw_adjusted,demand_mw_adjusted,demand_mw_adjusted,demand_mw_adjusted,demand_mw_adjusted,demand_mw_adjusted,demand_mw_adjusted
demand_imputed_mw,demand_mw_imputed,demand_mw_imputed,demand_mw_imputed,demand_mw_imputed,demand_mw_imputed,demand_mw_imputed,demand_mw_imputed,demand_mw_imputed,demand_mw_imputed,demand_mw_imputed,demand_mw_imputed,demand_mw_imputed,demand_mw_imputed,demand_mw_imputed,demand_mw_imputed,demand_mw_imputed,demand_mw_imputed,demand_mw_imputed
net_generation_mw,net_generation_mw,net_generation_mw,net_generation_mw,net_generation_mw,net_generation_mw,net_generation_mw,net_generation_mw,net_generation_mw,net_generation_mw,net_generation_mw,net_generation_mw,net_generation_mw,net_generation_mw,net_generation_mw,net_generation_mw,net_generation_mw,net_generation_mw,net_generation_mw
net_generation_adjusted_mw,net_generation_mw_adjusted,net_generation_mw_adjusted,net_generation_mw_adjusted,net_generation_mw_adjusted,net_generation_mw_adjusted,net_generation_mw_adjusted,net_generation_mw_adjusted,net_generation_mw_adjusted,net_generation_mw_adjusted,net_generation_mw_adjusted,net_generation_mw_adjusted,net_generation_mw_adjusted,net_generation_mw_adjusted,net_generation_mw_adjusted,net_generation_mw_adjusted,net_generation_mw_adjusted,net_generation_mw_adjusted,net_generation_mw_adjusted
net_generation_imputed_mw,net_generation_mw_imputed,net_generation_mw_imputed,net_generation_mw_imputed,net_generation_mw_imputed,net_generation_mw_imputed,net_generation_mw_imputed,net_generation_mw_imputed,net_generation_mw_imputed,net_generation_mw_imputed,net_generation_mw_imputed,net_generation_mw_imputed,net_generation_mw_imputed,net_generation_mw_imputed,net_generation_mw_imputed,net_generation_mw_imputed,net_generation_mw_imputed,net_generation_mw_imputed,net_generation_mw_imputed
net_generation_all_petroleum_products_mw,,,,,,,net_generation_mw_from_all_petroleum_products,net_generation_mw_from_all_petroleum_products,net_generation_mw_from_all_petroleum_products,net_generation_mw_from_all_petroleum_products,net_generation_mw_from_all_petroleum_products,net_generation_mw_from_all_petroleum_products,net_generation_mw_from_all_petroleum_products,net_generation_mw_from_all_petroleum_products,net_generation_mw_from_all_petroleum_products,net_generation_mw_from_all_petroleum_products,net_generation_mw_from_all_petroleum_products,net_generation_mw_from_all_petroleum_products
net_generation_all_petroleum_products_adjusted_mw,,,,,,,net_generation_mw_from_all_petroleum_products_adjusted,net_generation_mw_from_all_petroleum_products_adjusted,net_generation_mw_from_all_petroleum_products_adjusted,net_generation_mw_from_all_petroleum_products_adjusted,net_generation_mw_from_all_petroleum_products_adjusted,net_generation_mw_from_all_petroleum_products_adjusted,net_generation_mw_from_all_petroleum_products_adjusted,net_generation_mw_from_all_petroleum_products_adjusted,net_generation_mw_from_all_petroleum_products_adjusted,net_generation_mw_from_all_petroleum_products_adjusted,net_generation_mw_from_all_petroleum_products_adjusted,net_generation_mw_from_all_petroleum_products_adjusted
net_generation_all_petroleum_products_imputed_mw,,,,,,,net_generation_mw_from_all_petroleum_products_imputed,net_generation_mw_from_all_petroleum_products_imputed,net_generation_mw_from_all_petroleum_products_imputed,net_generation_mw_from_all_petroleum_products_imputed,net_generation_mw_from_all_petroleum_products_imputed,net_generation_mw_from_all_petroleum_products_imputed,net_generation_mw_from_all_petroleum_products_imputed,net_generation_mw_from_all_petroleum_products_imputed,net_generation_mw_from_all_petroleum_products_imputed,net_generation_mw_from_all_petroleum_products_imputed,net_generation_mw_from_all_petroleum_products_imputed,net_generation_mw_from_all_petroleum_products_imputed
net_generation_coal_mw,,,,,,,net_generation_mw_from_coal,net_generation_mw_from_coal,net_generation_mw_from_coal,net_generation_mw_from_coal,net_generation_mw_from_coal,net_generation_mw_from_coal,net_generation_mw_from_coal,net_generation_mw_from_coal,net_generation_mw_from_coal,net_generation_mw_from_coal,net_generation_mw_from_coal,net_generation_mw_from_coal
