half_year_index,balancing_authority_code_eia,report_date,report_hour_local,balancing_authority_code_adjacent_eia,interchange_reported_mwh,datetime_local,datetime_utc,balancing_authority_region_code_eia,region_code_adjacent_eia930
2015half2,balancing_authority,data_date,hour_number,directly_interconnected_balancing_authority,interchange_mw,local_time_at_end_of_hour,utc_time_at_end_of_hour,region,diba_region
2016half1,balancing_authority,data_date,hour_number,directly_interconnected_balancing_authority,interchange_mw,local_time_at_end_of_hour,utc_time_at_end_of_hour,region,diba_region
2016half2,balancing_authority,data_date,hour_number,directly_interconnected_balancing_authority,interchange_mw,local_time_at_end_of_hour,utc_time_at_end_of_hour,region,diba_region
2017half1,balancing_authority,data_date,hour_number,directly_interconnected_balancing_authority,interchange_mw,local_time_at_end_of_hour,utc_time_at_end_of_hour,region,diba_region
2017half2,balancing_authority,data_date,hour_number,directly_interconnected_balancing_authority,interchange_mw,local_time_at_end_of_hour,utc_time_at_end_of_hour,region,diba_region
2018half1,balancing_authority,data_date,hour_number,directly_interconnected_balancing_authority,interchange_mw,local_time_at_end_of_hour,utc_time_at_end_of_hour,region,diba_region
2018half2,balancing_authority,data_date,hour_number,directly_interconnected_balancing_authority,interchange_mw,local_time_at_end_of_hour,utc_time_at_end_of_hour,region,diba_region
2019half1,balancing_authority,data_date,hour_number,directly_interconnected_balancing_authority,interchange_mw,local_time_at_end_of_hour,utc_time_at_end_of_hour,region,diba_region
2019half2,balancing_authority,data_date,hour_number,directly_interconnected_balancing_authority,interchange_mw,local_time_at_end_of_hour,utc_time_at_end_of_hour,region,diba_region
2020half1,balancing_authority,data_date,hour_number,directly_interconnected_balancing_authority,interchange_mw,local_time_at_end_of_hour,utc_time_at_end_of_hour,region,diba_region
2020half2,balancing_authority,data_date,hour_number,directly_interconnected_balancing_authority,interchange_mw,local_time_at_end_of_hour,utc_time_at_end_of_hour,region,diba_region
2021half1,balancing_authority,data_date,hour_number,directly_interconnected_balancing_authority,interchange_mw,local_time_at_end_of_hour,utc_time_at_end_of_hour,region,diba_region
2021half2,balancing_authority,data_date,hour_number,directly_interconnected_balancing_authority,interchange_mw,local_time_at_end_of_hour,utc_time_at_end_of_hour,region,diba_region
2022half1,balancing_authority,data_date,hour_number,directly_interconnected_balancing_authority,interchange_mw,local_time_at_end_of_hour,utc_time_at_end_of_hour,region,diba_region
2022half2,balancing_authority,data_date,hour_number,directly_interconnected_balancing_authority,interchange_mw,local_time_at_end_of_hour,utc_time_at_end_of_hour,region,diba_region
2023half1,balancing_authority,data_date,hour_number,directly_interconnected_balancing_authority,interchange_mw,local_time_at_end_of_hour,utc_time_at_end_of_hour,region,diba_region
2023half2,balancing_authority,data_date,hour_number,directly_interconnected_balancing_authority,interchange_mw,local_time_at_end_of_hour,utc_time_at_end_of_hour,region,diba_region
2024half1,balancing_authority,data_date,hour_number,directly_interconnected_balancing_authority,interchange_mw,local_time_at_end_of_hour,utc_time_at_end_of_hour,region,diba_region
2024half2,balancing_authority,data_date,hour_number,directly_interconnected_balancing_authority,interchange_mw,local_time_at_end_of_hour,utc_time_at_end_of_hour,region,diba_region
2025half1,balancing_authority,data_date,hour_number,directly_interconnected_balancing_authority,interchange_mw,local_time_at_end_of_hour,utc_time_at_end_of_hour,region,diba_region
2025half2,balancing_authority,data_date,hour_number,directly_interconnected_balancing_authority,interchange_mw,local_time_at_end_of_hour,utc_time_at_end_of_hour,region,diba_region
