sched_table_name,report_year,row_chg_yr,row_number,row_literal,xbrl_column,sign_mult,row_type,notes
f1_plant_in_srvce,1994,1994,1,1. INTANGIBLE PLANT,HEADER_ROW,#N/A,header1,
f1_plant_in_srvce,1994,1994,2,(301) Organization,organization,1,ferc_account,
f1_plant_in_srvce,1994,1994,3,(302) Franchises and Consents,franchises_and_consents,1,ferc_account,
f1_plant_in_srvce,1994,1994,4,(303) Miscellaneous Intangible Plant,miscellaneous_intangible_plant,1,ferc_account,
f1_plant_in_srvce,1994,1994,5,"TOTAL Intangible Plant (Enter Total of lines 2, 3, and 4)",intangible_plant,1,total,
f1_plant_in_srvce,1994,1994,6,2. PRODUCTION PLANT,HEADER_ROW,#N/A,header1,
f1_plant_in_srvce,1994,1994,7,A. Steam Production Plant,HEADER_ROW,#N/A,header2,
f1_plant_in_srvce,1994,1994,8,(310) Land and Land Rights,land_and_land_rights_steam_production,1,ferc_account,
f1_plant_in_srvce,1994,1994,9,(311) Structures and Improvements,structures_and_improvements_steam_production,1,ferc_account,
f1_plant_in_srvce,1994,1994,10,(312) Boiler Plant Equipment,boiler_plant_equipment_steam_production,1,ferc_account,
f1_plant_in_srvce,1994,1994,11,(313) Engines and Engine-Driven Generators,engines_and_engine_driven_generators_steam_production,1,ferc_account,
f1_plant_in_srvce,1994,1994,12,(314) Turbogenerator Units,turbogenerator_units_steam_production,1,ferc_account,
f1_plant_in_srvce,1994,1994,13,(315) Accessory Electric Equipment,accessory_electric_equipment_steam_production,1,ferc_account,
f1_plant_in_srvce,1994,1994,14,(316) Misc. Power Plant Equipment,miscellaneous_power_plant_equipment_steam_production,1,ferc_account,
f1_plant_in_srvce,1994,1994,15,TOTAL Steam Production Plant (Enter Total of lines 8 thru 14),steam_production_plant,1,total,
f1_plant_in_srvce,1994,1994,16,B. Nuclear Production Plant,HEADER_ROW,#N/A,header2,
f1_plant_in_srvce,1994,1994,17,(320) Land and Land Rights,land_and_land_rights_nuclear_production,1,ferc_account,
