dbf_table,xbrl_table
f1_106_2009,information_on_formula_rates_106
f1_106a_2009,information_on_formula_rates_106a
f1_106b_2009,information_on_formula_rates_106b
f1_208_elc_dep,
f1_231_trn_stdycst,transmission_service_and_generation_interconnection_study_costs_231
f1_231_trn_stdycst,transmission_service_and_generation_interconnection_study_costs_totals_231
f1_324_elc_expns,
f1_325_elc_cust,
f1_331_transiso,transmission_of_electricity_by_iso_rtos_331
f1_338_dep_depl,
f1_397_isorto_stl,amounts_included_in_iso_rto_settlement_statements_397
f1_397_isorto_stl,amounts_included_in_iso_rto_settlement_statements_other_397
f1_398_ancl_ps,purchases_and_sales_of_ancillary_services_398
f1_399_mth_peak,
f1_400_sys_peak,monthly_transmission_system_peak_load_400
f1_400a_iso_peak,monthly_iso_rto_transmission_system_peak_load_400a
f1_429_trans_aff,transactions_with_associated_affiliated_companies_provided_by_429
f1_429_trans_aff,transactions_with_associated_affiliated_companies_provided_for_429
f1_acb_epda,basis_for_amortization_changes_section_b_336
f1_accumdepr_prvsn,accumulated_provision_for_depreciation_of_electric_utility_plant_changes_section_a_219
f1_accumdepr_prvsn,accumulated_provision_for_depreciation_of_electric_utility_plant_changes_section_a_sequence_other_accounts_219
f1_accumdepr_prvsn,accumulated_provision_for_depreciation_of_electric_utility_plant_changes_section_a_sequence_other_items_219
f1_accumdepr_prvsn,accumulated_provision_for_depreciation_of_electric_utility_plant_functional_classification_section_b_219
f1_accumdfrrdtaxcr,accumulated_deferred_investment_tax_credits_account_255_266
f1_accumdfrrdtaxcr,accumulated_deferred_investment_tax_credits_account_255_total_266
f1_adit_190_detail,accumulated_deferred_income_taxes_account_190_234
f1_adit_190_detail,accumulated_deferred_income_taxes_account_190_electric_234
f1_adit_190_detail,accumulated_deferred_income_taxes_account_190_gas_234
f1_adit_190_detail,accumulated_deferred_income_taxes_account_190_other_234
f1_adit_190_notes,accumulated_deferred_income_taxes_account_190_notes_234
