table_name,xbrl_factoid,aggregatable_plant_status
utility_plant_summary_ferc1,utility_plant_in_service_classified,in_service
utility_plant_summary_ferc1,utility_plant_in_service_property_under_capital_leases,in_service
utility_plant_summary_ferc1,utility_plant_in_service_plant_purchased_or_sold,in_service
utility_plant_summary_ferc1,utility_plant_in_service_completed_construction_not_classified,in_service
utility_plant_summary_ferc1,utility_plant_in_service_experimental_plant_unclassified,in_service
utility_plant_summary_ferc1,utility_plant_in_service_classified_and_unclassified,in_service
utility_plant_summary_ferc1,utility_plant_leased_to_others,leased
utility_plant_summary_ferc1,utility_plant_held_for_future_use,future
utility_plant_summary_ferc1,construction_work_in_progress,construction_work_in_progress
utility_plant_summary_ferc1,utility_plant_acquisition_adjustment,total
utility_plant_summary_ferc1,utility_plant_and_construction_work_in_progress,total
utility_plant_summary_ferc1,accumulated_provision_for_depreciation_amortization_and_depletion_of_plant_utility,total
utility_plant_summary_ferc1,utility_plant_net,total
utility_plant_summary_ferc1,depreciation_utility_plant_in_service,in_service
utility_plant_summary_ferc1,amortization_and_depletion_of_producing_natural_gas_land_and_land_rights_utility_plant_in_service,in_service
utility_plant_summary_ferc1,amortization_of_underground_storage_land_and_land_rights_utility_plant_in_service,in_service
utility_plant_summary_ferc1,amortization_of_other_utility_plant_utility_plant_in_service,in_service
utility_plant_summary_ferc1,depreciation_amortization_and_depletion_utility_plant_in_service,in_service
utility_plant_summary_ferc1,depreciation_utility_plant_leased_to_others,leased
utility_plant_summary_ferc1,amortization_and_depletion_utility_plant_leased_to_others,leased
utility_plant_summary_ferc1,depreciation_amortization_and_depletion_utility_plant_leased_to_others,leased
utility_plant_summary_ferc1,depreciation_utility_plant_held_for_future_use,future
utility_plant_summary_ferc1,amortization_utility_plant_held_for_future_use,future
utility_plant_summary_ferc1,depreciation_and_amortization_utility_plant_held_for_future_use,future
utility_plant_summary_ferc1,abandonment_of_leases,total
utility_plant_summary_ferc1,amortization_of_plant_acquisition_adjustment,total
utility_plant_summary_ferc1,utility_plant_in_service_classified_and_property_under_capital_leases,in_service
utility_plant_summary_ferc1,utility_plant_in_service_plant_purchased_or_sold_correction,in_service
utility_plant_summary_ferc1,utility_plant_in_service_experimental_plant_unclassified_correction,in_service
utility_plant_summary_ferc1,utility_plant_in_service_classified_and_unclassified_correction,in_service
utility_plant_summary_ferc1,utility_plant_and_construction_work_in_progress_correction,construction_work_in_progress
utility_plant_summary_ferc1,accumulated_provision_for_depreciation_amortization_and_depletion_of_plant_utility_correction,total
utility_plant_summary_ferc1,utility_plant_net_correction,total
utility_plant_summary_ferc1,depreciation_utility_plant_in_service_correction,in_service
utility_plant_summary_ferc1,depreciation_amortization_and_depletion_utility_plant_leased_to_others_correction,leased
utility_plant_summary_ferc1,depreciation_and_amortization_utility_plant_held_for_future_use_correction,future
utility_plant_summary_ferc1,utility_plant_in_service_classified_and_property_under_capital_leases_correction,in_service
