table_name,xbrl_factoid,in_rate_base,utility_type,plant_status,plant_function,notes
core_ferc1__yearly_balance_sheet_assets_sched110,accounts_receivable_from_associated_companies,no,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,accrued_utility_revenues,no,,,,This is recovered on the income statement; doesn't require a return.
core_ferc1__yearly_balance_sheet_assets_sched110,accumulated_deferred_income_taxes,yes,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,accumulated_provision_for_amortization_of_nuclear_fuel_assemblies,yes,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,accumulated_provision_for_depreciation_and_amortization_of_nonutility_property,no,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,accumulated_provision_for_uncollectible_accounts_credit,no,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,advances_for_gas,yes,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,allowance_inventory_and_withheld,yes,,,,these are emissions allowances from EPA. Normal operation of utility business
core_ferc1__yearly_balance_sheet_assets_sched110,amortization_fund_federal,no,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,cash,no,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,cash_and_working_funds,no,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,clearing_accounts,no,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,customer_accounts_receivable,no,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,deferred_losses_from_disposition_of_utility_plant,no,,,,"most commisions allow recovery of, but not recovery on losses & gains. Recovery of should appear on income statement."
core_ferc1__yearly_balance_sheet_assets_sched110,depreciation_fund,no,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,derivative_instrument_assets,no,,,,non-investor source of financing. Doesn't require investor returns.
core_ferc1__yearly_balance_sheet_assets_sched110,derivative_instrument_assets_hedges,no,,,,non-investor source of financing. Doesn't require investor returns.
core_ferc1__yearly_balance_sheet_assets_sched110,derivative_instrument_assets_hedges_long_term,no,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,derivative_instrument_assets_long_term,no,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,extraordinary_property_losses,no,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,fuel_stock,yes,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,fuel_stock_expenses_undistributed,yes,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,gas_stored_current,yes,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,gas_stored_underground_noncurrent,yes,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,interest_and_dividends_receivable,no,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,investment_in_associated_companies,no,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,investment_in_subsidiary_companies,no,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,less_derivative_instrument_assets_hedges_long_term,no,,,,non-investor source of financing. Doesn't require investor returns.
core_ferc1__yearly_balance_sheet_assets_sched110,less_derivative_instrument_assets_long_term,no,,,,non-investor source of financing. Doesn't require investor returns.
core_ferc1__yearly_balance_sheet_assets_sched110,less_noncurrent_portion_of_allowances,yes,,,,these are emissions allowances from EPA. Normal operation of utility business
core_ferc1__yearly_balance_sheet_assets_sched110,liquefied_natural_gas_stored_and_held_for_processing,yes,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,merchandise,no,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,miscellaneous_current_and_accrued_assets,yes,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,miscellaneous_deferred_debits,yes,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,noncurrent_portion_of_allowances,no,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,nonutility_property,no,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,notes_receivable,no,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,notes_receivable_from_associated_companies,no,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,nuclear_fuel,yes,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,nuclear_fuel_assemblies_in_reactor_major_only,yes,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,nuclear_fuel_in_process_of_refinement_conversion_enrichment_and_fabrication,yes,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,nuclear_fuel_materials_and_assemblies_stock_account_major_only,yes,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,nuclear_fuel_under_capital_leases,yes,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,nuclear_materials_held_for_sale,no,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,other_accounts_receivable,no,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,other_electric_plant_adjustments,no,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,other_investments,no,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,other_materials_and_supplies,no,,,,non-utility materials and supplies are not in rate base for utility customers
core_ferc1__yearly_balance_sheet_assets_sched110,other_preliminary_survey_and_investigation_charges,no,,,,"if capitalized, will go into construction work in progress."
core_ferc1__yearly_balance_sheet_assets_sched110,other_regulatory_assets,yes,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,other_special_funds,no,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,plant_materials_and_operating_supplies,yes,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,preliminary_natural_gas_and_other_survey_and_investigation_charges,no,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,preliminary_natural_gas_survey_and_investigation_charges,no,,,,"if capitalized, will go into construction work in progress."
core_ferc1__yearly_balance_sheet_assets_sched110,preliminary_survey_and_investigation_charges,no,,,,"if capitalized, will go into construction work in progress."
core_ferc1__yearly_balance_sheet_assets_sched110,prepayments,yes,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,rents_receivable,no,,,,"Revenue in this case comes from rents, not from ratepayers."
core_ferc1__yearly_balance_sheet_assets_sched110,research_development_and_demonstration_expenditures,no,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,residuals,yes,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,sinking_funds,no,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,special_deposits,no,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,special_funds,no,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,special_funds_all,no,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,spent_nuclear_fuel_major_only,yes,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,stores_expense_undistributed,yes,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,temporary_cash_investments,no,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,temporary_facilities,no,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,unamortized_debt_expense,no,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,unamortized_loss_on_reacquired_debt,no,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,unrecovered_plant_and_regulatory_study_costs,yes,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,unrecovered_purchased_gas_costs,yes,,,,
core_ferc1__yearly_balance_sheet_assets_sched110,working_funds,no,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,accounts_payable,no,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,accounts_payable_to_associated_companies,no,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,accumulated_deferred_income_taxes,yes,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,accumulated_deferred_income_taxes_accelerated_amortization_property,yes,,,,
core_ferc1__yearly_balance_sheet_liabilities_sched110,accumulated_deferred_income_taxes_other,yes,,,,
