table_name,xbrl_factoid,aggregatable_utility_type
core_ferc1__yearly_balance_sheet_assets_sched110,nuclear_fuel_in_process_of_refinement_conversion_enrichment_and_fabrication,electric
core_ferc1__yearly_balance_sheet_assets_sched110,nuclear_fuel_materials_and_assemblies_stock_account_major_only,electric
core_ferc1__yearly_balance_sheet_assets_sched110,nuclear_fuel_assemblies_in_reactor_major_only,electric
core_ferc1__yearly_balance_sheet_assets_sched110,spent_nuclear_fuel_major_only,electric
core_ferc1__yearly_balance_sheet_assets_sched110,nuclear_fuel_under_capital_leases,electric
core_ferc1__yearly_balance_sheet_assets_sched110,accumulated_provision_for_amortization_of_nuclear_fuel_assemblies,electric
core_ferc1__yearly_balance_sheet_assets_sched110,other_electric_plant_adjustments,electric
core_ferc1__yearly_balance_sheet_assets_sched110,gas_stored_underground_noncurrent,gas
core_ferc1__yearly_balance_sheet_assets_sched110,fuel_stock,electric
core_ferc1__yearly_balance_sheet_assets_sched110,fuel_stock_expenses_undistributed,electric
core_ferc1__yearly_balance_sheet_assets_sched110,residuals,electric
core_ferc1__yearly_balance_sheet_assets_sched110,nuclear_materials_held_for_sale,electric
core_ferc1__yearly_balance_sheet_assets_sched110,preliminary_survey_and_investigation_charges,electric
core_ferc1__yearly_balance_sheet_assets_sched110,preliminary_natural_gas_survey_and_investigation_charges,gas
core_ferc1__yearly_balance_sheet_assets_sched110,other_preliminary_survey_and_investigation_charges,other
core_ferc1__yearly_balance_sheet_assets_sched110,nuclear_fuel,electric
