table,filename
f6_300_op_revenues,F6_300_OP_REVENUES.DBF
f6_acc_depr_carrier,F6_ACC_DEPR_CARRIER.DBF
f6_acc_depr_system,F6_ACC_DEPR_SYSTEM.DBF
f6_amort_base,F6_AMORT_BASE.DBF
f6_analysis_inc_tax,F6_ANALYSIS_INC_TAX.DBF
f6_annual_cost_serv,F6_ANNUAL_COST_SERV.DBF
f6_approp_ret_inc,F6_APPROP_RET_INC.DBF
f6_cap_stk_chgs,F6_CAP_STK_CHGS.DBF
f6_capital_stock,F6_CAPITAL_STOCK.DBF
f6_carrier_property,F6_CARRIER_PROPERTY.DBF
f6_cmpinc_hedge,F6_CMPINC_HEDGE.DBF
f6_cmpinc_hedge_a,F6_CMPINC_HEDGE_A.DBF
f6_cntrl_over_resp,F6_CNTRL_OVER_RESP.DBF
f6_comp_bal_sheet,F6_COMP_BAL_SHEET.DBF
f6_ctrl_by_resp,F6_CTRL_BY_RESP.DBF
f6_depr_carrier_prop,F6_DEPR_CARRIER_PROP.DBF
f6_depr_sys_prop,F6_DEPR_SYS_PROP.DBF
f6_directors,F6_DIRECTORS.DBF
f6_email,F6_EMAIL.DBF
f6_footnote_xref,F6_FOOTNOTE_XREF.DBF
f6_footnotes,F6_FOOTNOTES.DBF
f6_general_info,F6_GENERAL_INFO.DBF
f6_ident_attsttn,F6_IDENT_ATTSTTN.DBF
f6_important_changes,F6_IMPORTANT_CHANGES.DBF
f6_inc_noncarrier,F6_INC_NONCARRIER.DBF
f6_income_stmnt,F6_INCOME_STMNT.DBF
f6_int_div_inc,F6_INT_DIV_INC.DBF
f6_invest_affil,F6_INVEST_AFFIL.DBF
f6_invest_affil_a,F6_INVEST_AFFIL_A.DBF
f6_invest_affiliated,F6_INVEST_AFFILIATED.DBF
f6_list_of_sched,F6_LIST_OF_SCHED.DBF
f6_list_of_sched_add,F6_LIST_OF_SCHED_ADD.DBF
f6_long_term_debt,F6_LONG_TERM_DEBT.DBF
f6_miles_pipe_a,F6_MILES_PIPE_A.DBF
f6_miles_pipe_b,F6_MILES_PIPE_B.DBF
f6_miles_pipe_c,F6_MILES_PIPE_C.DBF
f6_miles_pipe_d,F6_MILES_PIPE_D.DBF
f6_miles_pipeline,F6_MILES_PIPELINE.DBF
f6_misc_ret_inc,F6_MISC_RET_INC.DBF
f6_noncarrier_prop,F6_NONCARRIER_PROP.DBF
f6_note_fin_stmnt,F6_NOTE_FIN_STMNT.DBF
f6_op_exp_accts,F6_OP_EXP_ACCTS.DBF
f6_op_rev_accts,F6_OP_REV_ACCTS.DBF
f6_op_rev_accts_a,F6_OP_REV_ACCTS_A.DBF
f6_other_defer_chrgs,F6_OTHER_DEFER_CHRGS.DBF
f6_paid_in_cap,F6_PAID_IN_CAP.DBF
f6_pay_oth_emp,F6_PAY_OTH_EMP.DBF
f6_payables_affil,F6_PAYABLES_AFFIL.DBF
f6_pipeline_tax,F6_PIPELINE_TAX.DBF
f6_pipeline_tax_a,F6_PIPELINE_TAX_A.DBF
f6_principal_officers,F6_PRINCIPAL_OFFICERS.DBF
f6_recv_affiliated,F6_RECV_AFFILIATED.DBF
f6_s0_admin,F6_S0_ADMIN.DBF
f6_s0_calcs,F6_S0_CALCS.DBF
f6_s0_catchall,F6_S0_CATCHALL.DBF
f6_s0_checks,F6_S0_CHECKS.DBF
f6_s0_col_literals,F6_S0_COL_LITERALS.DBF
f6_s0_copy_forward,F6_S0_COPY_FORWARD.DBF
f6_s0_filing_log,F6_S0_FILING_LOG.DBF
f6_s0_locker,F6_S0_LOCKER.DBF
f6_s0_pins,F6_S0_PINS.DBF
f6_s0_respondent_id,F6_S0_RESPONDENT_ID.DBF
f6_s0_row_changes,F6_S0_ROW_CHANGES.DBF
f6_s0_row_literals,F6_S0_ROW_LITERALS.DBF
f6_s0_sched_info,F6_S0_SCHED_INFO.DBF
f6_s0_supp,F6_S0_SUPP.DBF
f6_stats_oper,F6_STATS_OPER.DBF
f6_stats_oper_a,F6_STATS_OPER_A.DBF
f6_stmnt_cash_flow,F6_STMNT_CASH_FLOW.DBF
f6_unapprop_ret_inc,F6_UNAPPROP_RET_INC.DBF
f6_undiv_joint_int_prop,F6_UNDIV_JOINT_INT_PROP.DBF
