report_date,balancing_authority_id_eia,balancing_authority_code_eia,balancing_authority_name_eia
2009-01-01,56669,MISO,Midwest Independent System Operator
2010-01-01,56669,MISO,Midwest Independent System Operator
2006-01-01,59504,SWPP,Southwest Power Pool
2007-01-01,59504,SWPP,Southwest Power Pool
2008-01-01,59504,SWPP,Southwest Power Pool
2009-01-01,59504,SWPP,Southwest Power Pool
2010-01-01,59504,SWPP,Southwest Power Pool
2011-01-01,59504,SWPP,Southwest Power Pool
2012-01-01,59504,SWPP,Southwest Power Pool
2013-01-01,59504,SWPP,Southwest Power Pool
2006-01-01,11249,LGEE,LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities
2007-01-01,11249,LGEE,LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities
2008-01-01,11249,LGEE,LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities
2009-01-01,11249,LGEE,LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities
2010-01-01,11249,LGEE,LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities
2011-01-01,11249,LGEE,LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities
2012-01-01,11249,LGEE,LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities
2013-01-01,11249,LGEE,LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities
2013-01-01,12506,,Entergy
2009-01-01,829,,American Electric Power Co Inc
2010-01-01,829,,American Electric Power Co Inc
2011-01-01,829,,American Electric Power Co Inc
2012-01-01,829,,American Electric Power Co Inc
2013-01-01,829,,American Electric Power Co Inc
2012-01-01,16534,BANC,Balancing Authority of Northern California
