Unnamed: 0.1,Unnamed: 0,record_id_eia,record_id_ferc1,signature_1,signature_2,notes
0,,2830_1952_2005_plant_operating_year_total_3542,f1_steam_2005_12_27_0_3,AS,CG,"Combo of gens 1-5 based on FERC plant name. Cap close, net gen way off"
1,,2830_1952_2006_plant_operating_year_total_3542,f1_steam_2006_12_27_0_3,AS,CG,"Combo of gens 1-5 based on FERC plant name. Cap close, net gen way off"
2,,2830_1952_2007_plant_operating_year_total_3542,f1_steam_2007_12_27_0_3,AS,CG,"Combo of gens 1-5 based on FERC plant name. Cap close, net gen way off"
3,,2830_1_2008_plant_unit_total_3542,f1_steam_2008_12_27_0_3,AS,CG,"Combo of gens 1-5 based on FERC plant name. Cap close, net gen way off"
4,,2830_1_2009_plant_unit_total_3542,f1_steam_2009_12_27_0_2,AS,CG,"Combo of gens 1-5 based on FERC plant name. Cap close, net gen way off"
5,,2830_1_2010_plant_unit_total_3542,f1_steam_2010_12_27_0_2,AS,CG,"Combo of gens 1-5 based on FERC plant name. Cap close, net gen way off"
6,,2830_1_2011_plant_unit_total_3542,f1_steam_2011_12_27_0_2,AS,CG,"Combo of gens 1-5 based on FERC plant name. Cap close, net gen way off"
7,,2830_1_2012_plant_unit_total_3542,f1_steam_2012_12_27_0_2,AS,CG,"Combo of gens 1-5 based on FERC plant name. Cap close, net gen way off"
10,,2830_1952_2015_plant_operating_year_total_3542_retired,f1_steam_2015_12_27_0_2,AS,CG,"Cap very off, despite this being the pattern for prior years."
11,,628_1969_2005_plant_operating_year_total_6455,f1_steam_2005_12_55_0_3,AS,CG,combo of plants from 66 and 69
12,,628_1984_2005_plant_operating_year_total_6455,f1_steam_2005_12_55_0_4,AS,CG,combo of plants from 82 and 84
13,,628_1969_2006_plant_operating_year_total_6455,f1_steam_2006_12_55_0_3,AS,CG,combo of plants from 66 and 69
14,,628_1984_2006_plant_operating_year_total_6455,f1_steam_2006_12_55_0_4,AS,CG,combo of plants from 82 and 84
15,,628_1969_2007_plant_operating_year_total_6455,f1_steam_2007_12_55_0_3,AS,CG,combo of plants from 66 and 69
16,,628_1984_2007_plant_operating_year_total_6455,f1_steam_2007_12_55_0_4,AS,CG,combo of plants from 82 and 84
17,,628_1969_2008_plant_operating_year_total_6455,f1_steam_2008_12_55_0_3,AS,CG,combo of plants from 66 and 69
