respondent_id,utility_services_name,entity_id,parent_name,utility_id_ferc1,utility_id_pudl
1,"Duke Energy Shared Services, Inc.",,duke energy corp,,
2,Xcel Energy Services Inc.,C011476,xcel energy inc,,13501
3,Ameren Services Company,C011267,ameren corp,,
3,Ameren Services Company,C011267,union electric co,221,334
3,Ameren Services Company,C011267,amerenenergy generating co,,
3,Ameren Services Company,C011267,ameren energy generating co,,13319
3,Ameren Services Company,C011267,central illinois light co,6,56
3,Ameren Services Company,C011267,central illinois public service co,7,57
3,Ameren Services Company,C011267,ameren illinois co,222,25
3,Ameren Services Company,C011267,illinois power co,20,142
3,Ameren Services Company,C011267,cilcorp inc,,
4,,,cnh industrial n.v.,,
4,,,american international group inc,,
5,"Entergy Operations, Inc.",C011368,entergy power uk plc,,
5,"Entergy Operations, Inc.",C011368,"entergy louisiana, llc",411,107
5,"Entergy Operations, Inc.",C011368,"entergy louisiana, llc",362,107
5,"Entergy Operations, Inc.",C011368,"entergy texas, inc.",234,113
5,"Entergy Operations, Inc.",C011368,system energy resources inc,235,311
5,"Entergy Operations, Inc.",C011368,"system energy resources, inc",235,311
5,"Entergy Operations, Inc.",C011368,entergy gulf states inc,,3938
5,"Entergy Operations, Inc.",C011368,entergy gulf states inc,,4679
5,"Entergy Operations, Inc.",C011368,"entergy gulf states louisiana, llc",231,107
5,"Entergy Operations, Inc.",C011368,gulf states utilities co,,
5,"Entergy Operations, Inc.",C011368,"entergy louisiana holdings, inc",,
5,"Entergy Operations, Inc.",C011368,louisiana power & light co /la/,,
5,"Entergy Operations, Inc.",C011368,entergy louisiana inc,,
5,"Entergy Operations, Inc.",C011368,entergy corp /de/,,10217
5,"Entergy Operations, Inc.",C011368,entergy mississippi inc,,109
5,"Entergy Operations, Inc.",C011368,"entergy mississippi, llc",382,109
5,"Entergy Operations, Inc.",C011368,mississippi power & light co,,
5,"Entergy Operations, Inc.",C011368,entergy new orleans inc,,110
5,"Entergy Operations, Inc.",C011368,"entergy new orleans, llc",233,110
5,"Entergy Operations, Inc.",C011368,new orleans public service inc,,
5,"Entergy Operations, Inc.",C011368,entergy arkansas inc,226,106
5,"Entergy Operations, Inc.",C011368,"entergy arkansas, llc",,
5,"Entergy Operations, Inc.",C011368,arkansas power & light co,,
5,"Entergy Operations, Inc.",C011368,entergy corp/de,,10217
6,"Entergy Enterprises, Inc.",C011369,entergy power uk plc,,
6,"Entergy Enterprises, Inc.",C011369,"entergy louisiana, llc",411,107
6,"Entergy Enterprises, Inc.",C011369,"entergy louisiana, llc",362,107
6,"Entergy Enterprises, Inc.",C011369,"entergy texas, inc.",234,113
6,"Entergy Enterprises, Inc.",C011369,system energy resources inc,235,311
6,"Entergy Enterprises, Inc.",C011369,"system energy resources, inc",235,311
6,"Entergy Enterprises, Inc.",C011369,entergy gulf states inc,,3938
6,"Entergy Enterprises, Inc.",C011369,entergy gulf states inc,,4679
6,"Entergy Enterprises, Inc.",C011369,"entergy gulf states louisiana, llc",231,107
6,"Entergy Enterprises, Inc.",C011369,gulf states utilities co,,
6,"Entergy Enterprises, Inc.",C011369,"entergy louisiana holdings, inc",,
6,"Entergy Enterprises, Inc.",C011369,louisiana power & light co /la/,,
6,"Entergy Enterprises, Inc.",C011369,entergy louisiana inc,,
6,"Entergy Enterprises, Inc.",C011369,entergy corp /de/,,10217
6,"Entergy Enterprises, Inc.",C011369,entergy mississippi inc,,109
6,"Entergy Enterprises, Inc.",C011369,"entergy mississippi, llc",382,109
6,"Entergy Enterprises, Inc.",C011369,mississippi power & light co,,
6,"Entergy Enterprises, Inc.",C011369,entergy new orleans inc,,110
6,"Entergy Enterprises, Inc.",C011369,"entergy new orleans, llc",233,110
6,"Entergy Enterprises, Inc.",C011369,new orleans public service inc,,
6,"Entergy Enterprises, Inc.",C011369,entergy arkansas inc,226,106
6,"Entergy Enterprises, Inc.",C011369,"entergy arkansas, llc",,
6,"Entergy Enterprises, Inc.",C011369,arkansas power & light co,,
6,"Entergy Enterprises, Inc.",C011369,entergy corp/de,,10217
7,"Entergy Services, LLC",C002146,"entergy louisiana, llc",411,107
7,"Entergy Services, LLC",C002146,"entergy louisiana, llc",362,107
7,"Entergy Services, LLC",C002146,"entergy texas, inc.",234,113
7,"Entergy Services, LLC",C002146,"system energy resources, inc",235,311
7,"Entergy Services, LLC",C002146,entergy corp /de/,,10217
7,"Entergy Services, LLC",C002146,"entergy mississippi, llc",382,109
7,"Entergy Services, LLC",C002146,"entergy new orleans, llc",233,110
7,"Entergy Services, LLC",C002146,"entergy arkansas, llc",,
8,"Entergy Nuclear Operations, Inc.",C004283,"entergy louisiana, llc",411,107
8,"Entergy Nuclear Operations, Inc.",C004283,"entergy louisiana, llc",362,107
8,"Entergy Nuclear Operations, Inc.",C004283,"entergy texas, inc.",234,113
8,"Entergy Nuclear Operations, Inc.",C004283,system energy resources inc,235,311
8,"Entergy Nuclear Operations, Inc.",C004283,"system energy resources, inc",235,311
8,"Entergy Nuclear Operations, Inc.",C004283,entergy gulf states inc,,3938
8,"Entergy Nuclear Operations, Inc.",C004283,entergy gulf states inc,,4679
8,"Entergy Nuclear Operations, Inc.",C004283,"entergy gulf states louisiana, llc",231,107
8,"Entergy Nuclear Operations, Inc.",C004283,"entergy louisiana holdings, inc",,
8,"Entergy Nuclear Operations, Inc.",C004283,entergy corp /de/,,10217
8,"Entergy Nuclear Operations, Inc.",C004283,entergy mississippi inc,,109
8,"Entergy Nuclear Operations, Inc.",C004283,"entergy mississippi, llc",382,109
8,"Entergy Nuclear Operations, Inc.",C004283,entergy new orleans inc,,110
8,"Entergy Nuclear Operations, Inc.",C004283,"entergy new orleans, llc",233,110
8,"Entergy Nuclear Operations, Inc.",C004283,entergy arkansas inc,226,106
8,"Entergy Nuclear Operations, Inc.",C004283,"entergy arkansas, llc",,
9,"Dominion Energy Southeast Services, Inc.",,virginia electric & power co,164,349
9,"Dominion Energy Southeast Services, Inc.",,"dominion energy, inc",,6484
10,"Southern Nuclear Operating Company, Inc.",C011489,,,
11,"Progress Energy Service Company, LLC",,progress energy inc,,
11,"Progress Energy Service Company, LLC",,duke energy corp,,
11,"Progress Energy Service Company, LLC",,carolina power & light co,,
11,"Progress Energy Service Company, LLC",,"duke energy progress, inc.",160,97
