year_index,util_op_inc,op_revenues,op_expenses,operation_expenses,maintenance_expenses,depreciation_expenses,depr_expns_asset_retirement,amort_depl_utility_plant,amort_util_plant_acq_adj,amort_loss,amort_conversion_expns,regulatory_debits,regulatory_credits,non_income_tax,income_tax_fed,other,deferred_income_tax,deferred_income_tax_credit,investment_tax_credit,gain_disp_util_plant,loss_disp_util_plant,gain_disp_allow,loss_disp_allow,accretion_expns,total_utility_opex,net_util_op_inc
1994,1,2,3,4,5,6,-1,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,-1,23,24
1995,1,2,3,4,5,6,-1,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,-1,23,24
1996,1,2,3,4,5,6,-1,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,-1,23,24
1997,1,2,3,4,5,6,-1,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,-1,23,24
1998,1,2,3,4,5,6,-1,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,-1,23,24
1999,1,2,3,4,5,6,-1,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,-1,23,24
2000,1,2,3,4,5,6,-1,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,-1,23,24
2001,1,2,3,4,5,6,-1,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,-1,23,24
2002,1,2,3,4,5,6,-1,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,-1,23,24
2003,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
2004,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
2005,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
2006,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
2007,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
2008,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
2009,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
2010,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
2011,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
2012,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
2013,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
2014,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
2015,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
2016,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
2017,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
2018,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
